[0:00:09] su1ryu30: こんちゃー
[1:54:31] ぱぬたろ: キャンピングカーでかいぞwww
[1:54:31] はにかむ王子: なにぃ！？
[1:54:31] ねづき: キャンパーか
[1:54:32] omochi531: ほしい！！
[1:54:33] じゃがバター: ナンバーより見た目でいけそう
[1:54:33] tokinoli: なんでそんな目立つもんがないww
[1:54:33] うな重うな抜き: 見てないよ！？！？
[1:54:33] Ciel4949: マジで？！？！でかいじゃんw
[1:54:34] EarlGrey_SPR: 積載量バカみたいに多いやつか？
[1:54:34] rariru16: え！めっちゃいいじゃん
[1:54:34] sinmai_metagurosu: 貰うしかないやんけ
[1:54:34] rainberi: えぐ
[1:54:34] テトりる: 欲しい
[1:54:34] fuyun1a: 話変わってきたな
[1:54:34] jseedv: 最高やん
[1:54:36] おともカフェ: キャンピングカーがこんな探して見つからないことあるのか…難易度高すぎますねw
[1:54:36] kakemx: キャンピングカーって普通に購入したら億超じゃないの？
[1:54:39] テイモンさん: なにぃ！！
[1:54:41] gaigain0925: 見てないね
[1:54:41] はむはむ_: 見てない・・・・
[1:54:43] yuuri119: デカすぎて歪んだ？
[1:54:43] creamy1019: そんなわかり易そうな車両見つからないことある！？
[1:54:44] rariru16: え、いなくね？w
[1:54:44] ひーくん0825: どっちにしても見てないって
[1:54:44] alpes111111111: なんとしても欲しい
[1:54:44] hifumiyoim: 868でキャンプか
[1:54:44] tqsia2: いやないないないない
[1:54:45] 志岐_月影: 歪みかw
[1:54:46] fuyun1a: 見てないね
[1:54:48] ロジーー: どこかで見逃してるんだな
[1:54:50] osato_nooazi77: 見てないね
[1:54:51] luchs000: 線路の東側？
[1:54:55] omochi531: デカいめっちゃ目立つのにw
[1:54:55] sinmai_metagurosu: これ瞑想したらリセット？
[1:54:57] ゲーセン: 下水？
[1:54:59] masa_1234567: 歪みとか?
[1:55:01] ひかるのかがみ: どっかのガレージの中とか？
[1:55:04] yamato333kaki: 是非見つけたいか
[1:55:05] swift_horse2: さすがに歪み？
[1:55:09] 新米オーク: 南署の裏にあると見た
[1:55:10] ナンナス: ナンナス subscribed with Prime. 
[1:55:12] paeriaa: イサセンに\ivされた説
[1:55:15] おーばちゃん: 路駐？
[1:55:19] じゃがバター: これは死ぬ気で見つけるしかない
[1:55:26] スギヒロ: 積載多い…？キャンピングカーって
[1:55:27] Ciel4949: 難易度高めか
[1:55:27] rariru16: ほぉ！
[1:55:28] chima0601: 敷地内はありそう
[1:55:29] 妖野蓮子: ありけりね
[1:55:36] Okina_xst: なるほど
[1:55:36] gaigain0925: 流石に見つけて自分のものにしたいか？
[1:55:37] ryu031529: その車廃棄場は？
[1:55:37] kakemx: 今のデカイのは普通にトラックか
[1:55:37] mi_poko_35: いまのみたいな？
[1:55:46] はむはむ_: そもそも車が・・・
[1:55:55] raika_0630: 会長！助けてくれ...!
[1:55:56] ろな__: boostingチャンネルchillくていいね
[1:55:57] alice0213dayo: トラック見ると全部精製所に見える
[1:56:04] rariru16: 流石に見つけたいね！
[1:56:06] Ciel4949: 屋根上から探すとか？
[1:56:07] sie911: ないね
[1:56:09] sinmai_metagurosu: ヘリめっちゃ欲しいな
[1:56:09] EarlGrey_SPR: デカいから見れば1発でわかるはずなのにね
[1:56:12] yuuri119: 空から見たら分かりそうだけど……
[1:56:12] ヴィオロス: 生成所らしきトラックの積荷見るとビクってなる
[1:56:12] Okina_xst: ぱっと見でわからない感じで置いてる？
[1:56:17] mi_poko_35: あれトラックなの？キャンピングカーみたいに見えたw
[1:56:19] haru_chan92: なんか今日のブースティング難易度高くない？www
[1:56:22] gaigain0925: 店長ー
[1:56:25] rariru16: ばりおもろ
[1:56:31] chima0601: 上空からは確かに見つけやすそう
[1:56:35] sakana_857: これは流石にヘリ欲しくなる難易度
[1:56:36] remuril: 2人で動くのが効率的にはいいのか…
[1:56:37] gaigain0925: 店長助けて〜
[1:56:39] rariru16: わくわくする
[1:56:43] manoanokoto: どこー
[1:56:44] raika_0630: 円の外ギリギリとか？
[1:56:46] alice0213dayo: 歪みで湧いてない説？
[1:56:48] funibo: ヘリでブースティングは目立ち過ぎるなｗ
[1:56:50] rii3: rii3 subscribed with Prime. 
[1:56:55] はむはむ_: わーい、キャンピングカーだーーーって？
[1:57:01] Ciel4949: 会長ヘリ持ってきて〜()
[1:57:13] 光る物: 見てる感じ見てない箇所いくつかありますよ
[1:57:14] kakemx: 実は地下湧き
[1:57:20] karakusa1111: 意外と建物の敷地内とか？先入観に囚われてる？
[1:57:29] kazaneshin: 可動式シャッターの中とか沸きそう
[1:57:36] 新米オーク: 地下なら線路か
[1:57:36] EarlGrey_SPR: 高い場所から見てみれば？
[1:57:36] ryu031529: あるよ
[1:57:39] 妖野蓮子: 地下なんかあるのか？
[1:57:44] kakemx: 屋上とか
[1:57:47] 志岐_月影: 地下鉄？
[1:57:49] t4su_kun: おーい黒市民〜♪
[1:57:49] yuuri119: 上空から探索とかしかないか？
[1:57:51] gaigain0925: キャンピングカーってでかそうだしな
[1:57:52] kayakayb: 地下なかった？
[1:57:52] natsu1111_: 川側？
[1:57:52] Ciel4949: キャンピングカーやぞ…
[1:57:54] rnashiro_san: 練り歩きたい
[1:58:01] mag5814: キャンピングカー気になりすぎる
[1:58:02] AIL_0ks: AIL_0ks subscribed at Tier 1. 
[1:58:09] sie911: レウさんのキャンピングカー納品しよう
[1:58:13] rariru16: それはそう
[1:58:31] 妖野蓮子: 川から入ってみる？
[1:58:37] paeriaa: これは見つけたとき気持ちいい
[1:58:48] ロジーー: こここんな感じなんだ
[1:58:49] hayato_kba: 上から見たいま
[1:58:51] kakemx: ブースティングしながらゴミあされるのか
[1:58:52] nyun__03: キャンピングカーは欲しいなぁ
[1:58:53] kuzukiru3: 実はそんなにでかくない種類があるとか？？
[1:58:54] rnashiro_san: 無さそうってところまで入るしか、、、
[1:58:56] ロジーー: おもろいな
[1:58:56] Ciel4949: 塀裏見逃しとか？
[1:58:58] スギヒロ: 視点移動多くて、めっちゃ酔うｗ
[1:58:58] masa_1234567: 先入観を捨ててやるべきか
[1:59:01] o_sh__0412: これってキャンセルしたら車も消えますか？
[1:59:02] gaigain0925: ミッケ並に難しいw
[1:59:09] nanasuke_: 見つけた時脳汁えぐそう
[1:59:16] remuril: ゼ～ロ～
[1:59:17] ぱぬたろ: 頼むあってくれー
[1:59:25] hayato_kba: おお
[1:59:26] 逆叉洸奈: 燃えてきたねー
[1:59:30] しおらいく: 一筋縄で行かない感じがいいか〜
[1:59:30] gaigain0925: バニさんや
[1:59:31] kikyou_1223: キャンピングカーどこやー！！
[1:59:31] EarlGrey_SPR: お
[1:59:31] kayakayb: やはり地下か？
[1:59:34] うな重うな抜き: ばにさんｄｓ
[1:59:34] chima0601: ランドー
[1:59:36] スコーンをすこーん: 端すぎるか
[1:59:42] Okina_xst: お
[1:59:44] hari_hedgehog: 夕コさんも前同じようなことあったね
[1:59:49] nosemountem: 端には無さそう？
[1:59:52] suguraddiction1: 報酬洗ったやつか、送金ナイス！
[1:59:52] sinmai_metagurosu: 一旦ヘリ借りれんかな
[2:00:06] chima0601: マジないね
[2:00:07] kakemx: 刃弐さん来たなら会長借金返さないとやんw
[2:00:15] テトりる: どこや
[2:00:16] rukario_nijhol: https://clips.twitch.tv/MildLongCrocodileBrokeBack-qBhrQ-V0XtIqgxr2
[2:00:17] luchs000: まじで誰か持ってったかのうせ？
[2:00:21] うな重うな抜き: 困ったなあ。どこや
[2:00:26] きなこもち0913: あまりに無い
[2:00:28] alice0213dayo: ん いまあった？
[2:00:29] tqsia2: キャンピングカーなんてない
[2:00:29] sie911: wwwwww
[2:00:31] hifumiyoim: ｗｗｗｗ
[2:00:32] ろな__: お？
[2:00:32] 薄味さん: バカデカキャンピングカーでは無いのかな
[2:00:35] aoilea_twitch: 無さすぎる
[2:00:36] うな重うな抜き: いまのは？
[2:00:36] karakusa1111: 広場みたいなところの中？
[2:00:38] suguraddiction1: あれ？
[2:00:38] おともカフェ: がんばれー！
[2:00:40] chima0601: いまのは？
[2:00:41] 逆叉洸奈: なんかチルいなー
[2:00:42] スパーズ: ないか？
[2:00:42] EarlGrey_SPR: もう刃弐にヘリ出してくれって頼もうw
[2:00:43] ろな__: いまのはちがうのか
[2:00:44] rariru16: どこー泣
[2:00:44] suzunone_: 今のじゃ？
[2:00:44] hayato_kba: さっきのは違うか
[2:00:49] stass1880: いまのは違うのか
[2:00:50] _そらら_: 今のとこの後ろ？
[2:00:50] alice0213dayo: トラックのところ
[2:00:51] kakemx: キャンピングカー値段によってサイズ全然ちがうからなぁ
[2:00:52] iroh4s__: 警察ヘリに頼むしかなくね？
[2:00:53] hayato_kba: 後ろ
[2:00:54] sie911: 戻って戻って
[2:00:55] chima0601: その手前
[2:00:56] gensan55: あれゴミ箱？
[2:00:57] ppppeaceman: さっきの全部廃車？
[2:00:58] suguraddiction1: 車積み重なってたところ
[2:00:59] burnsnapper: 廃車じゃね
[2:01:01] Nightbot: 出来事や発言はすべてロールプレイで起こったフィクションです!指示コメ禁止!鳩コメ禁止!他視点の情報も禁止見かけてもスルーお願いします!
[2:01:04] かんでら: どこぉ
[2:01:08] hayato_kba: へーすまん
[2:01:10] rnashiro_san: 今の黒の車が積み重なったあたりは？
[2:01:11] cafeore_01417: もしくは通行の邪魔でインバウンドされた？
[2:01:13] うな重うな抜き: くそー
[2:01:16] ろな__: くそー
[2:01:16] alice0213dayo: くそー
[2:01:17] chima0601: 廃車かー
[2:01:20] Ciel4949: スクラップかー
[2:01:21] cassis727: 」」」」」
[2:01:23] chima0601: 確認有難うです
[2:01:23] yahhoikun: 今更ながら黒デビューおめでとうございます
[2:01:25] 光る物: 地下見るしか
[2:01:26] Nightbot: Twitter:https://twitter.com/R6S_guilty
[2:01:27] kakemx: オブジェクトやね
[2:01:28] _そらら_: その後ろのやつがそう見えたわ
[2:01:29] うな重うな抜き: ないよーー
[2:01:29] creamy1019: なさすぎるw
[2:01:31] シャドウハウイン: 車校の低いキャンピングカーとかあるのかな？
[2:01:34] じゃがバター: ここにはないやろっていう前提から疑うしかないのかー
[2:01:37] kiku446: あのトレーラー中は入れたりするのかなぁ
[2:01:37] kayakayb: 見つからないと気持ち悪いな
[2:01:39] はむはむ_: そりゃ動かないもんねぇｗｗ
[2:01:41] mochi8130: てかトラック荷台生成所が？
[2:01:42] Ciel4949: ぐう
[2:01:44] funibo: もうどっかの屋上とかにあるんじゃないかな
[2:01:45] gaigain0925: 欲しかったな〜
[2:01:46] kakemx: 奇跡的に屋根上とか？
[2:01:46] owlfoo: こんばんは〜
[2:01:46] Okina_xst: 見つからないな
[2:01:49] remuril: 屋根登って探してみる？w
[2:01:49] chima0601: 悔しいいい
[2:01:49] o_sh__0412: こんなに無いことある？
[2:01:49] トマト492: 色とか分かったらまだマシだけど…
[2:01:50] ぱぬたろ: く、悔しい
[2:01:51] 妖野蓮子: そんなー
[2:01:53] さーそー: 川沿いとかは？
[2:01:56] kohaku123455: 刃弐さんにヘリ頼むのもありか？
[2:01:56] urodema: 屋上とかに湧いてたらおもろい
[2:01:57] らきせぶ: 円からちょっと外れてる説ないの
[2:01:58] masatoseed: リセットが速そうですなぁ
[2:01:59] tokinoli: 川の低いほう見えなかったけど
[2:01:59] うな重うな抜き: うぎぎ
[2:02:01] 薄味さん: そこになければ無いですね
[2:02:01] ろな__: そんなぁ
[2:02:04] torxy_007: NEXT！
[2:02:05] Ymdudn: 地下入れる場所探すしかないのか
[2:02:06] 薄味さん: かなしい
[2:02:09] rnashiro_san: ぐやじぃ
[2:02:09] signal_does: 会長連れてきて見つけたら笑う
[2:02:09] riban_island: 絶対あるんだろうけどなあ
[2:02:10] hifumiyoim: お
[2:02:11] shise_021: 今のばに？
[2:02:11] 黒ごまソフト: ｗｗｗ
[2:02:11] hayato_kba: おおおおおお
[2:02:13] jseedv: ！
[2:02:13] gaigain0925: お
[2:02:13] Okina_xst: お
[2:02:15] 1amsat0: お！
[2:02:15] funibo: 草
[2:02:15] ろな__: お
[2:02:15] Ciel4949: おおおw
[2:02:15] テトりる: おおお
[2:02:15] 白_白: おおお
[2:02:15] はむはむ_: ｗｗｗｗｗｗｗ
[2:02:15] chima0601: 見てみたかった！
[2:02:16] mag5814: お
[2:02:16] _そらら_: www
[2:02:17] mi_poko_35: ちかw
[2:02:17] 00かものはし00: きたあああ
[2:02:17] hayato_kba: ちかい！
[2:02:18] うな重うな抜き: ｄ
[2:02:19] chima0601: おお
[2:02:19] gaigain0925: 今度こそ
[2:02:19] nyun__03: きたー！
[2:02:20] みょるま: ちかｗ
[2:02:21] ろな__: きた！！
[2:02:21] creamy1019: キャンピングカー巡りww
[2:02:21] tqsia2: 近いやんけw
[2:02:21] mag5814: ktkr
[2:02:22] rariru16: いいねぇー！
[2:02:22] 逆叉洸奈: リベンジじゃ〜！！
[2:02:22] sinmai_metagurosu: 草
[2:02:23] Okina_xst: おぉ！
[2:02:23] zei1996: 地下だったんかなぁ
[2:02:24] kakaomame_: 高い！！
[2:02:24] jseedv: いけるいける！
[2:02:25] torxy_007: リベンジマッチ
[2:02:25] shone310: 近いwww
[2:02:25] gensan55: 草
[2:02:26] テトりる: 今度こそ
[2:02:28] kuzukiru3: こんどこそー！
[2:02:28] ぱぬたろ: 新しいキャンピングカーwww
[2:02:28] 黒ごまソフト: リベンジキャンパー
[2:02:29] kikyou_1223: リベンジー！！！
[2:02:29] chima0601: 次こそ
[2:02:31] 薄味さん: DinoDance DinoDance DinoDance
[2:02:31] gaigain0925: キャンピングカー欲しい
[2:02:33] kakemx: これってブースティング中の人にしか見えない車なんですか？
[2:02:33] sie911: 難易度高すぎ
[2:02:33] domino5505: リベンジだ!
[2:02:34] remuril: これ見つかれば次にも行かせる
[2:02:34] suguraddiction1: まさか心なき持ち主が移動させた…？
[2:02:37] はむはむ_: キャンピングカー、リトライｗｗ
[2:02:37] chima0601: DinoDance DinoDance DinoDance
[2:02:37] すき焼き御膳: キャンピングカー移動したのかと思うレベル
[2:02:40] さーそー: なんなんｗ新しいキャンピングカーってw
[2:02:46] ryu031529: いまのは？
[2:02:47] lappy_do: これ依頼を受けたら車が出現する仕組みなの？
[2:02:51] wmomongaw: キャンピングカー見たい見たい！
[2:02:52] レッドユウ: 歪んで見えなくなってるとか？
[2:02:53] key_1950: さっきのと被る範囲にあるやつだったらおもろい
[2:02:53] じゃがバター: ブースティングってランク上げるのに何台くらい必要なのかな？
[2:02:56] remuril: 目の前に湧いたとかね
[2:03:01] ろな__: キャンピングカーだし
[2:03:01] gaigain0925: 鍵かかってないんだ
[2:03:03] kakemx: キャンピングカー珍しいから持ってく可能性はある
[2:03:06] ひかるのかがみ: 珍しいからありそう
[2:03:15] rnashiro_san: 見てるだけで動けない自分がもどかしいです
[2:03:19] suguraddiction1: 街中ブースティングの道のりは長いなぁ
[2:03:22] シャドウハウイン: それか、インバウンドされたか
[2:03:28] gongon_0528: これで無かったら歪み？
[2:03:33] mag5814: ブースティングは街を詳しく知れて良いね
[2:03:35] hikomorimori: めずらしー！で乗ってったのかもねｗ
[2:03:37] kakemx: 高架下とかだったら移動めんどいなぁ
[2:03:40] こたみん: キャンピングかーだけあつめてるひともいるかもしれない
[2:03:46] きなこもち0913: 9055中はウケる
[2:03:48] wanwannyanyan: 会長が乗ってたら絵になりそう
[2:03:49] sie911: 9055か
[2:03:52] トマト492: こんな狭い裏路地とか見ないから面白いな
[2:04:00] ねづき: 冷やかしすぎるw
[2:04:09] gongon_0528: 道に落ちてることある？
[2:04:10] うな重うな抜き: っしゃっしゃっしゃー
[2:04:15] かんでら: ｗｗｗｗ
[2:04:16] swift_horse2: えええｗ
[2:04:16] Ciel4949: 川沿いって湧くのか？
[2:04:18] Okina_xst: なんか来たｗ
[2:04:20] gaigain0925: えええ？
[2:04:22] creamy1019: なんか飛行機がw
[2:04:35] funibo: 見てるとブースティング700とか狂気の沙汰だな
[2:04:47] kuzukiru3: なんか別の種類のキャンピングカーだったり？
[2:04:48] lizzu2525: 高架下とかは湧かない？
[2:04:57] ゲーセン: レギオン行ったら誰かが運んでたりしてそうｗ
[2:05:01] 或ト: 出てくるときに周りに人がいてもちゃんとでてくるのかな
[2:05:03] 新米オーク: 上の高速に３００００ペリカ
[2:05:11] yuuri119: じゃないとしもそれっぽいのないよね
[2:05:13] Ascii0504: 立体の駐車場は沸かない？
[2:05:13] ityo12: 今北捕まったんですか？
[2:05:18] chima0601: ありそうw
[2:05:21] Ciel4949: あのバカでかいやつじゃないのかな？
[2:05:22] 黒ごまソフト: 画像確認したけどこれ目立つなあｗ
[2:05:35] すき焼き御膳: あとは立駐系かぁ
[2:05:44] tqsia2: 高速道路の下とかは？
[2:05:49] うな重うな抜き: ないなあ
[2:05:54] hayato_kba: 道路only？
[2:05:58] nyun__03: 教習所に修理台あるんだ
[2:06:00] gaigain0925: 立駐か高架下か...
[2:06:01] ゲーセン: 出れなくない？w
[2:06:01] Ciel4949: ｽｲｰ
[2:06:03] creamy1019: なんか街の地形めっちゃ覚えれるなw
[2:06:09] ryu031529: 最初なんか見えた気もしなくもない
[2:06:11] chima0601: 屋上？
[2:06:17] かんでら: 天井ひっくい
[2:06:19] すき焼き御膳: 飛べるんかな
[2:06:22] kakemx: 屋上から飛び降りるくらいしかない
[2:06:24] yakkooo630: 上から見るのは？
[2:06:24] remuril: 屋上ジャンプか
[2:06:29] ゲーセン: ナイー
[2:06:29] hayato_kba: ないんだよね
[2:06:42] バスタオル斎藤: 屋上からジャンピングカー
[2:06:44] Ascii0504: ないかー
[2:06:44] hayato_kba: やっぱヘリか
[2:06:52] gaigain0925: 歪んでる？
[2:06:53] daliottee: ぎるるいつの間に同接１万人のモンスター配信者に？
[2:07:00] ゲーセン: 取られた可能性：大
[2:07:00] suguraddiction1: 瞑想案件か…？
[2:07:00] Ciel4949: 神隠しか
[2:07:01] kakemx: でかいと思わせて実はめっちゃ小さいとか
[2:07:02] すき焼き御膳: 灯台もとぐらしとかおきたりしそう
[2:07:03] nyun__03: ヘリ借りるか？
[2:07:03] kikyou_1223: 灯台もと暗しだったりして
[2:07:04] fukutoto: まさか小さい？
[2:07:04] ひーくん0825: こんな見つからん事ある？ｗ
[2:07:07] かんでら: ｗｗｗｗｗｗ
[2:07:11] ぱぬたろ: BibleThump BibleThump BibleThump BibleThump
[2:07:12] えび_ふらい: 会長に助けてもらう？
[2:07:12] tanukineko08: 霊柩車なんじゃ？
[2:07:13] 1amsat0: wwwww
[2:07:13] ryu031529: 最初のところら辺見た？見てない気する
[2:07:13] うな重うな抜き: 泣き言がｗ
[2:07:14] おーばちゃん: 助けてぇー
[2:07:15] tqsia2: キャンプカーに光学迷彩かけられとるぞコレ
[2:07:17] じゃがバター: このキャンピングカーってみんなが想像してるあのキャンピングカーなの？
[2:07:17] chima0601: やっぱ夕コさんだなw
[2:07:18] torxy_007: ただ街うろつく配信になってる
[2:07:19] nai_ggty: 教習所の駐車場に青いの見えたけど違うか
[2:07:20] たけのこ寿司: 会長ってブースティングどれくらいなんだろ？
[2:07:20] funibo: また世界さん拒んでるんか
[2:07:21] shichilin: じゃあ、見た目がキャンピングカーぽくないとか？
[2:07:23] みずどり: キャンピングカーではなかったら笑う
[2:07:23] reichikin: また世界がw
[2:07:24] suguraddiction1: BibleThump BibleThump BibleThump
[2:07:26] スギヒロ: キャンピングカープリズー
[2:07:26] メビー: 高架下かな？
[2:07:27] オカンでも配信見るんや: テントウムシみたいな小さいキャンピングカーとか
[2:07:28] ロジーー: さっき会長に頑張って言われたしなぁｗ
[2:07:33] sie911: 抑制されてる
[2:07:35] masatoseed: ナイ・ヨー
[2:07:35] shunw007: キャンピングカーは沸かないとかあったりしない？
[2:07:42] シャドウハウイン: 霊柩車なのでは？
[2:07:42] ロジーー: 止まってる車がないもんな
[2:07:44] ぱぬたろ: キャンピングカーなんて目立つのにな
[2:07:45] ロジーー: ４２７９
[2:07:46] 棚から尻もち: ロスサントスぶらり旅channel
[2:07:48] はむはむ_: 止まってる車がないねぇ
[2:07:54] funibo: ありそう
[2:07:54] ろな__: 瞑想案件だったりする？
[2:08:02] satoru_emoemo: 移動とブースティングの為なら4000万のハボック使えるとおもうけどな
[2:08:12] gaigain0925: 高架下か？
[2:08:13] スギヒロ: 1ブロックずつ、色を塗っていくがごとくやらないとだめか？ｗ
[2:08:17] kayakayb: 高速下とか
[2:08:19] らきせぶ: 沸かないようにしてる説は
[2:08:19] swift_horse2: 積載多いから野良沸き消したとか？
[2:08:24] kakemx: ｢キャンピングカー｣が歪んでる可能性
[2:08:30] kulomo01: さっき霊柩車っぽいの止まってたけどナンバーだけでも確認とかは
[2:08:35] gromitzxr250: バニラのキャンピングカーはバンと同じサイズ
[2:08:35] 薄味さん: 街から消えてる可能性？
[2:08:39] xxdagashixx: 湧いたけど狭くて亜空間にとんだ説
[2:08:41] sushi_ja_gon: 会長ー！助けてくれー
[2:08:44] hari_hedgehog: Boostingやったから湧くのか、元々湧いてたのをBoostingで表示されてるのかどっちなんだろ
[2:08:47] kohaku123455: 灯台下暗しの可能性
[2:08:51] kulomo01: はえー
[2:08:56] akira_sakamoto: まさかの高速上とか
[2:09:00] juzisi: ヘリほしいね
[2:09:02] oriza_2425_: 地下に湧くとかはないか
[2:09:03] shunw007: ブースティングの王詳しかったりしないかな？
[2:09:04] かんでら: BibleThump BibleThump BibleThump
[2:09:06] tanukineko08: 川付近も？
[2:09:06] 志岐_月影: 範囲ずれるとか？
[2:09:10] ずきぐま: 歪みかなぁ？こんな見つからないことあるー？
[2:09:19] swift_horse2: 言われてみれば街中でキャンピングカー見ないな
[2:09:21] kakemx: 皇帝！？
[2:09:22] hatano_kaguya: 先入観に囚われてるとか？
[2:09:25] torxy_007: ちっか
[2:09:26] gaigain0925: ちっか
[2:09:28] nai_ggty: 視点が同じ場所は同じ動き方だから一周して無理なら無理かもw
[2:09:31] 1amsat0: wwww
[2:09:31] ろな__: ちっか
[2:09:35] ゲーセン: これ契約キャンセルってしまくったら街中に停車中の車あふれるってこと？
[2:09:35] yuuri119: 太陽上がりそう
[2:09:36] funibo: さっき来たところ行ったり来たり
[2:09:38] ぱぬたろ: 近くて助かる
[2:09:40] t4su_kun: 次ダメだったら一旦瞑想
[2:09:43] mattsun_02: エンペラーｗ
[2:09:46] 蛇穴典雅: キャンピングカーはロマンがあるけど、歪みやすいから可能なら消したいみたいなことを市長が言ってた気がする
[2:09:46] torxy_007: 署長誘拐マ？
[2:09:51] ほなつさん: 太陽？
[2:09:53] アルエ1124: 8401
[2:09:59] magohey21: こんだけ見て視聴者も見つけられてないならワンチャン歪みか
[2:10:01] じゃがバター: ブースティング車ってキャンセルした瞬間消えるんか？
[2:10:03] blackchronom: あっちの皇帝ももうすぐ署長期間終わるんか
[2:10:04] amnr_zyokira: まさかとは思うけど試乗会がある地下にあったり・・・？
[2:10:09] sie911: インペイラーかな？
[2:10:09] kakemx: 皇帝安かったら面白いw
[2:10:13] mattsun_02: もう３月だし署長ではないかな・・？
[2:10:31] スコーンをすこーん: 近づいて沸かさないとだめとか？
[2:10:45] gromitzxr250: セダンやね
[2:10:49] mikun_pipipi: まず車ないね
[2:10:55] kuzukiru3: 皇帝も元署長か
[2:10:57] danisan39: ケイン高級車レーダーついてないの？
[2:11:00] blackchronom: でも馬ウアーさん今ハワイだから…
[2:11:07] 黒ごまソフト: ザ・アメ車
[2:11:09] すき焼き御膳: ふるいタイプの車のレザインだね
[2:11:24] 1amsat0: でてこーーい
[2:11:49] o_sh__0412: この辺難しいですね
[2:11:52] remuril: バニー助けてぇ〜
[2:11:52] oriza_2425_: 建物の上とかワンチャンありそう
[2:11:52] はむはむ_: アメリカーンなクラシックなセダンやね
[2:11:57] 霧森どっく: ブースティングはランクは回数で上がる感じですか？
[2:12:23] 黒ごまソフト: おお
[2:12:24] blackchronom: お
[2:12:28] sie911: おおー
[2:12:28] ろな__: おお！
[2:12:28] mattsun_02: お
[2:12:29] 1amsat0: きたあああ
[2:12:29] oriza_2425_: お
[2:12:30] 薄味さん: おお
[2:12:31] hyumnkel: おおお
[2:12:32] kulomo01: おー
[2:12:33] magohey21: やったあああ
[2:12:36] funibo: ほー
[2:12:37] Okina_xst: おぉ！！
[2:12:37] かえなぎ: かえなぎ subscribed at Tier 1. 
[2:12:40] 1amsat0: レッツブースティング
[2:12:40] kuzukiru3: そんなジャンプに邪魔なとこにww
[2:12:43] 霧森どっく: (*ﾟ▽ﾟﾉﾉﾞ☆ﾊﾟﾁﾊﾟﾁ
[2:12:43] 薄味さん: ジャンプ台の真ん前
[2:12:46] hari_hedgehog: あと湧きなんだ！
[2:12:46] ただのばんり: 本署近くにあったのか
[2:12:47] ruabu: チェイスで来たら車あって飛べないとか切れそう
[2:12:53] hyumnkel: おｓｓｓｓ
[2:12:57] やきましゅまろ: おっっそ
[2:12:58] jseedv: おっそ
[2:13:00] ただのばんり: いるw
[2:13:01] kakemx: テトリスみたいな車
[2:13:02] sie911: www
[2:13:05] 逢碧: www
[2:13:05] remuril: こんなんチェイスの邪魔な位置に湧くとかはた迷惑やんww
[2:13:06] ろな__: www
[2:13:06] kuzukiru3: 気持ちよさそw
[2:13:07] magohey21: おっssssssssssssssssそ
[2:13:07] mattsun_02: もう初犯じゃないしなぁ
[2:13:09] らきせぶ: やっぱキャンピングカーあえて沸かないようにしてるっぽい？
[2:13:11] suguraddiction1: ついでに詐欺罪？
[2:13:13] kakemx: 警察署襲撃+詐欺罪
[2:13:13] かんでら: ｗｗｗ
[2:13:14] tqsia2: 閃光弾だ！
[2:13:17] sie911: 詐欺罪切られるよｗ
[2:13:17] torxy_007: ロボならやりかねん
[2:13:18] domino5505: グレネード！
[2:13:25] ひーくん0825: 詐欺も切られるのほんま草
[2:13:25] mharuka: まあやってもいい
[2:13:35] funibo: 結局グレネード詐欺罪継続なんか
[2:13:37] blackchronom: いうてもう白じゃないしやりたい放題チャンネルではある
[2:13:47] suguraddiction1: ならロケランか…
[2:13:47] reiyard09: 車って引き渡した後に相手より先に車に乗り込むとどうなるんですか？
[2:13:48] kulomo01: ナイフ投げるだけならセーフかもしれない
[2:13:51] ぼさつもんじゅ: ライセンスはもう無いけど詐欺罪つくんか？
[2:14:03] tora0373: こにゃちわ！納品ですか！？
[2:14:08] my_name_k1: my_name_k1 subscribed with Prime. 
[2:14:09] sie911: ドリさんいたら詐欺罪切られたのかなあ
[2:14:10] chuchuchan8: chuchuchan8 subscribed with Prime. 
[2:14:14] torxy_007: ぐにゃぁ...
[2:14:26] Okina_xst: 溶けはじめた～
[2:14:27] 黒ごまソフト: 耐えてくれー！
[2:14:34] kayakayb: ぎるくんが歪んてた説濃厚だな
[2:14:41] ruabu: 坂道しんどｗ
[2:14:42] lizzu2525: 納品中に強制瞑想すると車消えるのかな？
[2:14:49] ずきぐま: 消えそう…
[2:14:50] 沙霧まお: guilty38Nayamu guilty38Nayamu guilty38Nayamu
[2:14:51] kakemx: 仕入れトラックより遅ない？
[2:14:53] tora0373: この国で綺麗な状態で寄こせと？？
[2:14:58] fukutoto: 曲がらないからちょうどいい
[2:15:03] blackchronom: グレ使った瞬間詐欺罪なのおもろい
[2:15:04] suguraddiction1: この速度じゃ心なきに間違われかねないw
[2:15:07] はむはむ_: BIG SUZUKIが好きそうな車
[2:15:09] kulomo01: 70km
[2:15:10] 1amsat0: 超安全運転
[2:15:15] うな重うな抜き: ドリドリのが困るｗｗ
[2:15:29] ずきぐま: ほんとにぶらり旅
[2:15:33] alienmaaaaaars: 溶けたら補填部屋行って帰ってくると治るらしい
[2:15:40] yuuri119: おじいちゃん走行
[2:15:40] t4su_kun: 帰りはどうするの？
[2:15:47] ねづき: あっ
[2:15:49] kayakayb: 夢の世界ではかなり速いけどね
[2:15:49] 1amsat0: ww
