[0:00:24] poopvoov: ดีครับลุง
[0:10:17] heremos1: หืออ ต้องเอาเป็นคาบอนละครับ 5555
[0:10:17] TAYCAMEL: ยกกันชนเลยหรือโป้วเอาครับพี่
[0:10:18] tanapoom2: SeemsGood SeemsGood
[0:10:20] jao_nice: โห่
[0:10:20] kukereiei: สงสารเเมว จังง
[0:10:23] pFeelingq: จนที่ ล่อไป ครึ่งล้าน
[0:10:24] artwoii: แมวมีเจ้าของป่าวลุง
[0:10:30] firstza2540: โครตแพง
[0:10:30] sil4ss: เจ็บจัด
[0:10:37] by_wen: โอ้ แพงจัด
[0:10:39] bagarozz007: คือจะมาเล่าแหละเลยขึ้นโก ช้ะมะตาแก่
[0:10:40] badassskidd: 555555
[0:10:41] chanathip27_: ขับมาเท่าไหร่ครับลุง
[0:10:43] realcap4444: เค
[0:10:45] RONGKATEPJR: บบ
[0:10:48] jenpop2007: ชนแมวขนาดนี้ชนหมาจะขนาดไหน
[0:10:50] nonsnook26: เอกศิลปะ
[0:10:51] NattakitMusic: ประกันให้มั้ยครับ
[0:10:53] badvibeeiei: อุบัติเหตุไม่มีใครอยากให้เกิด
[0:10:55] chanaxay: วาดที่ไม่เข้าใจ
[0:10:56] xzq56: ภาพมา
[0:11:00] Onsupness: เล่าอย่างเดี๋ยวไม่ต้องวาดได้มั้ย
[0:11:02] Mossnakubbb: โอเค ตี๋  V2
[0:11:02] benz_baramee: @artwoii ลุงเขาไม่เอาเรื่องครับ ลุงยังหาเจ้าของอยู่เลยครับ ให้เบอร์กับ รปภ.ไว้เพื่อเจ้าของแมวมาหาน้อง
[0:11:02] rsj_n7: อันนี้ชนแมวรึชนหมูครับลุง เป้นขนาดนี้ หยอกๆครับ😂
[0:11:04] badassskidd: สงสารแมว
[0:11:05] martinnicora: เราไม่บาปครับลุงเราไม่ได้ตั้งใจ
[0:11:06] chibs_telfordd: แล้วชนได้ไงลุง แมววิ่งปาดหน้าหรอครับ
[0:11:07] phanuwat2006: มีแต่คนสงสารแมวไม่สงสารลุงบ้างที่ต้องจ่ายค่าซ้อมเองอ่ะ
[0:11:09] dome_zazaza: วาดได้สวยมากครับ
[0:11:09] 3dherobro: เช็งเพราะชนมากกว่า ดูแล้ว เพราะสงสาร
[0:11:22] firstza2540: เซ็งเพราะค่าซ่อมแน่ๆ
[0:11:23] ty_saorkone1722: 555
[0:11:23] basmin58: ลุงมาแรงมากมั้ยครับ
[0:11:32] new_sparrow: ตอนเช้าลุงค่อยไปทำบุญให้แมวก็ได้นะครับเผื่อแมวจะได้บุญ เราไม่ได้ตั้งใจชนนะคับลุง
[0:11:33] TAYCAMEL: แมวชอบวิ่งตัดหน้ารถครับผมเจอแทบทุกวัน
[0:11:34] RONGKATEPJR: จะให้แมวจ่ายหรอ  พูดแปลกๆ
[0:11:37] badassskidd: ชีวิตแมวตั้ง1ตัว
[0:11:41] I3enjamin88: เค
[0:11:42] firstza2540: เสียใจเรื่องแมวด้วยลุงเราไม่ได้ตั้งใจ
[0:11:43] thetoppp1233: สงสารลุงบ้าง ลุงก็ไม่อยากให้เกิดขึ้นเหมือนกัน
[0:11:52] iamjergulaw: Shush
[0:11:55] plub2003: มาดึกจังครับ
[0:12:07] tonrakkkkk: สวสารทั้งคู่แหละครับมันคืออุบัติเหตุไม่ได้ตั่งใจ
[0:12:10] new_sparrow: แชมพิมพ์อะไรก็คิดก่อนพิมพ์นะคับ
[0:12:12] maxzaa09: rebirthztvJak
[0:12:23] benz_baramee: พี่แต้วสงสารแมวมาก นั่งลูบศพน้องแมว🥹🥲🥹🥲
[0:12:25] Earth_Allain: ถนนใหญ่หรอลุง
[0:12:33] dome_zazaza: มาดึกไม่ดึก ยังไม่จบอีกหรอแชท บางคน
[0:12:37] maxzaa09: rebirthztvCritical_TK
[0:12:41] sil4ss: เหมือนเขาอยากชนมั่งเเชท พิมซะ
[0:12:49] Bensodomo: แชทหลายชีวิตต้องแยกให้ออกระหว่างตั้งใจ กับไม่ได้ตั้งใจนะ ลุงก็รู้สึกผิด
[0:13:04] my_rorikon: แหกขี้ตามาดูลุงกำลังเคลิ้มๆหลับเลย
[0:13:09] MFoxzy: แชทบางคนแม่งอย่างป่วย
[0:13:11] TAYCAMEL: ละใครเอาแมวไปปล่อยเกาะกลางวะนั่น
[0:13:14] RONGKATEPJR: ท็อปฟอร์มจัดปีนี้ ทำบุญด่วน
[0:13:14] suwaphan06: แชทแมร่งซ้ำร้อยของ จริง
[0:13:14] nbayoungboyy69: คือไม่มีใครอยากตั้งใจชนหรอกครับ
[0:13:33] pmosza365: บางตัวก็วิ้งใส่ลุง
[0:13:35] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:13:35] veesa101: แมวหน้า หมาหลังครับ
[0:13:36] I3enjamin88: I3enjamin88 is gifting 1 Tier 1 Subs to RebirthzTV's community! They've gifted a total of 1 in the channel! 
[0:13:36] I3enjamin88: I3enjamin88 gifted a Tier 1 sub to siraphop04! 
[0:13:44] derdsmoke: ขนลุกกกกกกกก
[0:13:50] siwat2540: ถ้าเราหลีกแมวรถก้พังทั่งคันอ่ะดีแล้วที่ชนไปคับ
[0:13:51] 3dherobro: ตกใจ พุ้งใส่รถ
[0:13:56] hee_mencrown: เป็นบาปครับแต่บาปที่ทำโดยไม่ตั้งใจ ไม่ถึงกับบาปมาก
[0:14:00] TIM_Enjoy_Today: ห๊ะ
[0:14:00] RONGKATEPJR: โบราณ บอกไว้ว่า
[0:14:01] my_rorikon: คนปล่อยแมวแมม จิตใจทำมาด้วยอะไร ซื้อมาเลี้ยง แต่กลับปล่อย
[0:14:01] thananya225: ขนลุก
[0:14:05] iamjergulaw: มีกล้องหน้ารถไหมลุง
[0:14:06] ty_saorkone1722: แล้วถ้าชีวิตคนละครับถ้าเรา หลบเราอาจจะ เกิดอุบัติเหตุละ
[0:14:08] tonsesomphan: เป็นลางนะนั้นลุง
[0:14:10] jameboyband: หื้อ
[0:14:15] badvibeeiei: แมวสีอะไรอะพี่
[0:14:23] ty_saorkone1722: ใช่ลุง
[0:14:23] cosmiccafe: คงจะกระโดดข้ามถนน ปกติน้องแมวไม่สังเกตุก่อนข้ามอยู่แล้ว
[0:14:25] derdsmoke: มาขนลุกตอนนนี้อ่าาาาา
[0:14:25] TuengBTL: TuengBTL subscribed at Tier 1. They've subscribed for 26 months! ตาแก่
[0:14:27] benz_baramee: @badvibeeiei ขาวครับ
[0:14:27] namoooooo0o0o: ดวงซวยครับ
[0:14:30] dream121311: อย่าหักหลบเลย
[0:14:30] sil4ss: เเมวเลี้ยงหรือเเมวจร อะลุง
[0:14:32] tonrakkkkk: สงสารทั้งคู่ครับครก็รู้สึกผิดไม่ได้ตั้งใจชน
[0:14:33] TIM_Enjoy_Today: พี่เอสโดนไรมาครับ
[0:14:35] arm_garak: ดีแล้วที่ลุงไม่ตกใจถ้าคนตกใจอันตรายแน่
[0:14:36] heremos1: หักหลบอาจจะหนักนะ
[0:14:41] dome_zazaza: ทำบุญหน่อยครับลุง ปีนี้หนักเลย
[0:14:43] wuttipongtan24: เป็นผม ผมก็ไม่มีเบรคครับ ไม่ว่าจะหมาหรือแมว กำพวงมาลัยแน่นๆจบ
[0:14:44] benz_baramee: แมวมีปลอกคอ
[0:14:51] jameboyband: ดีแลัวที่หัก
[0:14:53] jojunee: หักหลบก็อันตรายกับคนในรถอีก
[0:14:59] safesatan: แปลกนะ แมวฆ่าตัวตายหรอ
[0:15:00] cosmiccafe: ถ้าหมาแตกกว่านี้อีก
[0:15:04] masknok: ทำบุญบ้างนะลุง ไม่เชื่อไม่เป็นไร ลองดูก็ไม่เสียอะไรครับ
[0:15:11] RONGKATEPJR: ลาง มา
[0:15:16] ty_saorkone1722: ชนได้ก็ต้องชนถ้าเราหลบเราอาจจะซวยก็ได้
[0:15:18] khundat: ขนขาว
[0:15:21] rewatsank: ถ้าหมาก็น่าจะแพงกว่านี้
[0:15:22] heremos1: Rip
[0:15:23] TAYCAMEL: แรงgไงพี่ พี่มาเร็ว
[0:15:35] firstza2540: มันกระเด็นแรง
[0:15:40] cosmiccafe: ลอยข้ามรถไป
[0:15:43] djsuyc: พี่ต้องมีกล้องหน้ารถ
[0:15:48] CheckerDabX: จังหวะเเบบนี้ชนเลยครับอย่าหัก พี่ชายผมหักหลบหมา ลงข้างทางรถตกน้ำทั้งคัน
[0:15:59] first_9new: เสียงตังเบิกใหม่อีกพี่เอสเอ้ย55555 ที่ฟาดเคราะห์
[0:16:09] badvibeeiei: ดีนะพี่ไม่หักหลบอะ
[0:16:10] hee_mencrown: ช่วงนี้อย่าขับรถโดยประมาทนะลุง อาจจะเป็นรางสังหรณ์อะไรบางอย่าง ให้ดีไม่มีธุระตอนกลางคืนห้ามออกประตูผีมันเปิด แต่เอาจริงๆทุกช่วงเวลาแหละใช้ชีวิตอย่าประมาท ผมกลัวลุงเป็นอะไรไป
[0:16:20] chanaxay: ทำบุญหน่อยก็ดีนะ
[0:16:24] 001sor: เมื่อเ้าแมวผมก็โดนหมากัดตาย
[0:16:24] CastlEsZzz: แมวมี9ชีวิต
[0:16:27] nanxmm: แมวสีไรลุง
[0:16:27] jokemooooo: ขนาดหมาวิ่งตัดเขายังให้ชนเลย ไม่งั้นเราอันตรายเอง
[0:16:29] goodluck0001: เจ้าของแมวออกมารับผิดชอบไหมครับ เพราะแมวผิดอยู่แล้ว
[0:16:32] firstza2540: ลุงทำดีแล้ว
[0:16:37] JAK25261: เมื่อคืนนี้ถ้าลุงไม่ไปเร็วลุงคงไม่ชนเเมยหรอก
[0:16:43] dekDiwz_: ทำดีแล้วครับลุง
[0:16:44] TAYCAMEL: แมวมีปลอกคอหรอพี่
[0:16:44] badvibeeiei: แมวมีปลอกคอจริง แต่มาอยู่กางถนน อันนี้ถ้ามีเจ้าของ มันคือ ความรับผิดชอบของเจ้าของนะ ปล่อยหลุดมาอะ และมัเป็นอุบัติเหตุด้วย
[0:16:48] KONGCOOL77: แมวผิด 5555
[0:16:48] tonrakkkkk: จริงครับลุงเสียใจครับแมวผมพึ่งโดนเหยียบตายไปผมทำใจโครตลำบากเลยครับ
[0:16:50] aomsinz__stp: HypePurr
[0:16:51] firstza2540: เป็นคนอื่นชนแล้วหนีไม่ขี่มาดูด้วยนะ
[0:16:52] sil4ss: ละมีเจ้าของเขาปล่อยมาได้ไงอะ
[0:16:53] tanatutttt: พี่ขับรถมาเท่าไหร่ เร็วมั้ย
[0:16:53] RONGKATEPJR: หืออออ
[0:16:53] engineerp06: มีปอกคอมั้ยคับ
[0:16:56] djsuyc: พี่ต้องมีกล้องหน้ารถ
[0:16:57] dome_zazaza: ถูกครับ
[0:16:57] pumkin_th: greanCrygreanCry￼￼ greanCry
[0:16:58] younghexz: แมวจร หรือ แมวพันธู์ พี่
[0:16:59] basmin58: ใช่ครับลุง เจ้าของผิด ปล่อยปะและเลย
[0:17:01] nattapon_promson: เยอรมัน หน้าฝน แมวตายเต็มถนุนเลยครับมันแอบออกจากบ้านมาล่าหนู
[0:17:04] artwoii: เหมือนรถไฟชนวัวอะครับเจ้าของผิด
[0:17:06] chibs_telfordd: มีปลอกคอไหมลุง
[0:17:12] popzabig: ช่ายเหมือนคนเลี้ยงวัวข้างทางครับ
[0:17:16] est_col: ผมพึ่งชนหมาเมื่อคืนวิ่งตัดถนนมาตัวอย่างใหญ่
[0:17:16] nonsnook26: ตกใจหมด
[0:17:17] iamjergulaw: แมวหลงมาเปล่า
[0:17:19] NoahXPM: BibleThump BibleThump BibleThump
[0:17:21] j_r_n_a: เเมวจุกรึป่าวครับ
[0:17:25] naringsak_bas: เเมววัด
[0:17:27] chibs_telfordd: BibleThump BibleThump
[0:17:29] jokemooooo: ขับขี่ปลอดภัยระมัดระวังนะลุง
[0:17:32] harpercu: น้องน่าจะหลุดออกมานะ
[0:17:37] cosmiccafe: แมวไม่รู้เรื่องอยู่แล้วคนเลี้ยงอะผิดที่ปล่อยให้มาวิ่งเล่นที่ถนน
[0:17:39] tuatorbanana: แมวหนีเที่ยว
[0:17:40] nbayoungboyy69: ผมยุๆๆ
[0:17:41] firstza2540: ใช่ๆ
[0:17:41] Earth_Allain: อันนี้ผิดที่เจ้าของนะ
[0:17:43] nsoforrrr: !uptime
[0:17:43] Nightbot: Stream uptime 17 minutes, 51 seconds
[0:17:45] lmochoy: ขนยาวเปอเซียแน่ดูจากรูป
[0:17:45] kukereiei: เสียใจเเทนเจ้าของด้วยคับ ลุงก็ไม่ได้ตั้งใจ
[0:17:45] JAK25261: เมื่อคืนนี้ถ้าลุงไม่ไปเร็วลุงคงไม่ชนเเมวหรอก
[0:17:45] ty_saorkone1722: ผมขับรถ6ล้อผมอยู่ที่ลาวเขาเลี้ยงสัดตามถนนถ้าผมหลบผมอาจจะไม่รอดผมเลยชนแกะไป3-4ตัว
[0:17:45] P1SCEZPR0: ถนนเป็นที่ของรถ อะไรที่อยู่บนถนนไม่ใช่รถ ผิดหมดครับ
[0:17:46] Worldtour56: ไม่ได้ตั้งใจ มีบาปแต่ไม่ 100%  ครับ คือการกระทำผิดบาปดูจากเจตนาครับ ถ้าลุงไม่ได้ตั้งใจ ก็มีเศษกรรมครับ แต่ก็เล็กน้อยครับ ส่วนสิ่งที่ติดก็ไปทำบุญครับ เพื่อให้ใจสบายขึ้นครับ
[0:17:47] hee_mencrown: วิ่งไล่หนูหรือเปล่าครับ
[0:17:51] dexterx66: อ่อเก็ทละ
[0:17:58] first_9new: ตกใจกว่าลุงชนแมวคืนลุงมาตี1    55555
[0:18:01] KONGCOOL77: ลูฟี่เกีย5
[0:18:01] safesatan: น่าจะหลุด
[0:18:01] soart_tnp: แมวโรงงานป่าว
[0:18:02] TAYCAMEL: เจ้าของปล่อยไงไม่ดูแล
[0:18:04] suwaphan06: ถ้าเป็นมอไซ ไม่อยากคิด
[0:18:04] beartn08: เก็ท
[0:18:05] dome_zazaza: ส่วนมากจะหนีครับ
[0:18:10] authan15: มันตื่นจากคนไล่มารึป่าวลุง
[0:18:10] koaweerachat: ฟาดเคาะไปครับลุง
[0:18:14] natthawut042539: เขาเลี้ยงแบบเปิด
[0:18:14] grn_ne: ลุงเชื่อเรื่องคำพูดผู้ใหญ่ที่บ้านไหมครับิ
[0:18:15] firstza2540: โอเคลุงเก็ทละ
[0:18:16] imEmaf: จังหวะซวยจริงๆลุง
[0:18:17] ppimjung: ถ้าตัวใหญ่น่าจะแมวพันธุ์นะ
[0:18:17] ic_on111: เจ้าของไม่ดูเลย
[0:18:19] ThoMasX_1999: แมวจริงๆควรเลี้ยงระบบปิดอยู่แล้วคับ ถ้ารักแมวจริงๆ
[0:18:23] tonrakkkkk: บงบาปไร้สาระครับอย่าคิดมากครับเราไม่ได้ตั้งใจแล้วที่หลังเราก็แค่อย่าประมาทพอครับพี่เอส
[0:18:27] Esterr012: ต้องทำบุญเยอะหน่อยลุงปีนี้
[0:18:29] ThoMasX_1999: จากใจคนเลี้ยงแมว
[0:18:34] Mossnakubbb: ฟาดเคราะไปลุง 500K
[0:18:35] beartn08: มันศาลายานิ
[0:18:35] badvibeeiei: เหมือนพุ่งมาอะ
[0:18:36] iamjergulaw: ถวายสังฆทาน สักชุดลุงกวดน้ำเพื่อความสบายใจ
[0:18:36] 3dherobro: ผมว่า ตกใจกระโดดใส้
[0:18:37] NeverSayzLIVE: แมวหลุดปะครับ
[0:18:38] pdk_padol: มันกระโจนเข้าหารถงัยลุง
[0:18:42] nsoforrrr: เรื่องบาปบุญมันอยู่ที่ส่วนบุคคลอะ สวรรค์ในอยู่อก นรกอยู่ในใจ
[0:18:42] mew123as: มันจะกระโจนออกมาครับ
[0:18:43] sprite_1999: ใช้คับ
[0:18:47] aladdin_walker: มันตกใจเสียงรถลุงหรือเปล่า
[0:18:48] firstza2540: ผมเลีัยงแมวยังไม่กล้าให้ออกบ้านเลย
[0:18:51] RONGKATEPJR: ระวังตัวนะครับลุง ปีนี้
[0:18:59] popzabig: แมวตกใจมั้งลุงง
[0:19:03] natthawut042539: มันวิ่งไปตายลุง
[0:19:05] x_armreds_x: @suwaphane ผมเคยขี่มอไซต์ชนแมวนะ น้องกลิ้งน่าสงสารมากเลยครับแต่รถไม่มีอาการจะล้มหรืออะไรนะครับ
[0:19:06] naponpat_: ลอดใต้ท้องปะพี่
[0:19:07] imEmaf: ยังไม่สิ้นใจทันทีรึป่าวลุงพยายามจะข้ามฝั่งต่อจนสิ้นลม
[0:19:08] windhawke: เอาลุงมาไง
[0:19:09] guszaa: มันดิ้นก่อนตายแหละครับ
[0:19:11] MFoxzy: @Original97s คือุมึงทักมาด่าเพื่อ แค่บอกแชทบางคน่ป่วยมึงร้อนตัวดิ จะซ็ำเขาอย่างเดียวเลย
[0:19:11] ty_saorkone1722: สัตว์มันหน้าจะตกใจลุงมันเลยกะโดด
[0:19:14] engineerp06: คงวิ่งหปไปตาย
[0:19:14] badvibeeiei: ไม่คาที่หรือป่าว อาจจะวิ่งต่ออีกนิดนึง
[0:19:17] rastaearth: มันดิ้นก่อนตายคับ
[0:19:21] rewatsank: ขับกี่ครั้งเอง เข้าอู่อีกแล้วหรอลุง
[0:19:21] nobi_nobita_: ตอนชนน่ายังไม่ตาย แล้ววิ่งไปตายตรงนั้น
[0:19:22] earthh888: มันไม่คาที่ครับ
[0:19:23] sevensix67_: ถ้าชนมันจะวิ่งก่อนตายพี่เพราะมันตกใจ
[0:19:28] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:19:28] KONGCOOL77: เรื่องปกติ ของแมว ถ้ามันรู้ว่าใกล้ตาย
[0:19:28] bangmeen_stp: เอาเี
[0:19:29] siwat2540: ท่อรถดังด้วยมันน่าจ่ะตกใจ
[0:19:30] 001sor: ลุงตกใจไหมครับ
[0:19:30] hee_mencrown: @tonrakkkkk ไม่ไร้สาระนะครับเรื่องบาปบุญคุณโทษ ทุกศาสนาสอนเรื่องนี้ครับ
[0:19:34] natthawut042539: ดีแล้วลุงทีไม่เป็นไรมาก
[0:19:34] Esterr012: ทำบุญเยอะๆลุงอาจมีเคาะ
[0:19:35] TAYCAMEL: แล้วทีนี้ต้องเปลียนกันชนเลยหรือโป้วเอาครับพี่
[0:19:35] dexterx66: ไม่ผิดครับลุง
[0:19:36] badvibeeiei: น้องน่าจะไม่ได้ตายทันที น่าจะ วิ่งไปตาย
[0:19:37] aosoti: ทำบุญเอาครับ
[0:19:37] j0wjooooo: ช้ำใน
[0:19:39] tim_manggo: มันไม่ตายเลยลุงน่าจะวิ่งไปตายอีกฝั่ง
[0:19:40] sevensix67_: ช้ำในพี่
[0:19:40] finaloom: ผมก็เคยชนหมาตาย เฟลไปเป็นเดือนเลย
[0:19:42] Worldtour56: ไม่ได้ตั้งใจ มีบาปแต่ไม่ 100% ครับ คือการกระทำผิดบาปดูจากเจตนาครับ ถ้าลุงไม่ได้ตั้งใจ ก็มีเศษกรรมครับ แต่ก็เล็กน้อยครับ ส่วนสิ่งที่ติดก็ไปทำบุญครับ เพื่อให้ใจสบายขึ้นครับ
[0:19:44] ThoMasX_1999: แมวจะวิ่งไปตุยที่อื่นคับ ส่วนใหญ่
[0:19:51] bangmeen_stp: ลุงมาเวลานี้อะนะ
[0:19:51] basnoppadon: มันดิ้นครับลุง เวลาโดนชน
[0:19:54] popzabig: พอชนแล้วแมวอาจดิ้นตอนโดนชนแล้ววิ่งไปไงลุงง
[0:19:54] nonsnook26: แมวตัวเล็กหรือพี่
[0:19:58] grn_new: ลุงเชื่อเรื่อง เวลาจะมีเรื่องอะไรผู้ใหญ่ที่บ้านจะ ทำคุยด้วยหลังจากที่ไม่ได้คุยกัน
[0:19:59] Dekninety_: ระวังผีแมว
[0:19:59] nrm17: น้องหายใจมั้ย
[0:20:00] firstza2540: กระโดดใส่รถละกระเด็นตกมาช้ำใน
[0:20:02] windhawke: แมว9ชีวิต แต่ถ้า10คาที่ครับลุง
[0:20:02] hadesxxxl: @tonrakkkkk พูดแบบนี้ไม่ได้นะครับใครสอน
[0:20:08] authan15: ตอนลุงชนมันน่าจะตะเกือกตะกายเอาชีวิตตัวเองรึป่าวลุงมันถึงได้อยู่หลังรถมันน่าจะยังไม่ตายเลยตอนชน
[0:20:10] TAYCAMEL: แมวชอบวิ่งใส่รถครับ
[0:20:15] windhawke: แมว9ชีวิต แต่ถ้า10ล้อคาที่ครับลุง
[0:20:16] pdk_padol: ไม่มีเลือดอันตรายเยอะน่ะ น่าจะช้ำใน
[0:20:17] MFoxzy: @Original97s เก่งให้ดาปดูหน่อยดิ อยู่ดีๆทักมาด่า ร้อนตัวหรอ
[0:20:19] popzabig: แบบมันไม่ได้ตายคาที่อ่ะ
[0:20:26] lmochoy: รถวิ่ง120ตายเลยมันน่าจะลอยไป
[0:20:27] ThoMasX_1999: แมวจะไม่ตายเลยส่วนใหญ่ จะวิ่งได้ต่อไปแอบตุย ที่ไม่ค่อยมีใครเห็น
[0:20:36] aladdin_walker: ผมว่าที่มันไปอยู่ตรงนั้นเพราะมันน่าจะเดินไปลุง น่าจะเสียเพราะบาทแผลมากกว่าเพราะแมวโดนชนส่วนมากจะไม่เสียทันที
[0:20:39] 3dherobro: แมวท่าโดนชน ส่วนใหญ่จะวี่งไปตายอีกที่  นอกจากเยียบ
[0:20:40] ty_saorkone1722: ผมอยู่ที่ลาวเจอทั้งฝูงแกะฝูงงัวอ่ะเต็มถนน
[0:20:43] phongsakorn007x: มันอยากนั่งgtrหรือป่าว
[0:20:45] my_rorikon: ตกใจ
[0:20:46] 001sor: แมว9ชีวิต
[0:20:47] tuatorbanana: มาคานไปตายแน่เลย ไม่ได้คาที่
[0:20:48] grn_new: พี่เอสเชื่อเรื่อง เวลาจะมีเรื่องอะไรผู้ใหญ่ที่บ้านจะ ทำคุยด้วยหลังจากที่ไม่ได้คุยกันนาน เพราะเมื่อวาล คุณแม่โทรหาพี่เอสนะพี่
[0:20:49] puenkuh: เอาง่ายๆรถลุงมาพอดีแมวก็กระโดดมาพอดี
[0:20:52] kaffee_40: ช่วงนี้แมวจะหาคู่ผสมครับ ผมเลี้ยงแมวอยู่ ชอบวิ่งข้ามถนน
[0:20:54] ThoMasX_1999: ถ้าเหยียบแบบจังๆ ถึงจะคาที่คับลุง
[0:20:57] dexterx66: อ่อเครครับลุงสู้ๆๆ
[0:20:59] TAYCAMEL: ถวายสังฆทานครับพี่
[0:21:00] natthawut042539: ดีกว่าชนวัวลุง
[0:21:01] rewatsank: น่าจะสัตว์แหละ อย่างอื่นน่าจะไม่ใช่
[0:21:02] sevensix67_: คนรักแมวเข้าใจเวลา เจอเหตุการณ์ แบบนี้
[0:21:06] kivd123123: เป็นไปได้รอบนี้วาดรูปรู้เรื่อง
[0:21:08] l3oomas014: มีกรรมร่วมกันครับ เป็นอุบัติเหตุ
[0:21:09] x_armreds_x: น้องน่าจะตกใจเสียงท่อด้วยแหละ
[0:21:12] badvibeeiei: @grn_new แกกับแม่คุยกกันตลอดครับ แกเคยบอกอยู่
[0:21:19] NattakitMusic: เสียเวลา เอารถไปจอดยาวอีกแล้วละลุง รอสั่งของอีก
[0:21:19] sil4ss: ไม่เป็นไรครับ ทำบุญๆ เราไม่ได้ตั้งใจ
[0:21:23] nsoforrrr: อุ้มไปโรงพยาบาล
[0:21:25] B2er1608: ทำบุญให้น้อง แล้วลุงก็ขับรถระวังๆหน่อยนะครับ
[0:21:25] sevensix67_: ตอนไปดูน้องยังหายใจหรือนิ่งไปแล้วพี่
[0:21:27] ThoMasX_1999: แมวมีปลอกคอไหมคับลุง
[0:21:28] my_rorikon: ใครว่าแมว 9 ชีวิต ตอนเด็กแมวผมโดนรถ 10 ล้อ
[0:21:31] new_sparrow: ผมว่ายังไงก็เสียชีวิตขับชนเต็มที่เลยอ่ะดูจากรูปภาพนะ
[0:21:37] JN_nipaporn: @bungpreme มีค่ะ
[0:21:46] derdsmoke: เอาแล้ว
[0:21:52] chanaxay: ไม่เป็นไรพี่เลื่องมันเกิดแล้วทำที่เราทำได้ก็ดีแล้วครับ
[0:21:57] 3dherobro: หายใจก้ไป โรงบาล ไม่หายใจ ก้ทำพิธี
[0:22:00] TAYCAMEL: มีคนทักไง
[0:22:01] jgcnifckkhg: เอาแล้ว
[0:22:03] ThoMasX_1999: สงสารเลยคับ ปล่อยน้องออกมาแบบนั้น @jn_nipaporn
[0:22:04] heremos1: Mau5
[0:22:05] balls_th: จริง
[0:22:05] PaoYingShul3: ระวังฝน ไม่ได้ระวังแมว
[0:22:07] kukereiei: ใครทักมานะ
[0:22:07] aosoti: ใช่ๆม่ๆ
[0:22:08] ty_saorkone1722: ถ้าเราหลบเราอาจจะอันตรายกว่านี้ครับลุง
[0:22:11] KONGCOOL77: แมวพิม
[0:22:12] JN_nipaporn: ปีนี้มีแต่เรื่องลุงก็เซฟๆตัวเองหน่อยนะคะ
[0:22:12] CheckerDabX: ผมเห็นๆ
[0:22:12] jojunee: เออใช่ มีๆ
[0:22:16] Qxx4455: ไม่ฟังต่อกลัววว
[0:22:16] badvibeeiei: ผมเห็นเหมือนกัน
[0:22:17] lionwisdom: ใช่ๆจำได้
[0:22:20] realcap4444: โกโก้กลัว
[0:22:23] PHURINXxx: ผมอ่านอยู่นะลุงเมื่อวาน
[0:22:23] aosoti: ก่อนลงสตรีมสักครึ่งชั่วโมงปะที่มีคนทัก
[0:22:24] koaweerachat: ถ้ามีคนทักลุงต้องห้ามออกไปไหนนะครับ
[0:22:26] CastlEsZzz: หักหลบน่าจะคว่ำ
[0:22:26] STARiiX_24: ลุงนับถือศาสนา อะไรครับ
[0:22:28] TAYCAMEL: ไม่หลบดีกว่าครับ ถ้าเราหลบเราจะเสียหลักเอา
[0:22:29] Worldtour56: ห้ามเด็ดขาดครับ
[0:22:31] ThoMasX_1999: ผมเลี้ยงแมวไม่เคยกล้าปล่อยออกมาเดินนอกบ้านเลย
[0:22:31] ty_saorkone1722: ผมขับรถ6ล้อผมอยู่ที่ลาวเขาเลี้ยงสัดตามถนนถ้าผมหลบผมอาจจะไม่รอดผมเลยชนแกะไป3-4ตัว
[0:22:38] hee_mencrown: ช่วงนี้ลุงอย่าขับรถเร็วได้ไหมครับ ผมเป็นห่วง
[0:22:43] younghexz: ช่วงล่างดีแค่ไหน เหยียบมา 120 หักยังไงก็คว่ำทั้งตัน
[0:22:43] hadesxxxl: เค้าบอกห้ามหลบครับเวลาเจอไรชนไปเลย
[0:22:44] siwat2540: หักหลบพี่ก็ลงซ้ายกับขวาอ่ะ
[0:22:45] NeverSayzLIVE: แล้วต้องไม่มีรถตามหลังด้วยนะ
[0:22:50] artwoii: ขับรถ อย่าหักหลบ พอครับ เบรคตรงๆเอาที่ไหวพอ
[0:22:57] ggzz_5: หัน
[0:22:58] badvibeeiei: ถือว่าฟาดเคราะห์นะพี่ ทำบุญให้น้อง
[0:22:58] iamjergulaw: พรุ่งนี้ไปทำบุญกันน
[0:22:59] 001sor: แมวมันออกมาจังหวะเราไม่เห็นแบบนี้เราก็อัตรายมากน่ะ
[0:22:59] rathasas122: ลุงอย่าขับเร็วนะช่วงนี้อ่ะ
[0:23:00] chen_longg: สู้ๆ ทำบุญ
[0:23:01] rewatsank: ช่วงนี้อย่าออกจากบ้านบ่อยนะครับลุง
[0:23:02] tan_pchn: มันจะปัดมั้ยอะลุง พื้นถนนมันเปียกป่าว
[0:23:04] sevensix67_: สู้ๆลุง เรื่องเกิดไปแล้ว ที่ทำได้คือไปทำบุญไห้น้องครับ
[0:23:05] onestep34: เจออะไรชนไปก่อนค่อยเครียทีหลังครับหักหลบเราตายเองส่วนมาก
