[0:00:14] ノンデリ: よおおお
[1:12:38] adst17: 正直高木と葉はギャングむいてないよ
[1:12:39] だるせーにょ: この世界では冗談通じないんだよなぁ
[1:12:39] ぺきち: 冗談に冗談で返すと怒られるデイリー
[1:12:43] indoyou_: 拡大解釈じゃねｗｗｗ
[1:12:44] 奄美迦楼羅: ごめんなさい電話しよっか
[1:12:47] blaotnkzz: プロレス
[1:12:49] むつっきー: この世界むっずw
[1:12:57] オロポン123: むずいわ
[1:12:57] tanakadesukedo: 不二子さんともう1人いたよな
[1:12:58] magical_ba77: プロレスできないやつやろ
[1:13:10] デスお寿司: なんだこれ
[1:13:11] yossy_island23: え？
[1:13:11] masa_y_13: どのコメントにも顔出して発言禁止されてる奴暴れてるなw
[1:13:13] オロポン123: 言わんよな
[1:13:13] adst17: RPできてないしやってること半グレだし
[1:13:15] magical_ba77: 不二子じゃなかったよもう1人の奴がおらついてた
[1:13:27] hinakoooo_fn: 相手も冗談みたいな感じだったからなあ
[1:13:30] hinakoooo_fn: 難しい
[1:13:38] 奄美迦楼羅: どっちかっていうと相手のがオラついてたけどな
[1:13:42] nyo__yaa: すまん何があったん？
[1:13:42] 空気3: 向こうがチクったからこっちがめっちゃ悪いみたいになっとる
[1:13:43] dmmsss40225: やめそうｗｗ
[1:13:46] オロポン123: 小さいことを大きく捉えられてるよな
[1:13:47] 刺身サーモン: 相手も冗談だったらこっちも冗談で返すのダメなのか？ takagi8Hatena
[1:13:55] 如月93: さすがにこれは攻められるのおかしいぞ
[1:13:56] sirasuzyusu: 言い訳しないほうがかっこいい
[1:13:58] ネオちー: まじでそんな悪い感じじゃなかったよなｗ
[1:14:05] yossy_island23: いやこれはまじで意味わかんねｗ
[1:14:07] だるせーにょ: エンタメが通用しねえな
[1:14:11] デスお寿司: ええ…これだめなんだ
[1:14:11] iytreszhii: 道徳学ぼっか
[1:14:11] magical_ba77: これで悪いはやばいわ
[1:14:12] まいふぉん: 全員がプロレスできるわけじゃないからね
[1:14:15] monmonmona: 電話かけてくるのがしゃばいねｗ
[1:14:16] ゴリリラ: BloodTrail BloodTrail BloodTrail￼￼ BloodTrail
[1:14:19] sirasuzyusu: 気を付けてねってことか
[1:14:20] 如月93: 言い返せこれは
[1:14:21] オロポン123: 車ぶつかるなんか良くあることやのに
[1:14:21] sakuto3399: これに関しては冗談で終わらせていいwwww
[1:14:24] 阿吽呼吸: いやオラついてないやろw
[1:14:25] magical_ba77: いや向こうからやしなおらおらは
[1:14:33] stgrao: こんなダサいアンブレラいやだわww
[1:14:34] adst17: いや、RPできてねーよ
[1:14:35] masa_y_13: これは向こうからだろwww
[1:14:37] つっきー3355: これはよくわからんな
[1:14:37] omni_ixa: 実際は相手側に非があるけど、昨日の今日だから、高木達にあんぶれらは信用が無いのがミソ
[1:14:53] ks230011: 高木たちの信用が無さすぎて、向こうが正しいと思われる
[1:14:55] カチスレジス: 高木が悪いみたいになってんの草
[1:14:57] masao333: 高木は悪くない
[1:15:00] kattsu_onotataki: 高木、大丈夫俺らもわからん
[1:15:05] magical_ba77: 不二子じゃない隣のやつやろオラオラしてきたの
[1:15:06] TYdaaa: 大人な対応とった方がかっこいいって感じなのかな
[1:15:16] だるせーにょ: 昨日のがあったけどな？
[1:15:16] デスお寿司: スト6やろう
[1:15:21] sakuto3399: 昨日の件があったからしょうがないで終わらせていいのか
[1:15:21] indoyou_: ちょけて来たのも相手なのに；；
[1:15:22] dmgtmpgm: 正直昨日より納得いかないw
[1:15:31] ネオちー: まじかｗｗｗ
[1:15:36] dmmsss40225: そら頭抱えるよなｗｗ
[1:15:47] ランプアイ: クレヨンしんちゃんのオトナ帝国や！
[1:15:50] myon07: RPの仕方がわかってないからストグラ向いてないんだろw
[1:15:52] sirasuzyusu: 高木俺でもこの気遣いむりだｗ
[1:15:55] sakuto3399: クリップ見せたすぎるね
[1:15:55] りんごりらっぱせり: ギャングとして生きなきゃって
[1:15:58] iytreszhii: これは魂が貫通してるな
[1:15:59] tukue112: うーん…
[1:16:03] dedededaimaou2007: 不二子にはめられたか
[1:16:05] 奄美迦楼羅: ビデオ判定しようぜ
[1:16:07] きんきんに: RP
[1:16:07] たらばがにくん: あっちがもう一人いたからこんがらがってるな
[1:16:08] 阿吽呼吸: いみわかんねw
[1:16:08] darumaiku: かわいそ
[1:16:08] オロポン123: 相手より大人になるか
[1:16:09] たくみ0928: これで電話してくるのまじか
[1:16:10] akudamann: これはめんどい
[1:16:12] _るるちゃん: これは納得できないよな〜
[1:16:20] yossy_island23: 状況わからず言い過ぎなんだよな
[1:16:20] 如月93: それはなめられてるだろ
[1:16:21] ぜうすさぶお: ちくるの小学生みたい
[1:16:22] 刺身サーモン: ギャングならお金よこせって言うやつの方が多いと思うけどww
[1:16:26] sakuto3399: 逆走してたわけじゃないしな
[1:16:27] gagagaga000: てか、言ってきた相手と不二子別だしなw
[1:16:31] sc1p1o_ow: クリップください
[1:16:42] nanairo200844: そん時のクリップないですかね
[1:16:46] iytreszhii: えらい
[1:16:46] masa_y_13: 小学生ギャングは相手しなくていいぞ！！！
[1:16:48] むつっきー: 葉やばすぎwww
[1:16:49] nyo__yaa: 誰かクリップくれんか？
[1:16:50] tanakadesukedo: もう1人乗ってたじゃん
[1:16:52] hinakoooo_fn: 裁判勝てるぞ
[1:16:54] uiiioioi: お前ら本当に悪く無いぞ
[1:17:00] darumaiku: なんかめんどくさくなってるね
[1:17:00] magical_ba77: 関係なくねヴァンさんとか今のは相手の車がやばいし
[1:17:03] 如月93: 今回はマジで悪くねえぞ
[1:17:05] オロポン123: 言いがかりや
[1:17:06] jan0613_w: これはほんとに悪くないw
[1:17:12] ネオちー: 信用ないせいでこれは辛いなｗ
[1:17:16] TYdaaa: 自分達が信用ないのも結局自分のせいやから悔しいよな
[1:17:34] grimoooooo: 切り捨てやがったww
[1:17:36] iytreszhii: 今回は悪くないかもだけどこれまでの行いのせいで、信用ないかw
[1:17:37] りんごりらっぱせり: 本物のギャングはちょけないぞ！
[1:17:43] mitsuya115: クリップ欲しいな
[1:17:45] たくみ0928: むずすぎるw
[1:18:07] ぺきち: ギャングはプロレスしちゃだめなんか？
[1:18:14] dmmsss40225: むりげー過ぎる
[1:18:17] フィンたん: 昨日の今日だからだよ
[1:18:17] iytreszhii: 道徳の授業やんか
[1:18:21] ゆうぽん_: www
[1:18:25] つっきー3355: www
[1:18:26] sirasuzyusu: いったん葉のせいか
[1:18:29] たーかて: なんだこれｗ
[1:18:29] オロポン123: takagi812
[1:18:34] iamfireiamdeath4: もうもめ事起こしてクビなれ
[1:18:41] iytreszhii: 誰のせいとかじゃないんよなあ
[1:18:49] オロポン123: ぶつかった葉のせいや
[1:18:49] rocomoco18: www
[1:18:54] カチスレジス: えぇ？
[1:18:56] yossy_island23: そもそも電話でなんていわれたか言えよｗ
[1:18:59] TYdaaa: その言い返しがなかったら今この時間なかったって考えたらいらなかったんだろうな
[1:19:03] jyamchi: 左側走ってたよね？
[1:19:07] sakuto3399: 正直半グレもギャングも生きずらい感あるな
[1:19:11] sirasuzyusu: ぶつけた葉に責任おしつけよう
[1:19:12] たくみ0928: 電話されるのがわからんw
[1:19:13] ネオちー: 高木、可哀想だけどここは引くしかなさそうだ…
[1:19:16] monmonmona: 話題なさ過ぎて無理やり事件にしようとしてない？
[1:19:17] murawataka: ギャングなのに？
[1:19:18] ランプアイ: 電話かけたもん勝ちやないか！w
[1:19:21] 奄美迦楼羅: 全員にアーカイブ見せてー
[1:19:23] yuchan_db: ギャングを演じれてないんだよ
[1:19:26] hinakoooo_fn: 落ち着かないのにどっか行った相手もなんだかって感じw
[1:19:28] stgrao: 向いてねぇよギャング
[1:19:36] オロポン123: 相手の方がちっぽけじゃね?
[1:19:37] にーとろる: クラスのチクリ魔みたいな感じだよな
[1:19:39] バイオ太郎: ｗ
[1:19:40] iytreszhii: 今の高木にはわからんかもだけど、そのうち分かるようになるんじゃねえか？
[1:19:41] magical_ba77: もうやめようぜこれ意味わからんわ
[1:19:43] hideonjetttt: https://clips.twitch.tv/EnchantingRamshackleRatKAPOW-WXt2m3ZlQy_XtlKz
[1:19:44] iamfireiamdeath4: 別のギャングいこうぜ
[1:19:45] ゆうぽん_: @stgrao
[1:19:46] 阿吽呼吸: こんなことでいちいち問題なるのやばいだろ
[1:19:50] hasemit: いいね高木
[1:19:50] デスお寿司: 小学校か
[1:19:57] jojjojjojjojjojjojjojjoj: チョけるのも関係値のあるないで相手の捉え方が違うから気をつけろって事でしょ
[1:20:05] indoyou_: 悪いことしてないのにクラスの委員長に愚痴られた感
[1:20:09] aec5: @stgrao 君が言っても意味ないよ
[1:20:18] karumimaguro: @stgrao 帰れ koushi5Yametene
[1:20:27] myon07: ここのリスナーおもろすぎw
[1:20:28] inuemonn: 信用無くなったがデカかったか
[1:20:38] むつっきー: 荒れてんなぁコメ欄
[1:20:42] magical_ba77: @stgrao かえってね BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail
[1:20:48] nppppppff: 葉が当てたの？
[1:20:53] sakuto3399: 相手左から来てんだよな〜
[1:20:57] hinakoooo_fn: 難しいなこの街😓
[1:20:58] TYdaaa: 一言余計でしたで終わりな案件
[1:20:59] moroheyyear: みんなおちんつこ
[1:21:00] maharu4u: まあ荒れるのは珍しいことじゃないし、気にしなくていいやろ
[1:21:04] sirasuzyusu: 言い訳したら説教伸びるぞ
[1:21:09] hirokingnyu: めんどいかはやめちゃお
[1:21:11] sakuto3399: 無視でいいね
[1:21:18] omni_ixa: 葉が反対車線に当たりに行った
[1:21:24] adst17: 1日一回火種
[1:21:29] magical_ba77: もう無視でよくねこれ高木悪くないし
[1:21:34] corgi_green: 「いろんなひと」がいる（ ;  ; ）
[1:21:35] むつっきー: むずむずするだろうけど、一旦認めておさめよ
[1:21:44] 阿吽呼吸: 空気読んだだろ高木は
[1:21:44] だるせーにょ: いや
[1:21:44] hirokingnyu: 高木悪くないよね
[1:21:46] maharu4u: しなしな高木
[1:21:48] indoyou_: 空気よんで返したのにｗｗｗｗ
[1:21:49] masa_y_13: もうデイリーだしええやろ、気にしなくて！
[1:21:51] magical_ba77: いやこれ相手が空気読みだろ
[1:21:52] ryu5ei_: たかぎー BibleThump
[1:21:54] hinakoooo_fn: いや悪くない！
[1:21:54] つっきー3355: www
[1:22:02] sakuto3399: 高木落ち込まないで
[1:22:02] ぐつぐつ熟女: そんな悪いか？
[1:22:03] _るるちゃん: BibleThump BibleThump BibleThump
[1:22:07] hiropon79: だるくね？なんか
[1:22:08] りんごりらっぱせり: 配信者として空気読んだんだよな
[1:22:09] jan0613_w: みんな優しいw
[1:22:12] compass____: NotLikeThis
[1:22:21] ぐつぐつ熟女: スト6いくべ BloodTrail
[1:22:27] magical_ba77: みぎでした
[1:22:28] makiyyyyy: takagi812
[1:22:29] つゆゆん: 荒れてますね
[1:22:29] dhhekwgmg: クリップ終わってるやん笑
[1:22:33] maharu4u: わろた
[1:22:33] だるせーにょ: いや右だった
[1:22:39] sakuto3399: 右だよ
[1:22:42] 空気3: 右
[1:22:43] つっきー3355: 右だね
[1:22:44] ランプアイ: ちゃんと右だったはず
[1:22:45] だるせーにょ: 右右
[1:22:46] hideonjetttt: 右から左に当たりに行ってね？
[1:22:48] itijou_: またなんかやらかしたの？
[1:22:48] sakuto3399: 絶対右
[1:22:51] yossy_island23: 那須のリスナーもっと終わってたから大丈夫
[1:22:51] やなぎあ: 右だよ
[1:22:52] nunnun_okoge: 考えがガキなんよなまじで
[1:22:53] 衛生フラッシュ: 右だったよ
[1:22:54] yakinikuu256: 後ろからぶつかったこと言わないと
[1:23:02] ぽれちゃん: 後ろから突っ込んでない？ｗ
[1:23:09] dhhekwgmg: 後ろから追突だよ
[1:23:25] mitsuya115: クリップあるぞw
[1:23:25] zakkey2525: 当たった後のワリーワリーも態度がなぁ…
[1:23:28] maharu4u: 直線が優先だよなぁ！！
[1:23:30] 刺身サーモン: 右走ってたけど葉の運転技術が悪くて車線ズレたって感じじゃない？
[1:23:31] masa_y_13: @nunnun_okoge たしかに！相手の考えはガキだよな！！！
[1:23:35] ryu5ei_: https://clips.twitch.tv/EnchantingRamshackleRatKAPOW-WXt2m3ZlQy_XtlKz
[1:23:36] dhhekwgmg: クリップおもろいぞー
[1:23:38] furunakisate: valoではめちゃくちゃかっこよかったのにw
[1:23:39] だるせーにょ: めんどくせえな
[1:23:40] sakuto3399: 相手の車が急にこっち側に来たんでしょう
[1:23:41] dhhekwgmg: 100ぱーわるい
[1:23:46] dhhekwgmg: 謝り方終わってるし
[1:23:57] kamabokopi5: みたらやばい
[1:24:00] ネオちー: ええ
[1:24:10] dhhekwgmg: おもろいです
[1:24:12] 生意気なむーす: なんかクリップ押せない
[1:24:15] ojisan_dx: キモすぎやろ
[1:24:20] りんごりらっぱせり: よけ方へたくそやなｗ
[1:24:24] あかんね: 運転がｗ
[1:24:26] オロポン123: 葉の運転のせいやろ
[1:24:26] dedededaimaou2007: 葉自分からいってるやんw
[1:24:28] rikizanpa: こっちが悪いじゃねーか笑
[1:24:28] ゴリリラ: BloodTrail
[1:24:29] adst17: わりーわりーってやばくね？
[1:24:32] hinakoooo_fn: 葉の運転もちょっと悪かったかな？w
[1:24:33] magical_ba77: @ojisan_dx お前のほうがきもいよ BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail BloodTrail
[1:24:34] corgi_green: クリップまじおもろいw
[1:24:36] jyamchi: 信号は赤だった、、
[1:24:37] grimoooooo: うんてんww
[1:24:38] airplayerx: いえろーかっとしめてくさ
[1:24:40] ぐつぐつ熟女: ストグラリスナーウザイなw
[1:24:43] maharu4u: 葉を生贄をささげよう
[1:24:43] ゴリリラ: BloodTrail￼ BloodTrail
[1:24:48] akiTAKEzyoo: クリップおもろいwww
[1:24:50] ダイタ: この町は信号関係ないよ
[1:24:51] rikizanpa: クリップ観て吹いた笑
[1:24:54] sakuto3399: これ相手側から来てんのかな
[1:24:59] akiTAKEzyoo: ダメやんww
[1:25:00] hasemit: 高木大人になっちゃうんか
[1:25:03] kou884: 葉可哀想
[1:25:04] karumimaguro: 相手側のストグラリスナーわざわざコメントしに来ないで koushi5Yametene koushi5Yametene
[1:25:05] nikumiso2929: これアタックしにいってるやんwwwおもろすぎる
[1:25:19] ランプアイ: takagi8Yareyare takagi8Yareyare
[1:25:29] おむだお: 葉の気持ちもわかる 相手が一瞬右行く感じだったから
[1:25:33] つっきー3355: www
[1:25:34] darumaiku: また説教だ
[1:25:38] だるせーにょ: 世界観がめんどくせえな
[1:25:39] ランプアイ: 高木、俺は応援してるぞ
[1:25:41] ss431698t: 困ったら無線がいいと思う
[1:25:43] daserumo: クリップ100:0でこっち悪いやん
[1:25:45] kou884: 高木が普通におらつかんどけば済んだ話やん
[1:25:45] magical_ba77: だりーな
[1:25:50] tooo818: ストグラリスナーやばいってこういうことか
[1:25:58] kemamon_: ストグラリスナーは害悪だぞ
[1:25:58] karumimaguro: こういうこと
[1:26:05] karumimaguro: 害悪しかおらん
[1:26:07] dox404: 意外とこうゆう事でも説教されるのか
[1:26:11] むつっきー: これがストグラリスナーかぁ
[1:26:12] つゆゆん: ストグラ民度悪いですね
[1:26:12] ホッカホカ生うんこ: ギャングは何してもいいよ
[1:26:14] popboy1111: 今回に関してはマジで悪くないよ
[1:26:24] magical_ba77: ストグラリスナーきもいですね
[1:26:29] ぺきち: コメ欄その場のノリ分かんないやつ多いね~
[1:26:36] sakuto3399: 相手側の方にわざわざ来て色々言うの性格ねじ曲がってんな
[1:26:36] みず0000: ぶつかり方はこっちが悪いかもしれないがこんなので電話してくる方もだな
[1:26:52] 刺身サーモン: ちゃんと見たら葉が避けようとしてるの分かる
[1:26:55] masa_y_13: LOLの民度よりヤバいって言ってる配信者いるくらいだからちゃんと害悪だよ！
[1:26:59] 生意気なむーす: クリップみたけどおもろすぎる
[1:27:06] sirasuzyusu: 言葉攻撃的だよみんな
[1:27:07] つゆゆん: 車って修理したら治るならいいとおもいますけど
[1:27:08] annihilator_119: 相手批判までしだして草
[1:27:14] ABC842: 何で電話してきたの？
[1:27:19] tanakeeen: コメ欄同士で煽らないように、
[1:27:23] jumper5478: チャル仲間想いだなー
[1:27:26] takenoco: karubisAkubi karubisAkubi karubisAkubi
[1:27:28] オロポン123: どんな感じで電話きたんやろ
[1:27:28] 非公式お兄さんフニュー: おちんついてね
[1:27:29] nmoko: 報告！連絡！相談！
[1:27:33] kemamon_: なんか高木とか葉の良さが消えていきそうなの悲しいな
[1:27:35] kou884: チャルロスがまじでいい人すぎる
[1:27:38] 風呂ゾンビ: ありけん中身出てきてないか？w
[1:27:39] むつっきー: ちゃる本当に最高だな
[1:27:43] nppppppff: 有本健一郎いい人だな
[1:27:44] カチスレジス: タイトル【俺は貢献したい】
[1:27:44] masao333: ほうれんそう大事
[1:27:46] noginogi_no: チャル優しいな
[1:27:47] maharu4u: チャルロス話し方変わり過ぎでわろた
[1:27:47] りんごりらっぱせり: だえ
[1:27:53] hinakoooo_fn: 相手批判やめてね、おちんついて、
[1:27:57] 狐爪: www
[1:27:57] hideonjetttt: 相手批判はやめてね BloodTrail
[1:28:02] つっきー3355: まじいい奴だな
[1:28:04] tanakadesukedo: 相手批判はやめようね
[1:28:04] hisagi_jp: wwwwwwwwwwwwww
[1:28:04] カチスレジス: www
[1:28:04] sakuto3399: 今チャルロスちゃうからね
[1:28:08] monmonmona: いいホウレンソウ
[1:28:08] victlix30: 害悪とか言ってる人高木のリスナーの民度低いと思われるからやめてね
[1:28:12] nyo__yaa: 相手批判だけはやめようね
[1:28:16] はせのしん: 鳩やめてね takagi81234
[1:28:21] inuemonn: 相手批判は一番やばいで
[1:28:23] magical_ba77: 高木と葉の良さが消えていくなおもんねー
[1:28:24] 狐爪: まあまあ k4senMon k4senMon
[1:28:28] だるせーにょ: あっち側のリスナーいらないな
[1:28:39] konkick: 他人が関わったら言おう
[1:28:41] hiropon79: どんどん尖っていけよ高木
[1:28:43] maharu4u: 別に対したゴタゴタでもないのにみんな熱くなりすぎだ
[1:28:48] ななしという名があります: 沈黙は金だよ
[1:28:51] karumimaguro: 高木と葉の良さが BibleThump
[1:28:54] 奄美迦楼羅: 高木強く生きろ
[1:28:54] sakuto3399: 電話しとく？
[1:28:57] hideonjetttt: 高木の良さだからおちんこまないでくれ！
[1:28:58] sirasuzyusu: 難しいなー
[1:29:01] iamfireiamdeath4: 高木にあったギャング行ってほしい
[1:29:02] yossy_island23: 相手別に怒ってなかったんじゃないの？
[1:29:23] むつっきー: ぶっ飛んでるところが面白いなのになー
[1:29:25] omni_ixa: 相手２人いてオラってたのはフジコじゃない方
[1:29:26] オロポン123: 相手の電話の時の雰囲気がわからんよか
[1:29:27] dmgtmpgm: そのままでいてほしい高木は
[1:29:30] にーとろる: これくらいでなんで電話してくるかがわからんw
[1:29:37] だるせーにょ: この世界はエンタメがわかってないとこあるんだよなぁ
[1:29:50] kou884: 普通にこのギャングが真面目で高木にあってないよなーたぶん
[1:29:54] victlix30: @darumadayo1 お前エンタメのプロかよw
[1:29:58] たくみ0928: www
[1:29:58] maharu4u: 18歳にして、自認
[1:30:04] jumper5478: www
[1:30:08] mitsuya115: そんなことないぞ takagi812
[1:30:09] karumimaguro: wwwww
[1:30:09] sakuto3399: ギャングっていうRPだからね。しょうがない感じはある
[1:30:09] hiropon79: 早すぎる気づき
[1:30:12] ランプアイ: 一旦ギャングからの印象を｢問題児｣から｢普通｣に戻すために頑張ろう！
[1:30:17] おむだお: 卑下しないでぇ
[1:30:18] hasemit: エンターテイナーだよｗ
[1:30:21] sirasuzyusu: だで
[1:30:23] makiyyyyy: 気にすんな takagi812
[1:30:23] つっきー3355: いい気づき
[1:30:23] hinakoooo_fn: かれんさんやさちい
[1:30:39] sirasuzyusu: おもろいからそのままでいて
[1:30:40] ランプアイ: ファイト takagi812345
[1:30:44] だるせーにょ: エンタメが通じん世界やしゃあない
[1:30:45] 阿吽呼吸: VCRぐらいの世界観が一番ちょうどいいわ
[1:30:46] moroheyyear: 高木はこれがいいんだよ
[1:30:47] maharu4u: ゴタゴタなんて四六時中あるから、気にしないでいこう
[1:30:48] オロポン123: あんな突進の仕方されたらムカつくけどな
[1:30:50] kemamon_: まぁそれが2人の良さだと思うぞ
[1:30:51] kiyojo00: このギャングよりそういうの緩いとこがギリオールインくらいってレベルなんだよなぁ
[1:30:52] TYdaaa: 電話に納得いってない人は電話のシーン見に行くといいよ
[1:30:54] anakin_kenobii: おもろいからいい
[1:30:54] tanakadesukedo: ミュートだよ
[1:30:59] sakuto3399: 周りが優しすぎてってのもあるかもね
[1:31:00] indoyou_: 今回の件はそんな気にしなくていいと思うけどｗ
[1:31:01] kami_no_manimoni_version2: 葉の配信お気持ち多すぎw
[1:31:05] だるせーにょ: @ggmengoまじでそう
[1:31:05] gagagaga000: 不二子からの電話は高木と葉に新規住民がオラついてた事への誤りの電話だったのに那須さんが変に捉えてる感じがあるな
[1:31:06] konkick: 高木は性格的には半グレで輝くけど、ギャングならここが1番合ってるよ
[1:31:07] ぐつぐつ熟女: @ggmengo わかる
[1:31:23] ネオちー: 毎日イベント起こっておもろいなｗ
[1:31:41] sirasuzyusu: 配慮高木
[1:31:44] ryu5ei_: なかよくいきましょう
[1:31:54] grimoooooo: TwitchConHYPE
[1:31:58] darumaiku: 誤解があったね
[1:32:25] sirasuzyusu: 誤解もストーリー
[1:32:28] hinakoooo_fn: 切り替えて銀行強盗がんばろ！
[1:33:22] maharu4u: 貢献するぞ
[1:33:31] ミりン: 頑張れー
[1:33:33] sakuto3399: 心ありでトラブル可能性もあるからねー
[1:33:33] grimoooooo: いくぞ！
[1:33:37] 奄美迦楼羅: ママやさし
[1:33:40] むつっきー: いいほうれんそう
[1:34:03] バイオ太郎: ｗ
[1:34:09] りんごりらっぱせり: 本来運転ってそういうもんだよｗ
[1:34:15] yakinikuu256: 無視しようぜはやばかったよw
[1:34:20] だるせーにょ: この世界が怖いんだよな〜
[1:34:21] maharu4u: すでに運転やばそうww
[1:34:29] ネオちー: もう切り替えるしかねえｗ
[1:34:31] オロポン123: それはあるな
[1:34:32] sirasuzyusu: 西海岸報告さっそく
[1:34:35] grimoooooo: まだ入りたてだからね
[1:34:49] 奄美迦楼羅: 毎日説教ルート入ってる
[1:34:51] ランプアイ: それも才能やで
[1:34:54] yossy_island23: このままでいたほうがおもれーのにな
[1:34:59] りんごりらっぱせり: いまみんな敏感になってるからなｗ
[1:35:03] ななしという名があります: おもしれーからなんでもいいけど
[1:35:06] むつっきー: やばい高木が俺は大好き
[1:35:08] hinakoooo_fn: wwwwwww
[1:35:25] mitooooh: このままだと毎日説教されそうwwwww
[1:35:26] maharu4u: 二人は問題児でいいよ
[1:35:27] furunakisate: ２人でいるとチョケたくなるんやろな
[1:35:32] nano_4649: 高木と葉ってより、高木のちょけに葉くん巻き込まれてるだけやwww
[1:35:36] たくみ0928: 昔から変わらず素でネジ外れてる高木がいい
[1:35:40] kami_no_manimoni_version2: この2人のクソガキ感がいいんだけどなw
[1:35:41] sirasuzyusu: いいコンビｗ
[1:35:43] だるせーにょ: 葉の運転怖いお
[1:35:50] ネオちー: 毎日おもろいのやめて
[1:36:00] まころね: 面白いよ
[1:36:00] ランプアイ: このコンビずっと見てられる
[1:36:00] maharu4u: 右ではあった
[1:36:02] オロポン123: 葉が高木抑えてくれたらいいけど、一緒にちょけるからな
[1:36:02] noahrrx_: おれもこの危なっかしい感じの高木がおもろいと思う
[1:36:03] tooo818: 毎日飽きないよ高木の配信
[1:36:06] 肉球0: この2人まじ最高
[1:36:09] hideonjetttt: ふたりのちょけで餡はいれたから
[1:36:12] tenma_seiyan: wwww
[1:36:18] だるせーにょ: 葉の運転がバグってたwww
[1:36:56] maharu4u: 揉め事も楽しんでいこう
[1:36:56] 阿吽呼吸: 切り抜きが伸びるぞ
[1:36:59] オロポン123: 関わり方は普通じゃないけどな
[1:37:05] magical_ba77: それなずっと犯罪ばっかでもおもんねーしな
[1:37:07] 奄美迦楼羅: ちゃんと説教されてるのおもろい
[1:37:12] blaotnkzz: それ楽しみやわ
[1:37:13] むつっきー: wwwwwww
[1:37:13] ryu5ei_: www
[1:37:16] はりぷ: wwwww
[1:37:18] abyss_555: wwwwwwwwwwwwwww
[1:37:19] kakinootaane: www
[1:37:20] indoyou_: ｗｗｗｗｗ
[1:37:20] あーみゃ2525: wwww
[1:37:20] hinakoooo_fn: wwwwww
[1:37:22] ぶたぁー: www
[1:37:23] tony_tgr: www
[1:37:24] mitsuya115: wwwwww
[1:37:26] kami_no_manimoni_version2: www
[1:37:27] karumimaguro: ガチおもろいwwwww
[1:37:29] TYdaaa: 高木と葉がシナジー強すぎて問題ばっかおきるんだよなw
[1:37:35] 肉球0: 対応の六法作れそうw
[1:37:42] mitooooh: 社会人として責任持って行動しなきゃね、無理だと思うけどwwwwwww
[1:37:51] maharu4u: すべてお金で解決できるようになろう
[1:37:56] sirasuzyusu: サイレンサーついてても
[1:38:08] airplayerx: 2人近くにいると降りにくい
[1:38:45] maharu4u: ここにいろ
[1:39:03] moroheyyear: 31
[1:39:06] sirasuzyusu: styhereここで待て
[1:39:18] 奄美迦楼羅: もらせ
[1:39:22] hinakoooo_fn: stay here はここにいろ、go away
[1:39:28] 阿吽呼吸: 草
[1:39:31] hasemit: そうかｗ
[1:39:31] ネオちー: まだ間に合うんじゃね？
[1:39:42] sirasuzyusu: 通知まだ
[1:39:45] monmonmona: まーた説教
[1:39:45] maruyamaGonzarez: まだ通知行ってないから間に合うよ
[1:39:48] maharu4u: びくびくでわろた
[1:39:52] furunakisate: w
[1:39:52] れのだお: 通知まだ行ってないよ
[1:39:55] オロポン123: プレッシャー与えんなよw
[1:39:57] kami_no_manimoni_version2: 騙してるだろw
[1:39:58] ネオちー: 敏感すぎだろｗ
[1:40:04] darumaiku: ニヤニヤしてるぞ
[1:40:06] inuemonn: 騙すなwww.
[1:40:08] sakuto3399: 高木意地悪してるだけかよwwww
[1:40:08] れのだお: 騙してんのかw
[1:40:13] つっきー3355: ニヤニヤ
[1:40:24] むつっきー: やっぱり最高だよ高木wwww
[1:40:25] ぺきち: www
[1:40:26] sakuto3399: トイレくらい行かせてあげろwwweewew
[1:40:27] hisagi_jp: wwwwwwwwwww
[1:40:30] hinakoooo_fn: wwwww
[1:40:34] ネオちー: パ二パ二
[1:40:37] えるねるなるな: ww
[1:40:37] つっきー3355: おいwww
[1:40:38] オロポン123: ちゃんと教えたれw
[1:40:38] umenta1: まじ最低ww
[1:40:48] maharu4u: 焦りまくりです
[1:41:10] 奄美迦楼羅: めっちゃ焦らすやんｗ
[1:41:35] jdhsjchd: これって共犯ならないの？
[1:41:38] hasemit: おお
[1:41:44] sirasuzyusu: 共犯でいこう
[1:41:51] しにーぴんく777: 二人で入ったらゆがみやすいぞ
[1:41:53] 非公式お兄さんフニュー: これ失敗したら共犯だからギリマイナスかな？
[1:42:01] sakuto3399: 高木が人質なわけじゃないから大丈夫なんじゃないの？
[1:42:10] sakuto3399: だめなんだ
[1:42:16] オロポン123: 最後まで教えたれよ
[1:42:20] ネオちー: おまえやんｗ
[1:42:28] 奄美迦楼羅: 監視されてて草
[1:42:30] hisagi_jp: w
[1:42:40] maharu4u: 優しいな
[1:42:41] ryu5ei_: 見守ってくれてるw
[1:42:43] TYdaaa: 優しいなかれんさん
[1:42:54] むつっきー: 流石ママと呼ばれるだけある
[1:42:54] airplayerx: たかぎくん係
[1:42:55] ネオちー: ママ担当なら幸せすぎるだろ
[1:43:07] sirasuzyusu: まだ１つハックあるけど、、、
[1:43:18] おむだお: 問題児2人ただし最強って言われるまでに成長して欲しい
[1:43:20] むつっきー: wwwwwww
[1:43:36] hinakoooo_fn: wwwww
