[0:00:10] れれらい: タイトルかわった〜
[1:03:23] Sean_kmsky: 抜けれるんかいｗｗｗ
[1:03:29] くるあ0109: 抜けれちゃうんww
[1:03:52] sushiboysomg: 大穴上飛ばされる歪みガチでやばいな
[1:04:00] shika_hr: 抜けれても一回入るのに躓いてるからその時に打てる
[1:04:03] ノーシュ: ｗｗｗｗｗｗｗｗ
[1:04:08] faiba2525: www
[1:04:11] たろをまんじ: 有能天竜人
[1:04:12] ゆのぴか: wwwww
[1:04:13] したっけ_道産子: リアクション良すぎかw
[1:04:13] しろしろくんどっと: 実際くそ強いえ
[1:04:13] くるあ0109: きもちくなってるwww
[1:04:21] もずくみこみこ: けっつん褒め上手だえw
[1:04:22] ソルティー_: 気持ちいえぇ
[1:04:44] otonashi6209: 笑い方好きw
[1:04:45] shin_misou: 即採用だったからなw
[1:05:32] sushiboysomg: 続行しそうやな
[1:05:34] ant12037: 無線大事なこと言ってた？
[1:05:50] ant12037: 大丈夫か？wwwww
[1:06:01] ノーシュ: こいつら信じられないぐらい無線聞かないえｗ
[1:06:22] Sean_kmsky: 再開か、よかった
[1:06:26] sushiboysomg: はじまるね
[1:06:27] aoyanx: 基本に忠実だえ
[1:06:28] もずくみこみこ: 再開がんばるえ
[1:06:30] 858625: 無線聞くえ
[1:06:38] nekomameta: ころしぇー
[1:06:40] user_001fin: かんばるええ
[1:07:00] ノーシュ: たしかに
[1:07:02] ソルティー_: アピールが大事だえ、きっと
[1:07:03] icenine_9029: 人数的にちょうどいいえ
[1:07:04] Sean_kmsky: 多いのばれたえ
[1:07:05] たろをまんじ: ジェイク！！！
[1:07:08] karinon119: 新人同士高め合うえ
[1:07:14] もずくみこみこ: たしかに時間が出来たもんね
[1:07:23] sushiboysomg: すごい突入の仕方してきそう
[1:07:46] masgsa1052: ロケラン怖いえ
[1:07:58] user_001fin: きた？
[1:08:07] レヴィ99: 2個持ってるえ
[1:08:09] にーとろる: 持ってるやん
[1:08:24] しゅららぼん03: 数多いと一気に倒された時のアタフタやばそう
[1:08:27] ティーセブン: おちんつう
[1:09:16] デビシャビ: その見方いいね
[1:09:19] ant12037: 今日もここに城築くぞ
[1:09:34] Boukan_sha_: 城から要塞へ
[1:09:55] しろしろくんどっと: チャルロスsayの建築チャンネル
[1:11:06] ティーセブン: シロシロの実を食った天竜人だえ
[1:11:07] もずくみこみこ: ノーリミと餡の無線は聞きやすいえ
[1:11:11] sushiboysomg: ボスがIGLするんだな
[1:11:21] shin_misou: 頑張れチャルロス〜
[1:11:38] co_reich: 警察側誰がくるだろな
[1:11:46] fancy_hippo: 頑張るえ
[1:11:48] きえさん: 無線がゆっくりで聞きやすいですね
[1:13:07] 加斗: まだじゃない？
[1:13:23] みみまい: きんちょうするぅ
[1:13:55] co_reich: ずいぶん落ち着いてるなー、ほかで大型やってそうだね
[1:14:00] らんぱ: 臨機応変だえ
[1:14:13] sushiboysomg: 高速側から逃げるの初じゃね
[1:14:40] fancy_hippo: 警察少ないね
[1:14:58] jackass0012: ｗｗｗｗ
[1:15:04] periodfn88: wwww
[1:15:04] もずくみこみこ: 四つ叉で遊ぶってかっこいいえ
[1:15:12] ちゃそちゃ: w
[1:15:29] youpom_: この遅さ、もしやなんか被った？
[1:15:32] ichi38_: ないすー
[1:15:36] gaaahyu: www
[1:15:37] dorokage: おお
[1:15:38] 湘南マグナム: ｗｗｗｗｗ
[1:15:38] ゆのぴか: ないすーーー
[1:15:41] きえさん: 猫やったの強い
[1:15:42] もずくみこみこ: ないすぅー
[1:15:42] opefgrapon: つよーい
[1:15:42] Sean_kmsky: 猫マンゴー！！！ないすー
[1:15:42] みみまい: ねこちゃん！
[1:15:44] ちゃそちゃ: ww
[1:15:52] ノーシュ: 猫マンゴーこのパターンで倒すのすご！
[1:15:57] くるあ0109: マンゴーやるのつよい！
[1:16:02] エメリ: なーいす
[1:16:07] zenith_ar: まじでうまいな…
[1:16:09] レヴィ99: パトカー乗っちゃえww
[1:16:10] dorokage: こわ
[1:16:10] 狐爪: わぁ
[1:16:10] hachiko0000: うま！
[1:16:11] ichi38_: おお！！
[1:16:11] user_001fin: わお
[1:16:11] Sean_kmsky: こわｗｗｗ
[1:16:12] ぱぱらぱ00: こわｗ
[1:16:13] 葉加瀬太郎にはかせたろう: wwww
[1:16:13] fancy_hippo: こわ
[1:16:14] faiba2525: こわ
[1:16:15] OkayegOkayegOkayegOkayeg: こっわｗ
[1:16:15] 二十日後の緑茶: やるー
[1:16:15] ゆのぴか: こわーーー！
[1:16:16] みみまい: ロケランｗｗｗ
[1:16:16] tokino8044: こっわ
[1:16:17] gorushichan: れむきた？？？
[1:16:17] くるあ0109: ないすよけ！
[1:16:17] ソルティー_: やっば
[1:16:18] もずくみこみこ: すげー
[1:16:19] nyonmenm: かっこよ
[1:16:21] co_reich: あっつ
[1:16:24] thiru_sudyn: かっこいいえ
[1:16:26] sushiboysomg: さすがキャッスル
[1:16:27] エメリ: やべチャルつぇ
[1:16:31] Sean_kmsky: 足がないｗｗ
[1:16:35] もずくみこみこ: 今日も熱いぜ！！
[1:16:39] icenine_9029: これはキャッスル
[1:17:07] ichi38_: いい連携だ！
[1:17:11] sushiboysomg: −3000万
[1:17:16] n_nxo_n: チャッスルさいつお
[1:18:13] thehabu: 戦争やんｗ
[1:18:13] ノーシュ: 木の陰だったけど撃つのうまいえ！
[1:18:22] ダイナマイト加藤: 戦うベ
[1:18:30] icenine_9029: wwww
[1:18:32] shin_misou: 新人とは思えない
[1:18:35] エメリ: かっけぇぇ
[1:18:39] nanasuke55: 遊ぶえー
[1:18:46] きえさん: あ
[1:18:48] 狐爪: karubisTT
[1:18:49] ゆのぴか: あれ？www
[1:18:50] sushiboysomg: わきをがまだ生きてるだと
[1:18:50] zenith_ar: あw
[1:18:51] user_001fin: あ
[1:18:52] ソルティー_: あ
[1:18:53] lucky_roux0: え？
[1:18:54] 湘南マグナム: タイミングｗｗ
[1:18:54] tokino8044: あ
[1:18:54] faiba2525: あ
[1:18:58] ダイナマイト加藤: あw
[1:19:01] zenith_ar: 可哀想だえww
[1:19:03] ふゆ介: 気まずwww
[1:19:08] ノーシュ: せっかく盛り上がってたのに不憫だえ
[1:19:10] shin_misou: 逆に運がいいのか？ww
[1:19:17] もずくみこみこ: 敵ながら不憫だえ
[1:19:44] achan2805: 猫マンゴー倒したのは気持ちいいだろうなぁ
[1:19:46] もずくみこみこ: 政宗も強いえ
[1:19:51] ノーシュ: いいポジｗ
[1:19:51] setunry: ここ懐かしいな
[1:19:59] icenine_9029: 政宗有能だえ
[1:20:14] 半熟めんま: こんばんはだえ！
[1:20:18] siguma1936: 完全勝利目前だえ
[1:20:21] 祭礼: 政宗すごいえ〜
[1:20:30] rinnemu75: riddleの拠点だったタワマンやね
[1:21:11] akagi_4147: 一般通過ザウルス
[1:21:25] もずくみこみこ: チャルの動きが新人ではないえ
[1:21:58] setunry: 車で戦う時はsmgのが強そうやな
[1:21:59] ゆのぴか: 一般通過ザウルスwww
[1:22:06] ゆのぴか: 目立つなwww
[1:22:25] icenine_9029: 皇帝ww
[1:22:30] zenith_ar: やっぱイグナスかっこいいなぁ
[1:22:37] もずくみこみこ: 警察狩りだえ〜
[1:22:40] himazinn0: タイミングが笑
[1:22:45] ノーシュ: 数的不利はヤバいなあ
[1:22:48] レヴィ99: なかなか撃てないww
[1:22:51] ゆのぴか: 37564ですか？www
[1:22:51] sugikenjp: 構える速度遅いな
[1:22:52] zenith_ar: 狩るえ狩るえ〜
[1:22:57] achan2805: SMGじゃないと厳しいね
[1:23:01] ba50000: …じゃねぇーよ！笑
[1:23:05] sushiboysomg: もはや逆チェイス
[1:23:08] ssreiru: キャッスルからハンターへ
[1:23:20] ichi38_: うお
[1:23:23] みみまい: かにだえ
[1:23:27] きえさん: くうううううううう
[1:23:30] achan2805: いた
[1:23:31] tokino8044: くううう
[1:23:32] atsumori_pop: くあああああ
[1:23:33] ゆのぴか: ああああ
[1:23:33] akagi_4147: 力二？？
[1:23:33] 狐爪: ﾋﾟｺﾋﾟｺ
[1:23:35] もずくみこみこ: くぅぅ
[1:23:36] dorokage: 更に後ろがいたか
[1:23:39] yossy_island23: あー
[1:23:40] みみまい: へり
[1:23:40] yogore_jp: 個人医
[1:23:41] sushiboysomg: うめえ
[1:23:50] faiba2525: えぎぃ
[1:23:51] ソルティー_: うっわ
[1:23:57] もずくみこみこ: 拾うのはえー
[1:23:57] しゅららぼん03: うま
[1:23:59] kinakooi: そこいるかーーー
[1:24:00] hachiko0000: うわあ
[1:24:00] みみまい: これは、、、
[1:24:08] yossy_island23: ワン皇帝
[1:24:14] dorokage: w
[1:24:14] もずくみこみこ: 味方がんばれー
[1:24:16] icenine_9029: 草
[1:24:17] zenith_ar: しねww
[1:24:18] らんぱ: www
[1:24:18] 狐爪: www
[1:24:19] atsumori_pop: 草
[1:24:20] ノーシュ: よしよし、しねｗ
[1:24:21] jinseimuri: w
[1:24:21] tokino8044: www
[1:24:23] ゆのぴか: wwwww
[1:24:24] ant12037: しねwww
[1:24:25] setunry: 1人の援護で大勢の犠牲がw
[1:24:26] shin_misou: wwwwww
[1:24:29] ソルティー_: いいよー
[1:24:30] dorokage: ww
[1:24:31] 1120meguuu: www
[1:24:35] sushiboysomg: 市街戦やな最早
[1:24:35] kinakooi: たおれろーーー
[1:24:36] allie2209: そんな護送あるんだ
[1:25:11] yossy_island23: まずいか
[1:25:11] もずくみこみこ: DOGSだえ
[1:25:16] レヴィ99: 車運転しながら護送強いよな
[1:25:20] gagaga1199: @icenine_9029 個人医通知
[1:25:21] akagi_4147: ワンタップ護送かな
[1:25:21] yogore_jp: 個人医おして場所を通知するんだ
[1:25:25] Sean_kmsky: ある程度服装は自由なんやねｗｗ
[1:25:26] 加斗: 個人医通知出して
[1:25:39] sushiboysomg: わきを？
[1:25:39] ノーシュ: どっかで個人医通知出さないと味方に通報できない
[1:25:49] shin_misou: 指示コメは止めとけ
[1:25:49] achan2805: ナイスベイト
[1:25:51] haru524288: 無理そうだな
[1:25:57] レヴィ99: 個人通知出してないから気づかれてないのか
[1:26:00] etarnaru: 引き際を間違ったね
[1:26:04] みみまい: 事故れｗｗ
[1:26:04] jinseimuri: じこれーw
[1:26:05] icenine_9029: 頼む！事故れ！
[1:26:07] Xirilla_: ｗ
[1:26:11] もずくみこみこ: www
[1:26:11] faiba2525: じこれ
[1:26:12] しろしろくんどっと: 個人通知云々は学びだな
[1:26:23] ゆのぴか: シートベルトつけ忘れで吹っ飛んで死ね！！！w
[1:26:28] すぱ: 市街戦楽しいね
[1:26:29] n_nxo_n: ナイス活躍だったよー
[1:26:31] ichi38_: wwww
[1:26:34] achan2805: ナイスベイトだったよ
[1:26:38] sushiboysomg: マサムネも捕まってる？
[1:26:39] もずくみこみこ: ナイファイだえ
[1:26:40] ゆのぴか: WWWW
[1:26:42] ココナッツミルク: ナイス
[1:26:42] tokino8044: w
[1:26:42] shin_misou: wwwwwww
[1:26:44] haru524288: ドンマイだな
[1:26:45] ゆのぴか: ないふぁいだええ
[1:26:46] kiyojo00: そうか そすと大型やった経験があんまりないからか
[1:26:56] tepapa: 警察大量だえ
[1:26:56] マル46: ないふぁいです
[1:27:04] sushiboysomg: レリア2人やってるw
[1:27:07] ichi38_: まるんはやだまるんはやだ
[1:27:10] レヴィ99: 個人通知を出すと個人医が場所気付けて助けに行ける
[1:27:11] みみまい: きのこだえ
[1:27:15] ノーシュ: 他に誰も来てないの優秀だえ
[1:27:20] kinakooi: arikenSyazai_HF
[1:27:21] sushiboysomg: まさむね生きてるのか
[1:27:35] icenine_9029: え？
[1:27:36] ナマコ魚雷: なんて？w
[1:27:37] みみまい: なにｗｗｗ
[1:27:37] hiyokomanjuuuuu: 猫マンゴーやれたのは大きいね
[1:27:39] もずくみこみこ: www
[1:27:40] すぱ: ？？？？？？
[1:27:42] ソルティー_: はい？
[1:27:44] 狐爪: ？
[1:27:44] Sean_kmsky: 噛みまくったなｗｗｗ
[1:27:44] zenith_ar: w??
[1:27:57] achan2805: 無理があるｗｗｗ
[1:27:58] ノーシュ: コビーだえ
[1:27:59] もずくみこみこ: 見切り発車したえw
[1:28:01] Sean_kmsky: 声判断だえ
[1:28:02] 二十日後の緑茶: ぐだぐだすぎてかまってくれないw
[1:28:04] 限界コンカフェ嬢: チャルローストビーフだえ
[1:28:07] しぇぱ3: コビーだえ
[1:28:17] ノーシュ: ドラゴンだったのかえ？
[1:28:19] jinseimuri: 喋って混乱させるえ
[1:28:21] レヴィ99: 個人通知を出せてれば助けてくれそうだったかな
[1:28:43] ノーシュ: 喋ってこいつら現場に行かせないえ
[1:28:53] yogore_jp: ｗｗｗｗ
[1:28:55] もずくみこみこ: www
[1:28:56] すぱ: ｗｗｗｗｗｗｗ
[1:28:58] みみまい: 先輩です！ｗ
[1:28:58] zenith_ar: wwww
[1:29:02] koyamori2: 添い寝ｗｗｗ
[1:29:03] icenine_9029: てえてえ
[1:29:07] zenith_ar: 最悪だえw
[1:29:10] jinseimuri: 添い寝オプション
[1:29:11] ノーシュ: ｗｗｗｗｗｗｗｗ
[1:29:14] koyamori2: ｗｗｗｗｗ
[1:29:15] icenine_9029: まるんの貴重なASMRだえ
[1:29:20] たろをまんじ: まるんARMR
[1:29:21] みみまい: えずらｗｗ
[1:29:21] 夜食はお茶漬け: ｗｗｗｗｗ
[1:29:27] もずくみこみこ: 見られたえwww
[1:29:29] koyamori2: やべぇｗｗｗ見られたｗｗｗ
[1:29:32] みみまい: いちゃいちゃだえ
[1:29:32] zenith_ar: ww
[1:29:37] yogore_jp: こころなきは殺人してないｗｗ
[1:29:39] learnenglish12345: npc殺してなくね？
[1:29:39] しゅららぼん03: 場所w
[1:29:41] achan2805: お前が言うなｗ
[1:29:45] sylphxrz: 心なきユニオンいないよ
[1:29:49] ろいどです: いい景色だえ～
[1:29:53] もずくみこみこ: やべぇwww
[1:29:55] tokino8044: wwwww
[1:29:57] みみまい: ああああｗｗｗｗ
[1:29:58] achan2805: サービス精神高いですねｗ
[1:29:58] 加斗: 心なきいなくね？
[1:29:59] ナマコ魚雷: www
[1:29:59] ネオちー: 白だえ
[1:30:00] icenine_9029: 役得だえ
[1:30:01] periodfn88: まずい
[1:30:02] mci_foden: あらららら
[1:30:02] ろいどです: ｗｗｗｗｗｗ
[1:30:03] dorokage: 積極的だえ
[1:30:04] もずくみこみこ: これは誘ってるえwww
[1:30:07] 秋野夏樹: wwwww
[1:30:11] zenith_ar: セクハラだえ！www
[1:30:12] ノーシュ: まるんも寝て一緒に見るえ
[1:30:13] ろいどです: どこいじってるえｗｗｗ
[1:30:14] tokino8044: w
[1:30:14] たろをまんじ: サービス
[1:30:15] opefgrapon: せく、はら
[1:30:16] koyamori2: まずいですよ
[1:30:17] なっきです: www
[1:30:18] gundora23: 一緒にプリズンいくえ
[1:30:20] saki___0922: wwwwww
[1:30:22] shunn777: wwww
[1:30:23] _これ_: ｗｗｗｗｗｗｗ
[1:30:25] zenith_ar: www
[1:30:25] 狐爪: ww
[1:30:26] Sean_kmsky: 逆セクハラえ
[1:30:26] achan2805: 追加されたｗ
[1:30:28] しゅららぼん03: セクハラ罪100万w
[1:30:28] k0h4ku18: www
[1:30:31] ichi38_: こっちが被害者だえ
[1:30:32] なっきです: セクハラ罪w
[1:30:35] すぱ: NPC殺人無駄につけられてて草なんだ
[1:30:41] みみまい: ｗｗｗｗｗ
[1:30:43] ノーシュ: ぺろぺろぺろｗ
[1:30:45] こだだあ: wwww
[1:30:49] もずくみこみこ: www
[1:30:52] 1k4rug4: まるんネイルしるんだ
[1:31:04] アイルくん: 指名手配されてるからかな
[1:31:15] sushiboysomg: まさむねどこ行ったんや
[1:31:20] loop_08: w
[1:31:21] achan2805: クソきのこ
[1:31:22] もずくみこみこ: みんな逃げれてたら凄いね
[1:31:23] みみまい: 外からｗｗｗ
[1:31:24] gaaahyu: あ
[1:31:28] ナマコ魚雷: いっぱいおるw
[1:31:28] icenine_9029: 気まずい
[1:31:29] Sean_kmsky: 知らない人が沢山いるｗ
[1:31:30] haru524288: え
[1:31:30] koyamori2: 最後まで言わせるえ
[1:31:30] ponz__6: 気まずw
[1:31:33] ノーシュ: なんか知らんやついっぱいだえ
[1:31:34] ichi38_: そうね
[1:31:34] すぱ: ｗｗｗｗｗｗ
[1:31:35] もずくみこみこ: いっぱい居たwww
[1:31:35] zenith_ar: 一旦気まずい
[1:31:37] achan2805: 気まずいｗ
[1:31:37] 加斗: 気まずい
[1:31:38] tokino8044: wwwww
[1:31:39] tuba2525: allin
[1:31:40] 左衛門三郎1129: いくえー
[1:31:44] レヴィ99: なんでww
[1:31:49] sushiboysomg: 知らない人や
[1:31:49] makomako1007: ご飯いくえ
[1:31:54] gaaahyu: 乗っとくかえ
[1:31:54] ソルティー_: 交流の場じゃない？w
[1:32:00] icenine_9029: 1人ならまあ
[1:32:04] レヴィ99: 交流チャンスやww
[1:32:19] icenine_9029: チャレンジした結果だから仕方ないえ
[1:32:19] haru524288: 市街戦むずそう
[1:32:23] achan2805: 集団で捕まってるって事はどっかのギャングではありそうだね
[1:32:23] もずくみこみこ: ヘリが来たからねぇ
[1:32:24] ノーシュ: あれは無理だえ、というか乱戦は仕方ないえ
[1:32:27] レヴィ99: 死んだらすぐに個人通知だね
[1:32:27] allie2209: サイレン聞こえなかったな
[1:32:29] みみまい: ヘリきたしねぇ
[1:32:33] 左衛門三郎1129: ぼ
[1:32:33] 千葉遼: こんばんは。ナイスファイトてました👍 Cheer1000
[1:32:43] tigersliker1967: あれはしょうがないぇ
[1:32:45] tuba2525: ぼ、ぶ
[1:32:47] もずくみこみこ: 警察の連携が凄かった
[1:32:52] makomako1007: 警察も衣装統一しないのか？
[1:33:18] takuchan12: 警察が刑務作業はせんやろw
[1:33:35] jarashi119: allinだえ〜
[1:33:59] みみまい: 交流重要やねぇ
[1:34:12] akagi_4147: 世の中騙すか騙されるか
[1:34:13] mochichi0: えいむくんや
[1:34:14] ノーシュ: 天才だえｗ
[1:34:16] もずくみこみこ: ほーぅ
[1:34:17] ソルティー_: いいこと聞いたえ
[1:34:19] ティーセブン: ワザップだえ
[1:34:23] gundora23: 有能だえ
[1:34:26] ノーシュ: ドラゴンだえ
[1:34:30] たろをまんじ: 捕まったのチャルロスだけか
[1:34:32] もずくみこみこ: 裏ワザ教えてもらったえ
[1:34:42] れれらい: 裏技やw
[1:34:47] 奄美迦楼羅: ワザップすぎるｗ
[1:34:50] ゆのぴか: すごwwww
[1:34:50] nsgrn__: えぐｗｗ
[1:34:51] zenith_ar: すごwww
[1:34:52] すみよし: ひもみっちーか
[1:34:54] ichi38_: わきをもやってたなww
[1:35:00] みみまい: 殺意高いえｗｗｗ
[1:35:01] mutuki70: 秘密だえ
[1:35:03] akagi_4147: wwwwwwwwwww
[1:35:12] atsumori_pop: 絶対秘密だえ！
[1:35:12] ノーシュ: あいつ革命軍だえ
[1:35:13] setunry: めっちゃひろめるえ〜
[1:35:14] もずくみこみこ: そこはちゃんとギャングだえw
[1:35:15] RAMU002: 天才が居た
[1:35:17] hachiko0000: 内緒だえー
[1:35:17] ajiitaa: それ前葉もやってたなｗｗｗ
[1:35:19] リーヅモ裏裏: 葉もやってたな
[1:35:22] ケントルマン: グレー
[1:35:32] nsgrn__: これは改修されそうｗいっぱい使っておこｗ
[1:35:36] twmonitor: 結構ラインではある
[1:35:37] haru524288: バグったか
[1:35:44] もずくみこみこ: 歪みやすいのかな
[1:35:45] gundora23: 運営に修正されないように隠すえ
[1:35:46] haruto2820: あーあ
[1:35:48] ノーシュ: 終わったのでは？
[1:35:51] きえさん: あ
[1:35:55] ノーシュ: やったえ！
[1:35:57] tomozooooooo: バチが当たった
[1:36:02] ティーセブン: 急がば回れだえ
[1:36:03] ふゆ介: 対策済み
[1:36:05] ケントルマン: wwwwww
[1:36:07] ソルティー_: あーあw
[1:36:10] もずくみこみこ: あーあ
[1:36:10] ノーシュ: ｗｗｗｗｗ
[1:36:12] しゅららぼん03: 急がば回れだえ
[1:36:15] akagi_4147: 知ってる人おったwwww
[1:36:17] gundora23: 急ぎすぎ注意だえ
[1:36:23] レヴィ99: めっちゃ連打はダメなのか
[1:36:25] tepapa: 急がば回れだえ
[1:36:26] みみまい: 他ギャングの情報重要だえ
[1:36:28] kamunagi1105: まじ言葉選び天才すぎるwwww
[1:36:29] shika_hr: 急がば回れだえ
[1:36:29] k0h4ku18: 名言すぎるえ
[1:36:34] hachiko0000: 知らなかったえ
[1:36:39] ノーシュ: アンブレラみんな知らなそうだえ
[1:36:41] setunry: アンブレラだけ知らない奴かこれw
[1:36:42] Stella7777: 今日何食べた？
[1:36:45] icenine_9029: 餡ブレラのみんなも知らなそうだえ
[1:36:48] nakazlma: 昨日一緒に合同した人達だえ
[1:36:51] ankoromoxti: ankoromoxti is gifting 5 Tier 1 Subs to ありけんです's community! They've gifted a total of 5 in the channel! 
[1:36:52] ankoromoxti: ankoromoxti gifted a Tier 1 sub to militan0207! 
[1:36:52] ankoromoxti: ankoromoxti gifted a Tier 1 sub to ししし33! 
[1:36:52] ankoromoxti: ankoromoxti gifted a Tier 1 sub to unikun8282! 
[1:36:52] ankoromoxti: ankoromoxti gifted a Tier 1 sub to うさぎばーにー! 
[1:36:52] ankoromoxti: ankoromoxti gifted a Tier 1 sub to だーやま4096! 
[1:37:01] thiru_sudyn: わぁ
[1:37:01] 狐爪: k4senOMG k4senOMG k4senOMG
[1:37:03] ノーシュ: ツバでも飲んどけだえ～
[1:37:10] 廃人しゃん: 知ってても餡は使わないと思うえ
[1:37:10] allie2209: DinoDance DinoDance DinoDance DinoDance
[1:37:12] たこでたこ: arikenKimoken arikenKimoken arikenKimoken arikenKimoken
[1:37:12] gundora23: わあ
[1:37:15] aya_s: arikenKimoken arikenKimoken arikenKimoken
[1:37:17] sakuto3399: だえ
[1:37:24] もずくみこみこ: 餡の人がいたら刑期中おしゃべり出来るからね
[1:37:29] yuukadayonn: 餡ブレラは知っててもしなさそうだえ
[1:37:32] icenine_9029: 今日はおもしろ銀行強盗なしかえ？
[1:37:34] すぱ: 餡ブレラはプリズンの雑談もまた楽しいギャングだえ
[1:37:35] sushiboysomg: からあげパク
[1:37:40] 狐爪: 1000ビッツも貰ってたえ
[1:37:40] ichi38_: わきをはしてたよww
[1:37:41] k0h4ku18: だえw
[1:37:57] kashu88: ファンアートにチャルロス出るの楽しみにしてるぞ！
[1:38:00] 千葉遼: 千葉遼 is gifting 5 Tier 1 Subs to ありけんです's community! They've gifted a total of 6 in the channel! 
[1:38:00] 千葉遼: 千葉遼 gifted a Tier 1 sub to stem1005! 
[1:38:00] 千葉遼: 千葉遼 gifted a Tier 1 sub to ごっちゃんマイキー! 
[1:38:00] 千葉遼: 千葉遼 gifted a Tier 1 sub to non_0818! 
[1:38:00] 千葉遼: 千葉遼 gifted a Tier 1 sub to けーーいけいけい! 
[1:38:00] 千葉遼: 千葉遼 gifted a Tier 1 sub to タピコ555! 
[1:38:00] フェブリク: フェブリク subscribed with Prime. 
[1:38:03] みみまい: 雑談も楽しいからなあ
[1:38:05] たこでたこ: arikenKimoken arikenKimoken arikenKimoken arikenKimoken
[1:38:07] 0hur0: えぐ
[1:38:08] icenine_9029: 一人だえ
[1:38:10] thiru_sudyn: arikenKimoken arikenKimoken arikenKimoken
[1:38:10] ノーシュ: 遠回りにもほどがあるえ
[1:38:11] ティーセブン: ごっちゃんマイキーあたってて草だえ
[1:38:15] tuba2525: うおおおおおおおおおおおお
[1:38:16] gundora23: おおお
[1:38:17] 空気3: arikenGolira arikenGolira arikenGolira
[1:38:22] thiru_sudyn: ボス当たってるえw
[1:38:32] gundora23: 草だえ
[1:38:33] yuutvjivctjn: ボスがあたったえ
[1:38:38] sakuto3399: わき
[1:38:38] らんぱ: ボスwww
[1:38:39] mame__me: まいきーさんおめでとうだえ
[1:38:43] shika_hr: ボスわろた本物？
[1:38:49] もずくみこみこ: あと誰が捕まったんだろう
[1:39:18] zenith_ar: あのバグみたいなの使わないのかえ？
[1:39:25] もずくみこみこ: ロケラン避けたのはナイスだぇ
[1:39:25] ノーシュ: 思ったよりゆっくり飛んできてたよね
[1:39:43] icenine_9029: www
[1:39:45] 狐爪: ww
[1:40:01] nsgrn__: え、今見てる人以外にもギフトって当たるの？！
[1:40:21] ぱぱらぱ00: あたるよ
[1:40:23] mame__me: 当たるえ〜
[1:40:30] nsgrn__: まじか、ありがとうです！
[1:40:30] きえさん: わきをいいなあ
[1:40:38] hiyokomanjuuuuu: ～しないの？って聞くのはやめてほしいぇ
[1:40:41] けーーいけいけい: サブスクありがとうございます！！
[1:40:48] みみまい: ｗｗｗｗ
[1:40:52] みみまい: 脳みそかぁ
[1:40:56] 千葉遼: 千葉遼 is gifting 5 Tier 1 Subs to ありけんです's community! They've gifted a total of 11 in the channel! 
[1:40:56] 千葉遼: 千葉遼 gifted a Tier 1 sub to シンノ! 
[1:40:56] 千葉遼: 千葉遼 gifted a Tier 1 sub to awpt321! 
[1:40:56] 千葉遼: 千葉遼 gifted a Tier 1 sub to tenbaren! 
[1:40:56] 千葉遼: 千葉遼 gifted a Tier 1 sub to とらインフィニティ! 
[1:40:56] 千葉遼: 千葉遼 gifted a Tier 1 sub to rinranmaru! 
[1:41:03] tuba2525: うおおおおおおおおおおおお
[1:41:03] 狐爪: k4senOMG k4senOMG k4senOMG k4senOMG
[1:41:09] dadadadadafafafa: わお
[1:41:11] sabachann123456: えぐぐぐぐ
[1:41:14] もずくみこみこ: ないギフだえ〜
[1:41:16] manimani1155855756452: DinoDance DinoDance DinoDance DinoDance DinoDance
[1:41:20] ココナッツミルク: DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance
[1:41:20] gundora23: わお
[1:41:46] KABAYAKIGG: DinoDance DinoDance DinoDance DinoDance
[1:41:53] ノーシュ: でっかいフード
[1:41:59] もずくみこみこ: あーあるね
[1:42:02] すぱ: 帽子ね
[1:42:09] marian36: 顔タコスか
[1:42:16] もずくみこみこ: 詳しくは言えないけど
[1:42:51] hiyokomanjuuuuu: 警察サイドは一時期、顔を隠すの禁止だったけどねぇ
[1:42:52] twmonitor: 人数多すぎたｗ
[1:42:58] ノーシュ: 乱戦おもろいけど早い段感で離脱すると萎えるよね
[1:43:08] Kaminagi_TKP: 街中は状況把握がむずかしそうだぇ～
[1:43:09] icenine_9029: 政宗大丈夫だったんかえ
[1:43:26] allie2209: ベイトだえ
[1:43:28] もずくみこみこ: 観測者は見てて連携がおもしろい
[1:44:12] ノーシュ: 政宗の猫マンゴーkillはすごかったえ
[1:44:13] きえさん: うわさのw
[1:44:13] もずくみこみこ: ナイスだぇ
[1:44:14] すぱ: ロケランの弾避けたチャルが収支一番プラスまである
[1:44:55] みみまい: 火種だえｗ
[1:45:00] Kaminagi_TKP: わきをとふざけるのは怖いえ
[1:45:01] ノーシュ: ファキモン
[1:45:02] もずくみこみこ: 見極めてる割にはよく怒られてるw
[1:45:02] ティーセブン: 怒られるえ
[1:45:06] icenine_9029: 草
[1:45:09] Sean_kmsky: さらっとｗｗｗ
[1:45:23] きえさん: 強制瞑想してたから
[1:45:52] ノーシュ: ここのヘドバが毎回長いえ
[1:46:36] ノーシュ: お迎えもいっぱいだえ
[1:46:44] Sean_kmsky: 大好きやなｗｗｗ
[1:46:53] 鬼九: ｗｗｗ
[1:46:54] aoyanx: すけべだえ
[1:46:57] periodfn88: きし
[1:47:07] Kaminagi_TKP: ローアングルはおやめくださーい
[1:47:07] ノーシュ: ｗｗｗｗｗｗｗｗｗ
[1:47:07] もずくみこみこ: れりあ大好きなチャルwww
[1:47:08] ネオちー: こいつコミケにいたぞ
[1:47:13] ソルティー_: www
[1:47:15] Sean_kmsky: やっすｗｗｗ
