[0:00:29] Ashamix_x: konn
[2:24:56] ponpen_: チャルの立ち回りは完璧だったよ。
[2:25:23] ハイレバ: オンラインゲームの定めやなぁ
[2:25:25] atsumori_pop: 気持ちよくなりてえよな・・
[2:25:30] みみっくす: 最近大型可哀想な死に方多いえ
[2:25:34] o5_oma: ご飯でも食べるえ
[2:25:38] keroro_gunsou_: 遠いと武器によってダメージ落ちるとかあった気もする
[2:25:42] キングスピア: てかあの立ち位置脚見えるなら弱くないのか？
[2:25:46] yossy_island23: 足元ちゃんと抜いて来た相手がえらかった
[2:25:50] レヴィ99: 金持ちが逃げれたのが救いだな
[2:25:52] papapapupepon: 相手は横に移動しながらだけどこっちは前後やったからな
[2:26:39] キングスピア: たしかに
[2:26:44] sharkdayon_: 相手遮蔽ないしね
[2:26:56] tricluster: この世界のシステム自体が古いからこればっかりはね…
[2:27:10] froyt_: 歪みえぐいな
[2:27:12] すぱ: 実際こっち視点あんなに当たってたのに相手視点2発しか入ってないからなぁ…同期ズレには誰も勝てんね
[2:27:15] にーとろる: 相手視点頭から血でてるのに何も削れてなかったからなw
[2:27:32] 狐爪: まあまあ、切り替えよう eavComf
[2:27:33] o5_oma: 次はもっと当ててやるえ！！
[2:27:39] win_strike0: これ割り切らなきゃいけないの辛いよなマジで
[2:27:42] yossy_island23: 相手アーマー削れてはいたよ
[2:27:43] nouka5hima: 切り替え大事だぇ〜
[2:27:55] flat_sh1ne: 距離減衰だとしても同期ズレであのダメージは萎える
[2:28:10] hiyokomanjuuuuu: 警察署ヘイストするえ
[2:29:00] atsumori_pop: エイム合っててもGTAの仕様上弾バラけるもんな、リコイルとかの概念無いし
[2:29:05] ハイレバ: 遮蔽使ってるのに同期ズレで遮蔽から出てる事になる事もあるしね
[2:30:23] にーとろる: 警察そんな有利なのに装甲車出ただけで萎えるとか言ってるんやなw
[2:30:40] マンボー大使: まあ金取ったし勝ったってことよ
[2:30:42] レヴィ99: @xnietlolzz 警察が有利とかではない
[2:30:44] ponpen_: 街に更新入って理不尽無くなる時も来るから頑張ろう。
[2:30:49] 限界コンカフェ嬢: 同期ズレ使ったもん勝ち
[2:31:02] sharkdayon_: 装甲車はMonDラークが強すぎるってだけでしょ
[2:31:54] Kaminagi_TKP: れりあまた顔変わった？ｗ
[2:32:29] にーとろる: 武器とか装備とか誰が死んだとかわかるシステム的に警察有利じゃないの？よくわかんないけど
[2:32:47] さしみしょうゆ: れりあいい奴
[2:33:45] sharkdayon_: @xnietlolzz 警察は1ギャングだけ相手にしてるわけじゃないからね
[2:33:47] tapitapi777: どっちが有利とかの論争は何も生まないからもうやめとくえ〜
[2:34:03] にーとろる: なるほど
[2:34:36] hachiko0000: 新車www
[2:35:03] gundora23: 愉快な方だなぁ
[2:35:11] twmonitor: 今月のゆちゃの活躍えぐい覚醒してる
[2:35:47] ponpen_: @sharkdayon_ ALLINらハードウェアチート、メタグレー行為多いから触れるな
[2:35:50] hachiko0000: こわいえ！
[2:36:16] レヴィ99: ナイスだえー
[2:36:48] megu0418: ファン太の魂貫通笑った
[2:37:01] たろをまんじ: ボタリン姐さんに癒してもらうえ
[2:37:12] hachiko0000: ファン太？ありけん？
[2:37:45] ノーシュ: どこのデブｗ
[2:37:57] sushiboysomg: 訂正しないで普通に会話してたけどねw
[2:40:40] hachiko0000: デートだえ
[2:40:51] だーすだよ: ふぅー
[2:40:54] amane_s: 慰めてもらうえ
[2:40:55] megu0418: ｗ
[2:40:55] ノーシュ: 癒やしてもらうえ
[2:40:56] nouka5hima: wwwなんて？
[2:41:00] 鬼九: koewha
[2:41:01] ペにやん0901: 声がもういい女
[2:41:04] 赤見二等兵: ボスの天敵
[2:41:05] たろをまんじ: チャージされたな
[2:41:08] hirokun528: あげころちゃんは？
[2:41:14] hiyokomanjuuuuu: 内見会と言う名のデートだえ
[2:42:33] 鬼九: ｗｗｗｗｗｗｗｗ
[2:42:46] gundora23: ｗｗｗｗｗ
[2:42:51] sabachann123456: www
[2:42:56] gundora23: あああああ
[2:42:58] hachiko0000: ママああああああ
[2:42:59] 狐爪: あ。
[2:43:00] 鬼九: あーあーあー
[2:43:02] Xirilla_: ママｗ
[2:43:07] ペチペチ教: LUL LUL
[2:43:12] 狐爪: わきをくんさぁ eavKnife
[2:43:18] gundora23: プールに沈めに行ったなｗ
[2:43:49] cdototay132: 家いくらなんだろ？
[2:43:51] amane_s: 間に合うか
[2:44:04] atsumori_pop: 顔でっかｗ
[2:44:13] mimisaku3123: マスクの意味ないえw
[2:44:40] kaaaaaaaaame142: 溺れてる？
[2:45:07] mimisaku3123: wwwwwww
[2:45:27] amane_s: ｗｗｗ
[2:45:28] sabachann123456: www
[2:45:30] hachiko0000: wwwwww
[2:45:32] みみっくす: ww
[2:45:32] KABAYAKIGG: www
[2:45:33] sa1mon15: www
[2:45:35] shun0628ns: wwwwwww
[2:45:39] atsumori_pop: ｗｗ
[2:45:44] シマシマさん: www
[2:45:47] gundora23: 楽しいねぇｗ
[2:45:49] ジンじん: ストグラでもアリケンさんとファン太さんの絡み見れるの嬉しい
[2:45:52] rinnemu75: いい落ち方出来たw
[2:45:54] ノーシュ: 楽しいｗ
[2:45:54] o5_oma: みんながいると癒さられるえね
[2:46:02] やぉぉぉん: 和気あいあいで癒されるえ
[2:46:06] とろとろぴく: www
[2:46:07] ペにやん0901: ありけんの笑顔が聞けて良かったえ
[2:46:08] gundora23: めっちゃナチュラル
[2:46:13] 狐爪: 了解👌
[2:46:13] とろとろぴく: 素がでてきてる
[2:46:27] 赤見二等兵: 仲良い証拠
[2:46:28] マンボー大使: ファンタと絡みあるのー？
[2:46:28] とろとろぴく: クリップ見ようか
[2:46:33] Kaminagi_TKP: 一回落とすといいえ
[2:46:50] 赤見二等兵: マブダチだぞ
[2:46:52] tofu14777: 高木と
[2:47:00] o5_oma: マブ
[2:47:00] ジンじん: マブダチ
[2:47:02] とろとろぴく: まじ古参
[2:47:07] ten1223: 実質兄弟まである？
[2:47:09] tofu14777: すご
[2:47:16] 奄美迦楼羅: 柔道仲間
[2:47:24] しゅららぼん03: そもそも絡みないやつはありけんって間違えないのでは
[2:47:24] saikeufc: ファンタはデカくなった
[2:47:28] れのん03: 声真似アモアスで自分ありけんさん知りました
[2:47:30] 赤見二等兵: wwww
[2:47:31] mimisaku3123: wwwww
[2:47:33] risuzu_00: やめろww
[2:47:34] sushiboysomg: やってたなそういえばその時もちゃるロスじゃね確か
[2:47:38] ponpen_: 仲良いからありけんにストグラ内であんまり絡んで来ないんだよな
[2:47:39] すぱ: みんな一回落としてから起動してない？
[2:47:41] mukuFPS: 唐突なメンヘラ
[2:47:45] たろをまんじ: あーメンヘラ
[2:47:46] にーとろる: rustのファン太おもろかったな
[2:47:47] rinnemu75: 第一回VCRでベジータで頑張ってたの覚えてる
[2:47:49] ジンじん: 声真似アモアスでめっちゃ緊張してたありけんさん懐かしい
[2:47:54] ryu_the_melo: 前のファン太も3時にクラッシュしてたね。
[2:47:59] かーくん_: 部活アモアス ファン太さんだけ来なかったのちょっと悲しかったな
[2:48:01] saikeufc: ドッカンバトル引いたの？
[2:48:02] ultraojosama: ultraojosama subscribed at Tier 1. 
[2:48:05] マキタ食堂: ようつべでありけんさん無限に見てました
[2:48:12] とろとろぴく: やめてくれ
[2:48:12] 鈴木3: ファームまじできつい
[2:48:17] cdototay132: ありけん知ったのわ玉夫さんのピクセルアーク
[2:48:23] 狐爪: BloodTrail
[2:48:28] かーくん_: RUSTのファーム普通に見たいわ
[2:48:30] thiru_sudyn: リスナーが死ぬ
[2:48:31] ナマコ魚雷: ずっとファムケンかw
[2:48:35] とろとろぴく: 何コメントしたらいいかわからんって
[2:48:44] atsumori_pop: 一生無言で花摘んでるのも好きだよ
[2:48:51] にーとろる: みそぎファームのときえぐかった
[2:48:52] tenma212: 玉夫さんめっちゃ前にストグラいた
[2:48:59] 赤見二等兵: この音楽いいよね
[2:49:13] とろとろぴく: 多分禊ファーム消えてるかな
[2:49:13] sakuto3399: 玉夫さんロスサントスからいなくなっちゃったからねえ
[2:49:14] megu0418: ｗ
[2:49:16] karuma_: あれはもう見たくないよ
[2:49:20] 奄美迦楼羅: 全く反省してなくて草
[2:49:33] kaaaaaaaaame142: ファムロス聖
[2:49:33] 赤見二等兵: 洞窟籠ってたやつだっけ？
[2:49:35] setunry: 禊終わった瞬間に同接増えたのおもろかったw
[2:49:37] megu0418: 禊の時だけ違う人見てた
[2:49:39] とろとろぴく: え
[2:49:42] thiru_sudyn: え
[2:49:42] KABAYAKIGG: え？
[2:49:44] 奄美迦楼羅: だれｗ
[2:49:44] かーくん_: あれ
[2:49:44] 狐爪: え
[2:49:44] 赤見二等兵: え
[2:49:45] しゅららぼん03: wwww
[2:49:49] saikeufc: え？
[2:49:51] setunry: 闇医者ルートw
[2:49:52] 鬼九: どこここｗ
[2:49:52] mimisaku3123: バイオみたい
[2:49:53] KABAYAKIGG: www
[2:49:53] とろとろぴく: あ
[2:49:53] kaaaaaaaaame142: 怖。
[2:49:57] aadfwe200: ww
[2:49:57] amane_s: どこここ？
[2:49:58] すぱ: 誰かもわからないしどこかもわからないｗｗｗ
[2:50:05] しゅららぼん03: こいつはもしかしてチャルけん？？
[2:50:06] o5_oma: エズリアルやめてw
[2:50:29] とろとろぴく: あ
[2:50:33] とろとろぴく: ボタリリン
[2:51:08] とろとろぴく: デートうおおお
[2:51:08] ichisanniiroku: ホワァッ！ヒンッ！？
[2:51:11] mionqo70: 助かる
[2:51:14] だーすだよ: 15時いっきまーす
[2:51:17] risuzu_00: 助けて
[2:51:29] 鬼九: ｗ
[2:51:52] tapitapi777: 本名にするのひさしぶりやな
[2:51:59] saikeufc: このアンブレラってやつ他の人に見えてるのかえ？
[2:52:02] 奄美迦楼羅: お
[2:52:03] himetyaaaan: こんばんわだえ〜🧸
[2:52:05] Kaminagi_TKP: あれ、ボスだ
[2:52:08] ichisanniiroku: うぇ、ボスか
[2:52:10] atsumori_pop: うォ！ボス！
[2:52:12] レヴィ99: 久しぶりのボスだ
[2:52:12] o5_oma: ボス！
[2:52:12] 5kaede: ボスおるやん
[2:52:34] Kaminagi_TKP: 天敵ｗ
[2:52:36] ichisanniiroku: ボ、ボタリンｗｗｗ
[2:52:40] 奄美迦楼羅: 果たして女の子なのか
[2:52:48] hachiko0000: ボタリンってたしかボスの天敵？
[2:53:08] sheied: 男見せるぞ
[2:53:22] cdototay132: 中居たりして
[2:53:54] レヴィ99: それダンスエモート？
[2:53:57] amane_s: 検索しようよｗ
[2:54:01] Kaminagi_TKP: 検索したほうが早そうｗ
[2:54:07] atsumori_pop: leanか？
[2:54:23] チャッピぃ: w
[2:54:40] megu0418: いいねｗ
[2:54:41] リスキーダイス: 車に腰掛けれないのか？
[2:54:45] thiru_sudyn: www
[2:54:51] ryuzi110: まつえ
[2:54:55] gundora23: ｗｗｗｗ
[2:54:56] たろをまんじ: 今日のチャルロスかっこいいかな
[2:55:02] o5_oma: ダサない？wwwww
[2:55:04] rinnemu75: いい感じだえ
[2:55:04] 狐爪: eavMonka
[2:55:08] gundora23: 顔決まってるか？
[2:55:09] cdototay132: 中覗いたらいるかも
[2:55:19] amane_s: 微妙に浮いててつらそう
[2:55:26] gundora23: 決まってるわｗ
[2:55:44] たろをまんじ: イケてる漢とイケてる車
[2:55:59] sakuto3399: ジェフ
[2:55:59] saikeufc: BMのC子はどうなったかえ？
[2:56:03] しゅららぼん03: 改めてみるとくつがw
[2:56:12] だーすだよ: 中居たりして
[2:56:23] mam21420: wwww
[2:56:42] 奄美迦楼羅: それで走ってくのやめて
[2:56:45] あかさたなやらわ: wwwwww
[2:57:01] だーすだよ: あれぼたりんだえ
[2:57:07] 奄美迦楼羅: あれじゃね
[2:57:10] banndaa: www
[2:57:10] o5_oma: あの水色じゃないかえ？
[2:57:11] amane_s: きた
[2:57:12] megu0418: あれだｗ
[2:57:15] sa1mon15: あれや
[2:57:17] ichisanniiroku: えっど！
[2:57:33] たろをまんじ: おいww
[2:57:37] わさび329: すれ違いw
[2:58:00] 奄美迦楼羅: あっ
[2:58:01] onann92: おっと
[2:58:03] しゅららぼん03: あっ
[2:58:04] hachiko0000: wwwww
[2:58:06] 奄美迦楼羅: 察し
[2:58:09] aadfwe200: ww
[2:58:15] たろをまんじ: 誰だ
[2:58:43] shun0628ns: wwwwwww
[2:58:45] hachiko0000: 大人の？
[2:58:55] amane_s: チャルロスがおもちゃ？
[2:58:56] ノーシュ: そうか、チャルロスとして会ってるのかｗ
[2:58:59] 狐爪: 大丈夫そうやね
[3:00:07] aadfwe200: ww
[3:00:44] 睡眠が不足: しかもあん時死んだしWW
[3:00:45] 奄美迦楼羅: アジト近いとこにすればいいのに
[3:01:23] ponpen_: www
[3:01:28] リスキーダイス: エロ本だえ
[3:01:44] mini_gori: wwwwwww
[3:01:45] hirokisaka: wwww
[3:01:49] tennkoh: ノリがいいえ
[3:01:51] たろをまんじ: 大犯罪やで
[3:01:59] hachiko0000: ハッピーターン違法性ありwwwww
[3:02:18] mini_gori: す、すえんの？
[3:02:35] ichisanniiroku: ｗｗｗｗ
[3:02:36] 鈴木3: えｄｄｄｄｄｄ
[3:02:40] aadfwe200: wwwwwwww
[3:02:43] gundora23: やめろｗ
[3:02:44] 限界コンカフェ嬢: ハッピーターンの粉を鼻から、
[3:03:00] 奄美迦楼羅: 路地裏に連れ込んでなにをするのかな
[3:03:04] fdsazxcvt: キメセクだえ〜
[3:03:23] megu0418: ｗｗｗｗ
[3:03:26] かーくん_: wwww
[3:03:27] thiru_sudyn: www
[3:03:27] sa1mon15: www
[3:03:28] hachiko0000: 臭そうwwwww
[3:03:28] あすわん: ｗｗｗｗｗｗｗ
[3:03:28] 職人: はっきりゆうｗｗｗ
[3:03:30] aadfwe200: wwwwwwwwwww
[3:03:30] mini_gori: wwwwwwwwwwwwww
[3:03:39] 奄美迦楼羅: まぁくさそうではあるか
[3:03:40] 鈴木3: ｗｗｗｗｗ
[3:03:43] tennkoh: wwww
[3:03:44] Xirilla_: ｗｗｗ
[3:03:46] あすわん: まずいｗ
[3:04:23] Kaminagi_TKP: ランポで来れるとこがいいよね
[3:05:15] たろをまんじ: 不動産デートだえ
[3:05:36] hachiko0000: こわいこわいw
[3:05:50] mini_gori: お、にく
[3:05:55] sylphxrz: ここは
[3:06:06] aadfwe200: あれ
[3:06:07] amane_s: 高そうw
[3:06:09] 狐爪: たっかそうな家
[3:06:10] たろをまんじ: 既視感
[3:06:14] yoshikawa1011: 既視感
[3:06:15] だーすだよ: まっずい
[3:06:18] 職人: 一緒に暮らす？
[3:06:28] atsumori_pop: 営業トークにやられてない？ｗ
[3:06:45] mini_gori: いるんだw
[3:07:03] shigechan3rd: 壺売りで草
[3:07:23] si0083: アンブレラかbmcか
[3:07:45] sssooolllaaaaa: wwwwww
[3:07:47] mutuki70: ｗｗｗｗ
[3:07:49] amane_s: あにーｗ
[3:07:53] mini_gori: おしゃれ
[3:08:58] kzyn123: チャル田舎育ちか
[3:09:18] nemakitemaki: チャルニーしてもらえ
[3:09:26] Kaminagi_TKP: 走ってるズズだ！
[3:09:44] risuzu_00: @kzyn123 去年まで一軒家建てて暮らしてたらしいえ
[3:09:49] mini_gori: wwwwwwww
[3:09:51] レヴィ99: 名前長かった人か
[3:09:54] あすわん: ｗｗｗｗｗｗ
[3:09:58] mini_gori: wwwwwwwwwwwwww
[3:09:59] sa1mon15: www
[3:10:09] gundora23: お笑い芸人だえ～
[3:10:33] kzyn123: 一軒家！？偉いえ〜
[3:10:52] しゅららぼん03: ギャガーw
[3:11:11] aadfwe200: wwww
[3:11:19] sa1mon15: www
[3:11:23] hiyokomanjuuuuu: スベり芸w
[3:11:25] sabachann123456: ww
[3:11:30] amane_s: ガハハｗ
[3:11:30] megu0418: ｗｗｗ
[3:11:31] KABAYAKIGG: www
[3:11:33] hachiko0000: w
[3:11:43] aadfwe200: ww
[3:11:49] kzyn123: ？？
[3:11:55] しゅららぼん03: www
[3:11:56] onann92: ？
[3:11:58] atsumori_pop: ？
[3:11:59] namennayo_: ？
[3:11:59] shun0628ns: wwwwwww
[3:11:59] hachiko0000: ？
[3:12:03] 狐爪: sekiHa
[3:12:03] pyoko_n: ？
[3:12:04] megu0418: がはは
[3:12:05] riou18: ？
[3:12:05] ichisanniiroku: ふう
[3:12:07] sa1mon15: ?
[3:12:10] waka919: ？
[3:12:13] リスキーダイス: 笑わせてるというより笑わえてるえ
[3:12:19] sabachann123456: ？
[3:12:20] mini_gori: wwwwwww
[3:12:21] Xirilla_: ｗｗｗ
[3:12:22] Kaminagi_TKP: でたｗ
[3:12:24] o5_oma: wwww
[3:12:26] onann92: www
[3:12:27] waka919: www
[3:12:27] あすわん: ｗｗｗｗｗｗｗ
[3:12:30] namennayo_: ？？？
[3:12:52] tennkoh: 払わないんだよね
[3:13:07] rocomoco18: www
[3:13:13] pyoko_n: ありけんは人を褒めるのが上手だね
[3:15:58] あすわん: ｗｗｗｗｗ
[3:16:10] kittankeita: ほんまに才能の塊すぎるw
[3:16:10] 狐爪: ピッタンコカンカン始まりますぅよぉ
[3:16:25] たろをまんじ: 新婚にはもってこいだえ
[3:16:51] 狐爪: え
[3:16:54] 職人: あらまぁ
[3:16:56] aadfwe200: wwwwww
[3:17:07] hachiko0000: 新婚さんw
[3:17:10] kittankeita: 平和すぎて最高www
[3:17:11] megu0418: ｗｗｗ
[3:17:14] しゅららぼん03: クロールするやつおらんやろw
[3:17:15] thiru_sudyn: www
[3:17:18] mini_gori: きしょいwwwwwww
[3:17:20] sa1mon15: www
[3:17:22] たろをまんじ: 水泳ガチ勢
[3:17:27] risuzu_00: ガチ泳ぎwww蛙化するw
[3:17:34] KABAYAKIGG: きしょいwww
[3:17:52] らんぱ: トライアスロンやん
[3:18:07] kittankeita: 次はチャリ漕がないとやん
[3:18:33] 職人: おおおおおおおお
[3:18:35] aadfwe200: ws
[3:18:36] かーくん_: 週4！？
[3:18:40] kittankeita: あつい！！
[3:18:42] hachiko0000: 同棲だえ？
[3:18:43] たろをまんじ: ほぼ同棲だえ
[3:18:44] atsumori_pop: アジトからドンドン離れてない？ｗｗ
[3:18:44] しゅららぼん03: 週4とかもうほぼ同棲やん
[3:19:02] megu0418: えぐｗ
[3:19:24] si0083: お金足りるかえ
[3:20:21] 職人: おもろそうｗ
[3:20:41] 鈴木3: いいんですか？！
[3:20:42] Kaminagi_TKP: んーｗｗｗ
[3:20:44] thiru_sudyn: えっ
[3:20:50] しゅららぼん03: www
[3:21:00] 狐爪: sekiNanda
[3:21:03] たろをまんじ: r18
[3:21:41] hachiko0000: 放送出来ないえ
[3:21:47] 5kaede: 企画ものか
[3:21:56] わんこのぽち: パロディ、、
[3:21:57] pyoko_n: わぁw
[3:22:00] nemakitemaki: パロディAV見たことあるわ
[3:22:15] 狐爪: LUL
[3:22:16] gundora23: 声死んでるｗ
[3:22:21] mikeneko_desu: タラちゃんw
[3:22:21] hachiko0000: wwwwww
[3:23:03] hachiko0000: 濃いのたくさんw
[3:23:21] わさび329: これ街ブラいけます
[3:23:21] nick__ski: 街ブラ出来るやんｗ
[3:23:23] gundora23: いい街じゃないかｗ
[3:23:24] pyoko_n: wwww
[3:23:33] mikeneko_desu: 名前は知ってるけどw
[3:23:36] atsumori_pop: まったく騒がしい街だぜ
[3:23:52] t_tm0923: 野生のアムロwww
[3:24:41] Kaminagi_TKP: ただの倉庫探しがｗ
[3:25:05] sylphxrz: ひろー
[3:25:10] aadfwe200: w
[3:25:22] レヴィ99: 倉庫目的、だよな？ww
[3:25:26] 小野寺のぷんぷん: スタッシュの容量大事だえ
[3:25:27] hachiko0000: もう倉庫じゃない同棲新居w
[3:25:36] すぱ: 薬拠点にこんな家いらなすぎて草
[3:25:38] shigechan3rd: 倉庫探しのはずが大金使いそうで草
[3:25:46] atsumori_pop: ただの倉庫探しがもうｗｗｗ
[3:25:47] ten3ten3: 同棲やん
[3:25:55] ペにやん0901: もう夫婦の部屋着めなんよ
[3:26:00] zeke_nananiji: 同棲するんですか？w
[3:26:09] hachiko0000: 高いの買わされるやつw
[3:26:14] shigechan3rd: 倉庫でいいえ
[3:26:16] Kaminagi_TKP: 確かにでかい家なのにスタッシュクソちっさいのあったような
[3:26:20] だーすだよ: 考え直せ倉庫だえ
[3:26:20] pyoko_n: たかぁ
[3:26:23] tapitapi777: たっけぇwww
[3:26:24] thiru_sudyn: www
[3:26:25] ペチペチ教: えぐう
[3:26:26] atsumori_pop: 営業トークに乗せられてるえｗｗｗｗ
[3:26:26] 狐爪: GG eavYes
[3:26:27] しゅららぼん03: えぐぅ
[3:26:27] 職人: いいねｗｗｗｗｗｗｗｗ
[3:26:28] かーくん_: www
[3:26:28] ぴーなっつばーたー: ｗｗｗｗｗｗｗｗ
[3:26:32] レヴィ99: 倉庫を買うんだぞチャルロスww
[3:26:53] hachiko0000: 負けるな頑張れw
[3:26:53] KABAYAKIGG: 薬に3億の家てwww
[3:26:59] shigechan3rd: 正気に戻れチャルロスｗｗｗｗ
[3:27:06] tapitapi777: 高いけど週4でボタリンだえ？w
[3:27:15] ちくわ0141: 倉庫で３億笑
[3:27:19] riou18: 後悔するぞチャルロス
[3:27:26] hachiko0000: わきをとか先輩連れてくるべきだったかもwww
[3:27:27] atsumori_pop: そもそもあの外装と土地が高いんだ！正気に戻ってくれチャルｗｗ
[3:27:30] 職人: ｗｗｗｗｗ
[3:27:30] すぱ: みんないくらで薬倉庫買ってるんかね？
[3:27:33] megu0418: ｗｗｗ
[3:27:43] ペにやん0901: 初手の倉庫で十分だえ！目を覚ますえwww
[3:27:43] shigechan3rd: 2000万です
[3:27:44] レヴィ99: わきをたちはいくらで買ったんだろう
[3:28:07] たろをまんじ: 使わんだろww
[3:28:11] hachiko0000: 7億wwwwww
[3:28:14] KABAYAKIGG: 7億！？
[3:28:16] ぴーなっつばーたー: 見た目こだわると金なくなるえ
[3:28:20] 5kaede: みんな持ってるの家って言うよりただの倉庫だからな
[3:28:33] しゅららぼん03: たかそwwww
[3:28:33] tigersliker1967: エンドコンテンツだぇw
[3:28:35] Kaminagi_TKP: 絶対いらねぇｗｗ
[3:28:37] 狐爪: ひっろ
[3:28:39] hachiko0000: 広すぎwwww
[3:28:40] maru1234a: それ１
[3:28:45] だーすだよ: アジトww
[3:28:49] tennkoh: 部屋数やば
[3:28:54] atsumori_pop: ボタリンさらっとたけえの買わせようとしてるぞｗｗ
[3:28:58] zeke_nananiji: ひろすぎw
[3:29:29] hirokisaka: お肉の組やん
[3:29:30] hachiko0000: おしゃれw
[3:29:36] hiyokomanjuuuuu: ぶっちゃけ1Kぐらいでも。
[3:29:48] たろをまんじ: ボタリンとのデート楽しそうだな
[3:29:49] ペにやん0901: 中に木生やさなきゃ
[3:29:54] sugikenjp: お肉だｗ
[3:29:55] 職人: ＩＨはごみ
[3:30:57] sabachann123456: ww
[3:30:58] ぴーなっつばーたー: ｗｗ
[3:31:05] レヴィ99: 最安値見たいね
[3:31:25] hachiko0000: 高いwwwww
[3:31:29] Kaminagi_TKP: キッチンもいらんｗｗｗ
[3:31:31] KABAYAKIGG: ハウス？倉庫……
[3:31:34] atsumori_pop: ボタリンの金銭感覚がちょっと・・・ｗｗ
[3:31:41] hachiko0000: 倉庫に2億笑われるえwwww
[3:31:48] 限界コンカフェ嬢: もうみんなの倉庫の近くでええがなWW
[3:31:50] 芋川芋機: 惑わされるなw
[3:31:52] flat_sh1ne: これでスタッシュ少なかったらゴミw
[3:31:53] 5kaede: そもそもクラフトから近いのかこの家
[3:31:55] たろをまんじ: ええやん
[3:31:55] thiru_sudyn: ; ;
[3:31:57] nnn_tttttt: かっけぇ
[3:32:03] tennkoh: 男の威厳を取るか…
[3:32:06] リスキーダイス: 買いたい車あるんじゃないのかえ？
[3:32:13] にーとろる: いらないだろwwwww
[3:32:14] 職人: あらあら
[3:32:48] KABAYAKIGG: どんどんアジトから離れてて笑うwww
[3:32:56] shigogono: wwwwww
[3:33:07] 狐爪: 発情すんなw
[3:33:12] たろをまんじ: やってんなww
[3:33:16] atsumori_pop: 男を魅せたい心 ＶＳ やっすい倉庫で済ませたい心
[3:33:22] tennkoh: wwww
[3:33:31] amane_s: デブネタは刺さるｗ
[3:34:03] 職人: ここは倉庫だえ
[3:34:07] risuzu_00: 服着ろw
[3:34:17] すぱ: 薬倉庫で数億出したらボスに怒られるんじゃないか？www
[3:34:36] Kaminagi_TKP: どうせアジトにしかいないでしょｗ
[3:34:47] hachiko0000: 臭そうな家wwww
[3:34:50] たろをまんじ: ありけんとして楽しんでるな
[3:35:05] ぴーなっつばーたー: 倉庫に億はらうんか？ｗ
[3:35:17] 芋川芋機: 負けるなw
[3:35:19] 鈴木3: NotLikeThis
[3:35:21] 5kaede: 車買うんだろ！
[3:35:23] Kaminagi_TKP: 車とヘリのお金がｗ
[3:35:24] hachiko0000: 頑張れ負けるなチャルロスw
[3:35:25] KABAYAKIGG: もうええてw
[3:35:32] ぴーなっつばーたー: いいじゃん
[3:35:33] 職人: きったねえなｗｗｗｗ
[3:35:34] tapitapi777: きったなw
[3:35:34] Kaminagi_TKP: これこれ！！ｗ
[3:35:35] ぴーなっつばーたー: 倉庫
[3:35:35] thiru_sudyn: www
[3:35:39] dopadoyaa: いいじゃんw
[3:35:39] shun0628ns: wwwwwww
[3:35:41] megu0418: ｗｗ
[3:35:43] atsumori_pop: これこれ！！！！！
[3:35:46] KABAYAKIGG: これが一番
[3:35:46] hachiko0000: これこれ倉庫定番w
[3:35:46] ぴーなっつばーたー: ガチ倉庫
[3:35:50] shigogono: 格差よwwwwww
[3:35:55] Boukan_sha_: みんなこれだよ！
[3:35:58] Run0808: やっす
[3:35:59] たろをまんじ: 2億出そうぜ！
[3:36:11] ぴーなっつばーたー: 営業
[3:36:11] amane_s: 車のことを思い出せ
[3:36:14] shigechan3rd: 我に返るえ
[3:36:14] learnenglish12345: 取られるとかあるの？
[3:36:14] わさび329: カジノで勝てば…
[3:36:31] たろをまんじ: 週4でボタリン
[3:36:46] si0083: ２おくでボタリン週4がいいえ
[3:37:03] 職人: おしゃん
[3:37:07] ぴーなっつばーたー: いいねえ
[3:37:33] ぴーなっつばーたー: たっか
[3:37:33] amane_s: おい
[3:37:34] hachiko0000: スタッシュは？
[3:37:35] hiyokomanjuuuuu: 高い
[3:37:36] atsumori_pop: たっかｗ
[3:37:39] thiru_sudyn: たけぇ
[3:37:39] skns1357: やすーいw
[3:37:49] 鈴木3: ほな2億かぁ
[3:37:50] たろをまんじ: やすい！
[3:37:52] atsumori_pop: マジ？ｗ
[3:37:56] 狐爪: 営業してらぁ
[3:37:58] わさび329: 二億買うか〜
[3:38:05] hiyokomanjuuuuu: 倉庫に1億は高いw
[3:38:19] hachiko0000: 2億買うかー
[3:38:22] マドリディスタ: 倉庫なのに豪華すぎないか？笑
[3:38:29] Kaminagi_TKP: なんで薬用の倉庫にボタリン来るんだｗ
[3:38:34] リスキーダイス: まずはカスみてぇなとこからはじめるえ
[3:39:04] 5kaede: 目的が変わってきてるw
[3:39:42] amane_s: ぼたりんやばいか
[3:39:44] すぱ: 全部家具がおいてある家って見た目だけで座れたり寝れたりしなかった気がする
[3:39:50] atsumori_pop: 2億確定なんだよｗｗｗｗｗｗｗｗ
[3:40:11] Kaminagi_TKP: 帰りませんｗ
[3:40:12] shigechan3rd: 住居はアジトあるえ
[3:40:16] マドリディスタ: 寝泊まりは会議室じゃね？笑
[3:40:19] froyt_: まずはカスからじゃない？w
[3:40:34] KABAYAKIGG: 何個見るんよw
[3:40:49] plmqaz1982: ケバケバしい
[3:40:53] dopadoyaa: なんかキモいw
[3:41:05] hachiko0000: 子沢山だえ
[3:41:10] plmqaz1982: DBDに出てきそう
