[3:10:14] nicklas4505: cs?
[3:30:18] aicero: crazy
[3:30:19] staminaa11: crazy
[3:30:19] p000wr: crazy
[3:30:19] abbzeen: crazy
[3:30:19] soyreet: crazy
[3:30:19] hejhenke12: crazy
[3:30:19] Frezzy_2004: crazy
[3:30:20] Edvinkarlssson: crazy
[3:30:20] 0rosablommma: crazy
[3:30:20] knasteo7: crazy
[3:30:20] UfoDuck: crazy
[3:30:20] Nxb_: crazy
[3:30:21] koboolt: crazy
[3:30:21] sparkcykell: crazy
[3:30:21] hornyboro: crazy
[3:30:21] antonaron: crazy
[3:30:21] ispooooo: crazy
[3:30:21] NissePavel: crazy
[3:30:22] isakdown: crazy
[3:30:22] vhoolm: crazy
[3:30:22] kosken98: crayze
[3:30:23] MBsim01: crazy
[3:30:23] snaderii: crazy
[3:30:23] Deoxlol: crazy
[3:30:23] polly123123123: crazy
[3:30:23] wet_meatballs: crazy
[3:30:24] abidabi99: crazy
[3:30:24] Spliitsix: crazy,
[3:30:25] discomanne: crazy
[3:30:25] stinastenkat: crazy
[3:30:25] soderberggg: crazy
[3:30:25] Dheelliboooo: crazy
[3:30:25] RealPajka: crazy
[3:30:27] rs1axel: crazy
[3:30:27] Mullvin_: crazy
[3:30:28] wigg0donpablo: crazy
[3:30:28] DeJohansson: crazyy
[3:30:28] josh099: crazy
[3:30:28] latchoman: crazy
[3:30:28] cart0s: crazy
[3:30:29] Crazy_jesper: crazy
[3:30:29] makr1ll: crazy
[3:30:29] AscaJ: crazy
[3:30:29] ggvpzwexy: crazy
[3:30:30] Spliitsix: crazy
[3:30:30] fuzzboiii: crazy
[3:30:30] raiinb0b: crazy
[3:30:31] willebaby: crazy
[3:30:31] nl023: crazy
[3:30:31] DeJohansson: crazy
[3:30:32] Fxpro99: crazy
[3:30:32] casromme: crazy
[3:30:32] f_e_l_l_o_: crazy
[3:30:32] PikkuMatti: crazy
[3:30:32] hedberg11: crazy
[3:30:32] Rejsmaows: crazy
[3:30:33] linuss44: crazy
[3:30:33] iqminusss: crazy
[3:30:34] Melwajn: crazy
[3:30:34] brusse15: crazy
[3:30:34] marttin5: crazy
[3:30:34] villevallen: crazy
[3:30:34] pakkebaby: crazy 󠀀
[3:30:35] kosken98: crazy
[3:30:35] DaddyofC: Där är du ju @BRAUTA
[3:30:35] wingard03: crazy
[3:30:35] chhaallee: crazy
[3:30:36] elias8228: crazy
[3:30:36] slinky1891: crazy
[3:30:36] pappskallee: crazy
[3:30:37] fogelmannen: CRAZY
[3:30:38] KnubbisP: crazy
[3:30:38] TobiasJ1: crazy
[3:30:39] Lickmygun: crazy
[3:30:39] Waunderbaums: Crazy
[3:30:39] flinton: crazy
[3:30:40] Creeeex: crazy
[3:30:41] Crazy_jesper: yes
[3:30:42] astrixxx: crazy
[3:30:43] Waunderbaums: crazy
[3:30:43] dillchippen: crazy
[3:30:44] alphajtl: crazy
[3:30:44] jabadabado: crazy
[3:30:44] ante2023: crazy
[3:30:45] fanzi98: crazy
[3:30:45] shukt1: crazyy
[3:30:45] bombaclatxx: crazy
[3:30:45] Naardus: crazy
[3:30:47] shukt1: crazy
[3:30:47] zitred13: crazy
[3:30:47] sebbeswe99: crazy
[3:30:47] AKI506: crazy
[3:30:47] BRAUTA: DaddyofC och där är du ju!
[3:30:49] lggchaii: crazy
[3:30:49] entreprenada: crazy
[3:30:49] Crazy_jesper: ska du ha min trade link?
[3:30:50] FabbaN16: crazy
[3:30:50] shukt1: crazyy
[3:30:50] QJacke: crazy
[3:30:51] fransisss99: crazy
[3:30:52] bankld: crazy
[3:30:52] shukt1: crazy
[3:30:52] kashmir_baad: crazy
[3:30:53] KarragerCSGO: crazy
[3:30:54] j4nne1: crazy
[3:30:54] larrrenn: crazy
[3:30:54] Barbaburpa: crazy
[3:30:56] sumo_baby: crazy
[3:30:56] elias20103: crazy
[3:30:57] Crazy_jesper: https://steamcommunity.com/tradeoffer/new/?partner=303916326&token=FwAEqtpz
[3:30:58] nuyye: crazy
[3:30:58] Spaazzm: crazy
[3:30:59] alpeenbaby: crazy 󠀀
[3:30:59] elchefo1337: crrazy
[3:31:00] JoppaV2: crazy
[3:31:00] robinpeterssoon: den schätte
[3:31:03] joem1ke: crazy
[3:31:04] headik_: crazy
[3:31:05] waarg123: crazy 󠀀
[3:31:06] DaddyofC: @BRAUTA Jamen hej på dig
[3:31:07] jjakeeeeee: crazy 󠀀
[3:31:08] nr1broski: crazy
[3:31:08] Aabroraa: crazy
[3:31:09] sleepyTJz: crazy
[3:31:09] 1twogunkid: crazy 󠀀
[3:31:09] J3ttRixX: crazy
[3:31:10] linuss44: crazy 󠀀
[3:31:11] fogelmannen: crazy
[3:31:13] hedinbaby: crazy
[3:31:14] viggggoooo: crazy
[3:31:14] thiccsl: crazy
[3:31:14] wingard03: crazy
[3:31:15] nr1broski: lets go
[3:31:15] gpunktshund: crazy
[3:31:16] holmstrand0402: crazy
[3:31:16] nr1broski: crazy
[3:31:17] hansalina: crazy
[3:31:18] hedinbaby: !watchtime
[3:31:19] latchoman: crazy
[3:31:19] fittabbee: crazy
[3:31:20] keviiiiiii1n: crazy
[3:31:21] YxeT: crazy
[3:31:23] kruk4n_: crazy
[3:31:24] Crazy_jesper: Thank you doood! <3
[3:31:24] alphajtl: crazy
[3:31:25] shukt1: crazy
[3:31:26] arayjj: crazy
[3:31:26] brittgudn: crazy
[3:31:27] SimownTv: crazy
[3:31:28] 1twogunkid: crazy
[3:31:28] felkano: crazy
[3:31:34] elias20103: crazy
[3:31:35] pakkebaby: crazy
[3:31:37] kashmir_baad: kashmir_baad subscribed at Tier 1. 
[3:31:37] Lekstunden: crazy
[3:31:38] pungeliten94: crazy
[3:31:38] SprixZ_: crazy 󠀀
[3:31:38] the__dark666: crazy
[3:31:39] DaddyofC: Och Fleknano
[3:31:39] olofssonn: crazy
[3:31:40] アレクロール: crazy
[3:31:41] jockansson: crazy
[3:31:41] pelle000: crazy
[3:31:42] clabbee: crazy
[3:31:42] Hjelmm: crazy
[3:31:43] CalcuttaMF: crazy
[3:31:44] kashmir_baad: måste ha lite extra tur
[3:31:45] larrrenn: crazy 󠀀
[3:31:45] Kaffe_Rast: crazy
[3:31:46] saiiim0n: crazy
[3:31:49] memmold: crazy
[3:31:50] xKevvee: crazy
[3:31:50] FronkeNN: crazy
[3:31:51] wizzeb: crazy
[3:31:52] IZOR___: crazy
[3:31:52] BuzziMax: crazy
[3:31:53] toxxxie: crazy
[3:31:54] robinnostos: crazy
[3:31:54] VanVeet: crazy
[3:31:55] pengthingfrompanema: crazy
[3:31:55] jojusss: crazy
[3:31:56] hedinbaby: crazy
[3:31:57] SpelarDanne: crazy
[3:31:58] getingen98: crazy
[3:31:58] Memorex1989: crazy
[3:32:02] Pronxzey: crazy
[3:32:04] Rysjoooo: crazy
[3:32:05] DiiOR17: crazy
[3:32:07] ander2s0n: crazy
[3:32:08] EliassiNate: crazy
[3:32:09] J0nte00o: crazy 󠀀
[3:32:10] gr0go_: crazy
[3:32:10] emp1a: crazy 󠀀
[3:32:11] luffyy1891: crazy
[3:32:14] clabbee: crazy
[3:32:14] shukt1: crazy
[3:32:15] jabadabado: crazy 󠀀
[3:32:17] polly123123123: crazy
[3:32:19] linuss44: crazy
[3:32:22] 1schmuel: crazy
[3:32:23] jEPPOO: crazy
[3:32:23] casromme: !hellcase
[3:32:23] Nightbot: Kolla in Hellcase erbjudande på min LINKTREE https://linktr.ee/cyrustwo (This is not a transaction link)
[3:32:24] bromanceIDGT: crazy
[3:32:25] CalcuttaMF: crazy
[3:32:25] soderberggg: crazy
[3:32:28] fogelmannen: crazy 󠀀
[3:32:30] iqminusss: crazy
[3:32:31] sulan__: crazy
[3:32:35] Lanchaan: crazy
[3:32:36] andersson20: crazy
[3:32:39] jojkmaster: crazy
[3:32:39] jaggillarrumpa: crazy
[3:32:40] jagarncsg: crazy
[3:32:40] Vagge3: crazy
[3:32:42] Noelthebonde: crazy
[3:32:45] n111111tro: crazy
[3:32:46] larrrenn: crazy
[3:32:46] wigg0donpablo: crazy
[3:32:48] Spliitsix: Varför kan man bara göra ett Requirements på gw på hellcase?
[3:32:49] Goodio0: crazy
[3:32:51] E_nzo: crazy
[3:32:57] sverre741: crazy
[3:32:57] Bommen95: crazy
[3:32:58] hejHopp: crazy
[3:32:59] shukt1: crazy
[3:33:00] アレクロール: Spliitsix  refresha sidan
[3:33:02] DeJohansson: crazy
[3:33:07] 1cali: crazy
[3:33:09] SprixZ_: crazy
[3:33:15] DaddyofC: crazy
[3:33:15] Zer00xcsgo: crazy
[3:33:16] joem1ke: crazy
[3:33:17] kashmir_baad: crazy
[3:33:21] holmstrand0402: crazy
[3:33:21] emilkemil56: crazy
[3:33:22] timpaaanw: crazy 󠀀
[3:33:22] thiccsl: crazy
[3:33:27] j4nne1: crazy 󠀀
[3:33:30] DaddyofC: xd
[3:33:30] Nightbot: nuyye has won the giveaway. Jebaited
[3:33:32] hedberg11: crazy
[3:33:33] willee_12: crazy
[3:33:33] Nightbot: EliassiNate has won the giveaway.
[3:33:35] shukt1: crazy
[3:33:35] linuss44: crazy 󠀀
[3:33:39] Spaazzm: crazy
[3:33:41] lucky_luke3: crazy
[3:33:42] isaakid: crazy
[3:33:43] steweewonder: crazy
[3:33:44] soyreet: crazy
[3:33:46] Waunderbaums: crazy
[3:33:46] viggggoooo: crazy
[3:33:47] Z_Ryden: crazy
[3:33:47] Nirre01: crazy
[3:33:49] linuss44: crazy
[3:33:51] larrrenn: crazy 󠀀
[3:33:52] joem1ke: crazy
[3:33:55] Bitzin: crazy 󠀀
[3:33:56] Bitzin: som fan
[3:33:59] elias20103: crazy
[3:33:59] Jompah: catsittingverycomfortablearoundacampfirewithitsfriendsxddsitandKEKWaitSit
[3:34:01] eriikss0n: crazy
[3:34:03] the__dark666: crazy
[3:34:03] 1cali: Waiting
[3:34:05] Lingan: crazy
[3:34:08] jollan2005: crazy
[3:34:08] Oscaarrr11: crazy
[3:34:10] Nightbot: Jocke695 has won the giveaway.
[3:34:10] sverre741: crazy
[3:34:10] seeby321: crazy
[3:34:11] 1twogunkid: crazy 󠀀
[3:34:12] UfoDuck: crazy 󠀀
[3:34:12] bulken0: crazy
[3:34:13] Jompah: Bilen går bra?
[3:34:13] ljungqvist14: ljungqvist14 subscribed at Tier 1. They've subscribed for 30 months! 
[3:34:14] snaZEDAzE: ceazy
[3:34:14] 1bLrrrd: crazy
[3:34:18] nassesist1939: crazy
[3:34:18] bzlb: crazy
[3:34:19] snaZEDAzE: crazy
[3:34:20] Bonkertv: crazy
[3:34:22] brittgudn: crazy
[3:34:22] arayjj: '
[3:34:22] Jocke695: https://hellcase.com/en/profile/6283877/items
[3:34:25] FmmL: crazy 󠀀
[3:34:26] makr1ll: crazy
[3:34:27] Nightbot: AIKSvartGult has won the giveaway.
[3:34:28] alindstroms: crazy
[3:34:30] majo4804: crazy
[3:34:31] Lekstunden: Har du köpt ny bil? Vad för något, har missat @CyrusTWO
[3:34:33] f0ppz: crazy
[3:34:33] brusse15: crazy
[3:34:34] アレクロール: AIKSvartGult  näähh
[3:34:38] konduktorenn: crazy
[3:34:42] Spliitsix: crazy
[3:34:42] xxdogenxx: crazy
[3:34:43] Wigii0: crazy
[3:34:45] shukt1: crazy
[3:34:47] Waunderbaums: crazy
[3:34:47] bombaclatxx: crazy
[3:34:54] holmstrand0402: crazy
[3:34:55] 1bLrrrd: 1 sek
[3:34:57] LurvasXP: crazy
[3:34:58] pelle000: crazy
[3:34:59] sulan__: crazy
[3:35:00] andersson20: !followage
[3:35:01] jojkmaster: crazy
[3:35:03] Lekstunden: @AIKSvartGult ojojojoj över 30 här
[3:35:04] Lekstunden: Kappa
[3:35:08] 1bLrrrd: https://hellcase.com/en/profile/14891793/items
[3:35:09] Jompah: Waiting
[3:35:11] DaddyofC: Stressen @AIKSvartGult  :)
[3:35:15] shukt1: crazy
[3:35:16] latchoman: crazy
[3:35:16] DeJohansson: crazy
[3:35:20] Nightbot: discomanne has won the giveaway.
[3:35:22] m0nkeyhunter123: crazy
[3:35:24] joppe30: @andersson20 tryck på ditt namn så ser du
[3:35:25] Spliitsix: funkar fortfarande inte att göra båda Requirements på gw :(
[3:35:27] pawn73: crazy
[3:35:28] pawn73: ...
[3:35:29] jagarncsg: crazy
[3:35:30] discomanne: https://hellcase.com/en/profile/15350055/items
[3:35:32] exp3rtr6: crazy
[3:35:34] Nightbot: Spaazzm has won the giveaway.
[3:35:37] pelle000: crazy
[3:35:37] brodernateoriginal: crasy
[3:35:40] larruuu: crazy
[3:35:41] Nightbot: @Spaazzm -> Sometimes you scare me! [stop posting links] [warning]
[3:35:42] DaddyofC: Hej Panne @pawn73
[3:35:43] casromme: crazy
[3:35:45] andersson20: ty
[3:35:46] ralleball33: crazy
[3:35:46] holmstrand0402: crazy
[3:35:47] Nightbot: wingard03 has won the giveaway.
[3:35:49] brobbe45: damn
[3:35:49] Waunderbaums: crazy
[3:35:50] galentheol: crazy
[3:35:50] pawn73: @DaddyofC tjena farsan!
[3:35:53] shukt1: crazy
[3:35:56] marda_xd: crazy
[3:35:57] makrapdad12: CRAZY
[3:35:59] アレクロール: madapasa
[3:35:59] timpaaanw: https://hellcase.com/en/profile/7022135/items
[3:36:00] memmold: crazy
[3:36:00] Nightbot: UfoDuck has won the giveaway.
[3:36:00] makrapdad12: crazy
[3:36:04] Neehlmark: crazy
[3:36:06] 1juniorw: Spliitsix funkat för 700st, har du använt koden?
[3:36:07] larrrenn: crazy
[3:36:09] UfoDuck: https://hellcase.org/en/profile/11826761/items
[3:36:09] EMIL434_: crazy 󠀀
[3:36:10] PikkuMatti: men ge mig den
[3:36:10] elias20103: crazy
[3:36:11] olofssonn: crazy
[3:36:14] nikeshortss: jag vill inte vara med
[3:36:14] Nightbot: hejhenke12 has won the giveaway.
[3:36:16] hehejesper: snart skriker jag asså
[3:36:16] nicklas4505: ttttt
[3:36:17] nr1broski: crazy
[3:36:19] holmstrand0402: crazy
[3:36:21] linuss44: crazy 󠀀
[3:36:22] jagarncsg: crazy
[3:36:23] brittgudn: crazy
[3:36:26] shukt1: crazy
[3:36:26] brobbe45: hånestly
[3:36:28] hejhenke12: 1 sek
[3:36:29] 0rosablommma: @Nightbot riggA för mig nuda
[3:36:30] アレクロール: crazy
[3:36:30] joppe30: crazy
[3:36:32] dadobreee: crazy
[3:36:32] makr1ll: crazy
[3:36:33] kevster732: crazy
[3:36:35] DeJohansson: 2014 galet
[3:36:36] 1canoo: crazy
[3:36:38] Jompah: catsittingverycomfortablearoundacampfirewithitsfriendsxddsitandKEKWaitSit
[3:36:40] 0rosablommma: reroll
[3:36:47] malm69: crazy
[3:36:48] alpeenbaby: crazy
[3:36:48] DeJohansson: crazy
[3:36:50] siyarkadro: crazy
[3:36:50] chumwaij23: crazy
[3:36:53] nikeshortss: tick tack
[3:36:53] elefantenrl: crazy
[3:36:54] Nxb_: omE
[3:36:55] emp1a: crazy
[3:36:56] nikeshortss: tick tack 󠀀
[3:36:58] hejhenke12: https://hellcase.com/en/profile/15722443/items
[3:36:58] bollecolle2002: crazy
[3:37:02] zippysucra: crazy
[3:37:06] malmis_: crazy
[3:37:09] 1cali: Waiting  󠀀
[3:37:10] OfficulSicko: crazy
[3:37:11] kallen145: crazy
[3:37:13] SprixZ_: checka ufos länk @CyrusTWO
[3:37:15] holmstrand0402: crazy
[3:37:17] shukt1: crazy
[3:37:18] sempar3: crazy
[3:37:18] Noelthebonde: crazy
[3:37:26] Nxb_: 5,5 års sub jag men följer sen 2019 YEP
[3:37:29] okkeoscar: crazy
[3:37:29] アレクロール: org
[3:37:31] Nxb_: 2021*
[3:37:41] dadobreee: bn v
[3:37:45] PikkuMatti: a
[3:37:48] SprixZ_: ait
[3:37:58] Lekstunden: @SprixZ_ jag track nu och fick panik xd
[3:37:59] Xaylol: hackzor
[3:38:03] Wigii0: aaaa ufo har gått in på en scam länk
[3:38:13] SprixZ_: o7
[3:38:19] Nightbot: BRAUTA has won the giveaway.
[3:38:20] nicklas4505: ttttt
[3:38:24] 1bLrrrd: Såja BRAUTA
[3:38:24] BRAUTA: https://hellcase.com/en/profile/16458081/items
[3:38:24] SprixZ_: NÄÄÄH
[3:38:25] DaddyofC: https://hellcase.com/sv/profile/16458081/items
[3:38:25] joem1ke: mod material @SprixZ_
[3:38:26] PikkuMatti: emo
[3:38:29] Rysjoooo: POg
[3:38:31] BRAUTA: emo
[3:38:35] soyreet: hahahahahha @DaddyofC
[3:38:39] Crazy_jesper: Lycka till boys!
[3:38:40] DaddyofC: JAG ÄR SÅ STOLT OCH GLAD @BRAUTA
[3:38:42] SprixZ_: emo
[3:38:42] t00mpa: emo
[3:38:47] BRAUTA: DaddyofC ska ta hem detta för dig nu
[3:38:48] Krickaaan: HeyGuys
[3:38:53] CreativeX: cyrusHEY kör du en till efteråt?
[3:38:53] powahxd: hoppas du vinner AIKSvartGult !!!
[3:38:58] 1bLrrrd: tack elias
[3:38:59] Jocke695: Thunderer
[3:39:04] powahxd: @AIKSvartGult vsg mellemaskin!!
[3:39:07] BRAUTA: powahxd jaha jag då?
[3:39:10] SprixZ_: Heja BRAUTA emo
[3:39:10] 1canoo: vafan har jag missat båda
[3:39:12] 1canoo: ollon
[3:39:13] 1bLrrrd: GL BRAUTA
[3:39:14] UfoDuck: de var när sidan var på svenska som det blev org
[3:39:15] CreativeX: fan missa, jag har aldrig ens varit med på bracket xD
[3:39:18] powahxd: @BRAUTA Äsch då du tatuerar för miljoner  redan...
[3:39:18] snaZEDAzE: BRAUTA jag hejar på dig
[3:39:26] 1bLrrrd: asså
[3:39:31] アレクロール: ja hejar på mellemaskin!
[3:39:35] kallen145: hahahaha otur melle
[3:39:37] powahxd: bättre lycka nästa gång AIKSvartGult
[3:39:39] 1bLrrrd: fattaru
[3:39:44] アレクロール: PepeLaugh
[3:39:47] Lekstunden: @AIKSvartGult hade du varit djurgårdare , rip
[3:39:49] discomanne: diamond
[3:39:55] Noelthebonde: såååå nära
[3:39:55] 1bLrrrd: mods banna Lekstunden
[3:39:58] CreativeX: synd bror @AIKSvartGult
[3:39:59] 1bLrrrd: :)
[3:40:01] kallen145: ökej du har otur va inget @AIKSvartGult
[3:40:11] MalmbA: FrankerZ
[3:40:15] n111111tro: !hellcase
[3:40:15] Nightbot: Kolla in Hellcase erbjudande på min LINKTREE https://linktr.ee/cyrustwo (This is not a transaction link)
[3:40:45] wingard03: prince :)
[3:40:51] discomanne: wöööw
[3:40:52] jagarncsg: !hellcase
[3:40:52] Nightbot: Kolla in Hellcase erbjudande på min LINKTREE https://linktr.ee/cyrustwo (This is not a transaction link)
[3:41:30] wingard03: fuk
[3:41:30] hejhenke12: diamond
[3:41:32] DaddyofC: Jag spänner skinkorna så hårt nu... Heja Brauta. åååhhhh hej
[3:41:36] 1bLrrrd: GL BRAUTA
[3:41:39] UfoDuck: gz @wingard03
[3:41:52] 1bLrrrd: kamma hem dem nu
[3:41:55] BRAUTA: Ha gött
[3:41:59] SprixZ_: LUL
[3:41:59] snaZEDAzE: fakkk
[3:42:03] UfoDuck: ahahha fick hjärnsläpp
[3:42:04] wingard03: @UfoDuck gg
[3:42:06] powahxd: godnatt brauters
[3:42:07] 1bLrrrd: Prayge
[3:42:19] Monsternomis: wtf
[3:42:21] BRAUTA: NOWAYING
[3:42:22] snaZEDAzE: ouuuf
[3:42:27] SprixZ_: NAHH
[3:42:30] hejhenke12: va i
[3:42:33] Neehlmark: kör att du öppnar 2 samtidigt
[3:42:37] 1canoo: spänningen är olidlig
[3:42:40] hejhenke12: knas
[3:42:44] Crazy_jesper: inte en emerald dragon då? :p
[3:42:44] Neehlmark: meSMART
[3:42:46] DaddyofC: Ååååhhh hej
[3:42:57] Krewd92: @Neehlmark tyst lite
[3:42:59] BRAUTA: emo
[3:43:01] 1bLrrrd: mae
[3:43:02] Monsternomis: OMEGALUL
[3:43:03] 1bLrrrd: ahahhahahaha
[3:43:04] snaZEDAzE: NAHH
[3:43:04] PikkuMatti: emo 󠀀
[3:43:05] SprixZ_: emo Sadge
[3:43:06] nikeshortss: emo
[3:43:09] hejhenke12: :D
[3:43:10] Neehlmark: hahahah puss @krewd92
[3:43:10] DaddyofC: Men vafan är det för fel på oss @BRAUTA ?
[3:43:11] Crazy_jesper: emo
[3:43:11] Jocke695: Opulent Treasures
[3:43:16] Noelthebonde: emo
[3:43:43] Crazy_jesper: jag måste fan ha hittat den största troll lådan som finns på hellcase OMEGALUL
[3:43:56] discomanne: helvete
[3:44:03] UfoDuck: mean
[3:44:10] AscaJ: https://hellcase.com/en/profile/12800689/items
[3:44:21] PikkuMatti: finns en där det är 98.7 chans på en grej så den är nog värre xD
[3:44:25] PikkuMatti: @Crazy_jesper
[3:44:34] Crazy_jesper: OMEGALUL PikkuMatti
[3:44:44] PikkuMatti: så gal1!
[3:44:46] hejhenke12: yey
[3:44:57] Jocke695: Grandmaster
[3:45:01] hejhenke12: välj en bra
[3:45:02] Crazy_jesper: Må bäste man vinna!
[3:45:26] hejhenke12: GG!!
[3:45:26] Crazy_jesper: Pog
[3:45:28] snaZEDAzE: jäklar
[3:45:30] Monsternomis: guaah
[3:45:53] hejhenke12: GG!!!
[3:45:55] hornyboro: Clap
[3:45:59] UfoDuck: Clap
[3:46:01] Crazy_jesper: Clap
[3:46:01] Monsternomis: Clap
[3:46:02] nassesist1939: ´gz
[3:46:03] snaZEDAzE: Clap
[3:46:03] Jakobsson69: Clap
[3:46:04] Spaazzm: gz
[3:46:07] SprixZ_: Bra HC dag ändå
[3:46:10] doktordge: Får han inte den för 556 nudå ;)
[3:46:22] アレクロール: deserty hydra nurå
[3:46:22] powahxd: desert hydra inc
[3:46:30] DaddyofC: GL
[3:46:37] Crazy_jesper: den är dyr
[3:47:26] nikeshortss: DLOREN
[3:47:28] Jocke695: ta Ursus rust coat
[3:47:42] memmold: äru delli?
[3:47:49] sparkcykell: gut knife är manligt
[3:47:49] zitred13: same, bra val!
[3:47:55] Krewd92: @memmold käft lite
[3:48:01] Lekstunden: @memmold käft lo
[3:48:03] memmold: eyy tist
[3:48:08] zitred13: @memmold tyst nå
[3:48:08] Jocke695: https://steamcommunity.com/tradeoffer/new/?partner=189168025&token=msBGNa09
[3:48:15] memmold: lakk va sägeru?
[3:48:19] 1cali: OneGuy
[3:48:27] Krewd92: @memmold Gå lägg dig
[3:48:31] hornyboro: @Jocke695 Gz Gz
[3:48:34] memmold: få mig o sva
[3:48:35] memmold: sova
[3:48:39] 1canoo: yes pls
[3:48:41] Gedorlol: W
[3:48:43] Crazy_jesper: gz Jocke695 !
[3:48:44] nassesist1939: ´W
[3:48:44] nordizz98: w
[3:48:45] Jompah: peepoClap
[3:48:45] M0llberg: WWW
[3:48:46] 1canoo: Ws in the chat
[3:48:47] zitred13: Äru delli walla? git där ifrån centrum abri
[3:48:48] jagarncsg: w
[3:48:50] j4nne1: sista
[3:48:50] Jompah: sista
[3:48:50] DeJohansson: sista
[3:48:50] hornyboro: sista
[3:48:51] alphajtl: sista
[3:48:51] HazzzR: sista
[3:48:51] sparkcykeI: sista
[3:48:51] OfficulSicko: sista
[3:48:51] floyaner: sista
[3:48:51] Noelthebonde: W
[3:48:51] Krewd92: sista
[3:48:51] holmstrand0402: sista
[3:48:51] bollecolle2002: sista
[3:48:51] Loofan1: sista
[3:48:51] willee_12: sista
[3:48:51] hehejesper: sista
[3:48:52] Gedorlol: sista
[3:48:52] 1bLrrrd: sista
[3:48:52] enderne_: sista
[3:48:52] SprixZ_: sista
[3:48:52] PikkuMatti: sista
[3:48:52] kosken98: sista
[3:48:52] elefantenrl: sista
[3:48:52] Maostro1: sista
[3:48:52] アレクロール: sista
[3:48:52] CreativeX: fan man vinner aldrig detta, iaf komma in i bracket Sadge
[3:48:52] strassee_: sista
[3:48:52] eyland_gaming: sista
[3:48:52] Waunderbaums: sista
[3:48:52] cdy995: sista
[3:48:52] joppe30: sista
[3:48:53] xxdogenxx: sista
[3:48:53] Neehlmark: sista
[3:48:53] M0llberg: sista
[3:48:53] p000wr: sista
[3:48:53] Tulpanbigplays: sista
[3:48:53] nr1broski: sista
[3:48:53] Spaazzm: sista
[3:48:53] KarragerCSGO: sista
[3:48:53] Luddexdxd_: sista
[3:48:53] kruk4n_: sista
[3:48:53] daphwww: sista
[3:48:53] xwithout: sista
[3:48:53] Aabroraa: sista
[3:48:53] Heelias: sista
[3:48:53] abidabi99: sista
[3:48:57] BRAUTA: sista
[3:48:57] AKI506: Sista
[3:48:57] awadeus: sista
[3:48:57] Froxsheh: sista
[3:48:57] Lanchaan: sista
[3:48:57] J3ttRixX: sista
[3:48:57] jaggillarrumpa: sista
[3:48:58] BastantOrgan: sista
[3:48:58] zideztep: sista
[3:48:58] alpeenbaby: sista
[3:48:58] EliassiNate: sista
[3:48:58] Adambree: sista
[3:48:58] sebbeswe99: sista
[3:48:58] flinton: sista
[3:48:59] nr1broski: ysista
[3:48:59] soyreet: sista
[3:48:59] joem1ke: sista
[3:48:59] buttmann1: sista
[3:48:59] blinx593: sista
[3:48:59] joxencs: sista
[3:48:59] 1limpy: sista
[3:48:59] BenjaminQ7: sista
[3:48:59] koboolt: sista
[3:48:59] lurizzochmattsson34cm: sista
[3:49:00] lajnagod: sista
[3:49:00] soderberggg: sista
[3:49:00] snaZEDAzE: sista
[3:49:00] Wigii0: sista
[3:49:00] lucaskraft2004: sista
[3:49:00] Lusaccc: sista
[3:49:01] AKI506: sista
[3:49:01] Bitzin: sista
[3:49:01] JoppaV2: sista
[3:49:01] fippexd: sista
[3:49:01] pelle000: sista
[3:49:01] nr1broski: ä
[3:49:01] DaddyofC: sista
[3:49:01] fnyyy: sista
[3:49:01] EMIL434_: sista
[3:49:01] brusse15: sista
[3:49:02] kankiiiii: sista
[3:49:02] jabadabado: Jag gick in och kika på vavadas trustpilot, mycket 1 stjärnor på svenska LUL Kan ni ha något att göra med det efter ni trodde Noorpi blev scammad? @CyrusTWO
[3:49:02] hejHopp: sista
[3:49:02] nr1broski: sista
[3:49:02] discomanne: sista
[3:49:02] calvadoz2: sista
[3:49:02] rrezoh: sista
[3:49:02] pakkebaby: sista
[3:49:02] patric0202: sista
[3:49:02] Edvinkarlssson: sista
[3:49:02] getingen98: sista
[3:49:02] Memorex1989: sista
[3:49:02] BillyBoll: sista
[3:49:02] berggrenn: sista
[3:49:02] weccko: sista
[3:49:03] siyarkadro: sista
[3:49:03] sparkcykell: sista
[3:49:03] 3k4n: sista
[3:49:03] iqminusss: sista
[3:49:04] Rysjoooo: sista
[3:49:04] sweenie69: sista
[3:49:04] aicero: sista
[3:49:04] SuperFishN: sista
[3:49:04] 0lucron5: sista
[3:49:04] zitred13: @memmold får ej va med
[3:49:04] nuyye: sista
[3:49:05] jabadabado: sista
[3:49:05] jakkeman: sista
[3:49:05] marttin5: sista
[3:49:05] lXltasy: sista
[3:49:06] Pontus_8: sista
[3:49:06] Jakobsson69: sista
[3:49:06] Auftty: sista
[3:49:06] Creeeex: sista
[3:49:06] ante2023: sista
[3:49:07] Huhtala: sista
[3:49:08] olwarkush: sista
[3:49:08] willebaby: sista
[3:49:09] E_nzo: sista
[3:49:09] bulken0: sista
[3:49:09] mrsmiskk_: sist
[3:49:09] cheeeeeese44: sista
[3:49:09] praskatvs: sista
[3:49:09] elchefo1337: sista
[3:49:09] alpeenbaby: sista 󠀀
[3:49:10] philip_000: sista
[3:49:10] jockansson: sista
[3:49:11] Doodaa: sista
[3:49:11] nl023: sista
[3:49:11] nzty11: sista
[3:49:11] kruk4n_: s
[3:49:11] mrsmiskk_: sista
[3:49:11] TobiasJ1: sista
[3:49:12] gpunktshund: sista
[3:49:12] kruk4n_: sista
