[0:00:32] kakitama8810: こんちわー
[1:46:33] ロジーー: 第一条 ロボットは人間に危害を加えてはならない。また、その危険を看過することによって、人間に危害を及ぼしてはならない。 第二条 ロボットは人間にあたえられた命令に服従しなければならない。ただし、あたえられた命令が、第一条に反する場合は、この限りでない。 第三条 ロボットは、前掲第一条および第二条に反するおそれのないかぎり、自己をまもらなければならない。 — 2058年の「ロボット工学ハンドブック」第56版、『われはロボット』より[1]
[1:46:33] はにかむ王子: アシモフだね
[1:46:36] あずさんです: チップ抜かれちゃったからな……（適当）
[1:46:39] katawaraitai: ケインオーは戦闘用だからな
[1:48:05] nonono090: ロボットRPめっちゃ詰められるw
[1:48:45] ロジーー: ｗｗｗｗ
[1:48:52] ロジーー: ロボットネタおもろいな
[1:48:58] ふぁいぴ: ｗｗｗ
[1:49:18] nonono090: w
[1:49:24] ロジーー: 凄い顔してるなｗｗｗｗ
[1:49:26] ふぁいぴ: 素顔いかついなｗ
[1:49:33] よくすい: わ
[1:49:33] ロジーー: ケイン笑かしにきてるなｗｗｗｗ
[1:49:37] mekemeke33: 顔すごいな
[1:49:43] nonono090: やっぱぶっ飛んでんな
[1:49:57] ロジーー: 絶対ねらってる
[1:49:59] マナさん: 一旦レッサンはケインオーキラーか
[1:50:15] skiaik: ヘリは計算でできないのか
[1:50:43] ロジーー: 哀 愛間違える・・・
[1:50:46] マナさん: 昨日餡ブレラに改造されかけたこと話したら騒ぎになりそうだな
[1:50:52] 草槍: バレンタイン時収まらない怒りを持ってたよね
[1:51:28] ロジーー: ｗｗｗｗ
[1:52:13] moto_vy: ロボハラおもろすぎるｗ
[1:52:15] あずさんです: どちらかと言うと機械学習の報酬を与えられて喜ぶようなタイプの楽なのかな…ww
[1:52:16] マナさん: https://clips.twitch.tv/VibrantAverageFalconPicoMause-rnShUKxLot8zTfKT
[1:52:21] はっこ310: 気合いかぁ
[1:52:32] ロジーー: ｗｗｗ
[1:52:34] nonono090: お
[1:52:38] ぺりかんべん: お
[1:52:47] ふぁいぴ: 言うんか
[1:53:09] ロジーー: 仮面ライダーｗ
[1:53:17] nonono090: ギャングドットコムexe
[1:53:33] キーア: www
[1:53:35] ラシ: 逃げたｗ
[1:53:40] skiaik: ボイラさん感がするどいw
[1:53:45] はっこ310: www
[1:53:50] katawaraitai: なんかストーリー進んでる？
[1:53:51] ふぁいぴ: ｗｗｗ
[1:53:52] マナさん: おっとっと
[1:53:59] ロジーー: グレ投げすぎて・・・(´;ω;｀)
[1:54:14] よくすい: おっとと
[1:54:14] マナさん: 今のところね
[1:54:33] マナさん: ドリーさんめっちゃ鼻声だな
[1:54:46] ロジーー: 花粉にやられてるか
[1:55:03] マナさん: あ
[1:55:04] skiaik: まっずいww
[1:55:09] aglerld: あ
[1:55:12] swift_horse: あ
[1:55:25] マナさん: ｗｗｗｗｗｗ
[1:55:32] swift_horse: 7000×8…
[1:55:44] latch18: オルカ何も言わないのか？
[1:55:54] funibo: そういうことか…
[1:56:08] マナさん: https://clips.twitch.tv/DeterminedSuperPartridgeRalpherZ-NRadZxXF6DynbwZR
[1:56:10] lutes00: キモせんかｗ
[1:56:14] ぺりかんべん: wwwww
[1:56:16] リョウサイ: きもせん？
[1:56:24] oooodaaaoo: www
[1:56:31] skiaik: きもせんやってんなw
[1:56:43] ロジーー: ｗｗｗｗ
[1:56:50] キーア: www
[1:56:53] ふぁいぴ: ｗｗｗ
[1:56:55] ラシ: 隣でｗｗ
[1:58:02] よくすい: え？
[1:58:05] skiaik: やってんなww
[1:58:13] リョウサイ: 6億ぐらいつかった？
[1:58:24] ふぁいぴ: こーれやってます
[1:58:24] funibo: すぐバレたｗ
[1:58:37] lutes00: まぁ個人的なものなわけじゃないし・・・ボーナス出しセーフ！
[1:58:42] リョウサイ: ミンドリー知ったらまずい
[1:59:29] マナさん: 声に覇気が…
[1:59:45] gyudonman: wwww
[2:00:35] ふぁいぴ: かわいいなｗ
[2:00:47] マナさん: 兄弟！？
[2:01:17] Nightbot: Twitter:https://twitter.com/R6S_guilty
[2:02:41] letsgo_donki: ないすぅ
[2:02:44] キーア: まいす
[2:02:45] funibo: ないすー
[2:02:45] ふぁいぴ: ないすう
[2:02:52] skiaik: ないすぅ
[2:03:01] マナさん: 確かに優しさは感じた
[2:03:06] はむはむ_: よく撃ち勝てたねぇ・・・
[2:04:43] よくすい: 熱烈。
[2:05:30] ふぁいぴ: なんかほのぼのだなーｗ
[2:06:38] funibo: リセットされてなかったのか？ｗ
[2:07:01] skiaik: オールインに入ったら強すぎかw
[2:08:42] マナさん: え？
[2:08:49] ぺりかんべん: ん？
[2:08:49] よくすい: ん？
[2:09:24] araiguma00000: 全部から勧誘きそう
[2:09:33] lutes00: 正直ギャング今どこも強いからなぁ
[2:09:33] ふぁいぴ: 引っ張りだこやん
[2:10:39] funibo: ギャング引く手あまたすぎて、スカウト料頂けそう
[2:11:53] swift_horse: 柵かったwww
[2:14:17] funibo: 何もしないで去った？
[2:16:30] マナさん: ロシアならあさってた
[2:16:35] ayame_oxo: 心なきファームww
[2:17:01] リョウサイ: こころなき？
[2:18:26] araiguma00000: アシットのファーム場所わかっちゃう？？
[2:21:35] swift_horse: wwww
[2:21:35] はっこ310: www
[2:23:27] はっこ310: BMC誰もいないのか
[2:23:57] alt1670: そういえば電話折り返したっけ
[2:24:32] はっこ310: ？？？「もしもしだえ～」
[2:24:36] maru3d: 溶けてるなぁ～
[2:24:39] araiguma00000: 定期チャル
[2:24:40] ロジーー: とろけーる
[2:24:41] alt1670: 第二のチャルロスの可能性…
[2:30:07] swift_horse: 客船きてたー
[2:31:30] megaflame35: おぅ
[2:31:33] funibo: 鉛玉の雨だぁ
[2:31:39] udon202: 悲しみ…
[2:31:39] ぺりかんべん: ふぁーーーーーーーー
[2:31:40] lutes00: ここ届くかぁ
[2:31:55] swift_horse: 最初めっちゃ避けれたのに
[2:32:45] はっこ310: イサセーン；；
[2:36:13] はっこ310: なんだ？
[2:36:42] ぺりかんべん: まずい
[2:37:10] woz_nightdreamer: 昨日の……
[2:42:18] はっこ310: ボイラさんが松葉取れたら行くって言ってたな
[2:43:06] ふぁいぴ: ｗ
[2:43:16] 草槍: 圧つよ
[2:43:19] funibo: そろそろケインオーからの電話少し怖くなってそうｗ
[2:43:31] はっこ310: まだ仕入れてなかったかｗ
[2:44:33] skiaik: レダーのところもいつか勧誘されそうw
[2:45:29] マナさん: レダーさんとこの勧誘、毎日レモネード飲めるぞ
[2:45:35] マナさん: って勧誘されそう
[2:46:31] lulusyu: うまーい！
[2:46:31] マナさん: ナイスジャンプ
[2:46:33] funibo: おみごと
[2:46:36] skiaik: うまい！
[2:46:38] よくすい: ないす！
[2:46:38] ふぁいぴ: いい感じ
[2:46:40] ryutaro02100107: 上手い！
[2:46:58] はっこ310: 気持ちよいジャンプ
[2:47:43] nanafusisan: 逃走用のルートの練習？
[2:48:01] 褒めらにあん: ノリアキジャンプ難しい
[2:48:02] はっこ310: 0点0点0点
[2:48:38] skiaik: ノリアキさんほんと上手よね
[2:48:51] マナさん: ニトロ吹かしたら出れそう
[2:48:58] torikaziaki: リアクションはノリノリではなかった件ｗ
[2:50:54] マナさん: え？
[2:51:09] はっこ310: あれ？ｗ
[2:51:09] ふぁいぴ: ｗ
[2:51:18] nanafusisan: え
[2:51:24] はっこ310: え
[2:51:51] ふぁいぴ: 治安悪ぅ
[2:53:20] はっこ310: あぶねぇｗ
[2:56:31] はっこ310: 今日メカニック全然おらんな
[2:56:48] alt1670: メカニック出勤してないのに直せるのか
[2:58:05] はっこ310: 角刈り罪ｗ
[2:58:26] よくすい: やっば
[2:58:26] goigo2go3: あ
[2:58:48] よくすい: びっくりしたぁ……
[3:01:06] Nightbot: Twitter:https://twitter.com/R6S_guilty
[3:05:36] funibo: コーチング来ちゃぁ
[3:05:38] ふぁいぴ: いいねえ
[3:06:19] aglerld: あ
[3:06:20] マナさん: あ
[3:06:23] キーア: あ
[3:06:23] ふぁいぴ: あ
[3:06:23] haru_shati: あ
[3:06:26] aglerld: ギクゥ
[3:06:27] ぺりかんべん: あ
[3:06:27] seiha0422: あ
[3:06:53] aglerld: これは、正直に・・・・ｗ
[3:07:17] ふぁいぴ: ｗ
[3:07:20] skiaik: w
[3:07:24] aglerld: こわ
[3:07:24] funibo: おっと・・・
[3:07:31] マナさん: ついに！
[3:07:32] skiaik: バレたらやばいか？
[3:07:39] ふぁいぴ: ホットドック屋さん!
[3:07:45] キーア: おお
[3:07:46] しののめかなた: あとからバレたらヤバそうw
[3:07:50] ぺりかんべん: 良いタイミングやw
[3:07:55] ふぁいぴ: ドカ買い
[3:08:01] funibo: もう業者ではある
[3:08:12] ぺりかんべん: レモネード大好きやん
[3:08:17] キーア: もしかしてケインオー飲むスピード早い？
[3:08:40] ロジーー: ケイン燃費悪い説
[3:09:56] よくすい: のろけだ
[3:09:58] キーア: ちゅ、うに
[3:10:22] ロジーー: いじゅほうたい
[3:10:47] alt1670: 邪王炎殺…
[3:11:08] ロジーー: あの人ちゅうにだったんだな
[3:11:22] ロジーー: ｗ
[3:11:31] lutes00: 今倒れてたぞｗ通知ｗ
[3:11:34] マナさん: 探り入れられてますよって
[3:11:53] aglerld: ｗｗｗ
[3:12:02] はっこ310: きっとオルカが上手い事言ってくれると信じて
[3:12:42] oshuski: 上官からの他言無用の命令は遵守してますよっと
[3:14:31] ロジーー: 無線静かだな
[3:15:11] ふぁいぴ: あｗ
[3:15:24] aglerld: すっごいすべるｗｗ
[3:15:25] ロジーー: 良い感じにすべってるな
[3:15:28] はっこ310: 滑って行ったｗ
[3:15:36] マナさん: あ
[3:15:38] From774: あ
[3:15:39] キーア: あ
[3:15:48] funibo: これは油断したｗ
[3:16:01] ロジーー: まあしゃあないね
[3:16:06] よくすい: あらら
[3:16:07] aglerld: それどころじゃなかった
[3:16:08] マリアローズ: ぴえん
[3:16:14] 褒めらにあん: まあこれはタイマンで怠慢・・・
[3:16:16] abyss209: 待ってあげようとする優しが逆に
[3:16:38] ふぁいぴ: 難しいとこよね
[3:16:52] aimnutro: 優しさが仇になってしまった;;
[3:16:54] misstap_: アタ禁で撃たれるの構えられん
[3:16:57] ロジーー: 横転したときに銃撃ってくるのはダメな気がするけどなぁ
[3:17:07] aglerld: ある意味大型対応中でしたから
[3:17:14] マナさん: 優しさ.exe アンインストールするか
[3:17:17] よくすい: 警察みんな、そうなる………
[3:17:21] pepper8383: 完全にロボットになるか
[3:17:23] はっこ310: 殺意の波動に目覚めたケインオー
[3:17:24] lutes00: テーザーはダメージないしね
[3:17:32] マリアローズ: 人質解放条件に意味がなくなっちゃうから難しい
[3:17:41] oshuski: アタック禁止時間内は難しいですね
[3:17:48] ぺりかんべん: 性悪説で動くしかないか。
[3:17:48] yurakutei: ごめんて言いながら撃ってくるやつがあるか(いた)
[3:18:00] lutes00: テーザーはアタックじゃないからね
[3:18:06] ふぁいぴ: 報連相大事
[3:18:06] aimnutro: こっちは待ってる訳だからなぁ
[3:18:14] ロジーー: 微妙よね
[3:18:15] キーア: 時間内だったしなぁ
[3:18:17] マリアローズ: 例えば解放後に犯人にアタック以外何やってもいいのかとはなる
[3:18:26] hiiro_9013tw: たしかに、アタック禁止の時にテーザー打っていいのか微妙ですね
[3:18:28] ロジーー: 普通に降りて撃ってる状況ならな
[3:18:33] よくすい: 上官に聞くのがよいか
[3:18:42] よくすい: これも、物語。
[3:18:52] マリアローズ: 勉強になるいい例ではある
[3:19:01] さくみん: 横転したら逮捕する警官もいるかもですね
[3:19:11] abyss209: タイマンだと降りて撃ってきてからだともう遅いしなぁ
[3:19:12] katawaraitai: 問題になるパターンやね
[3:20:24] マリアローズ: 手を上げて近づいて油断誘って手錠逃げもあり得るだろうし本当に難しい
[3:20:55] ロジーー: そもそも1月スタートだしな
[3:21:20] ロジーー: 瞑想
[3:21:23] ロジーー: あぶねぇ
[3:21:32] yurakutei: 耐えた
[3:21:33] ふぁいぴ: こわ
[3:21:37] マナさん: また世界からはじかれるところだった
[3:22:24] alt1670: 上官に相談だ
[3:22:28] よくすい: タバコになる代わりのものあるかな………
[3:23:10] 美々威: タバコ屋は最近できた店だから他に何かあるはず…
[3:23:19] aimnutro: ロボットが使えそうなリラックスグッズあるんかな
[3:25:58] ロジーー: 車でのアタックはダメ？
[3:26:03] aimnutro: 人によるはマジでそう
[3:26:10] aglerld: 前例が出来たから、っていうことかぁ
[3:26:12] マリアローズ: 前例があるってなるか
[3:26:19] マナさん: こういう時のボイラさん頼りになるな
[3:26:21] キーア: なるほど
[3:26:29] 美々威: 流石、ボイラさん
[3:26:32] aglerld: 色々あるんだね
[3:26:33] katawaraitai: そうするしかないよな
[3:27:00] ToppingPP: アタックはあくまで車での車へのアタックであって、それ以外はOKって認識の人が多いかと
[3:27:07] ふぁいぴ: ボイラさんは線引しっかりするタイプよね
[3:27:07] マリアローズ: JTS停止で苦しんだ仲故頼れる
[3:27:28] lutes00: 鎮圧弾としての役割だからねテーザー
[3:27:33] ロジーー: 撃たれたらテーザーじゃななく銃じゃない？
[3:27:59] bergkamp166: 構えたら撃つはアリよなー
[3:28:48] yurakutei: あーそれも手か
[3:29:08] さくみん: さすドリ
[3:29:17] 美々威: 上官は頼りになる
[3:29:19] misstap_: 上官は頼もしい
[3:29:24] lutes00: まぁ横転したのは犯人のミスだしな
[3:29:25] ロジーー: 先に言った方はありだな
[3:29:27] aimnutro: 上官は色々経験してるだろうからタメになるな
[3:29:33] ふぁいぴ: １ｖ１なら先に警告とかか
[3:29:33] キーア: あー
[3:29:37] はっこ310: なるほど
[3:29:48] 美々威: そっか
[3:29:48] lutes00: さすが言論のドリー
[3:30:54] マナさん: 解釈によっては、ってことか
[3:31:00] Nightbot: Twitter:https://twitter.com/R6S_guilty
[3:31:15] oshuski: 新人教育の時に指導があってもいい内容ですね
[3:31:24] bergkamp166: 犯人が謝ったんだからダメなのわかってやってるよね
[3:31:29] ロジーー: これをしっかり制限しようとするとルールが厳しくなってしまうんだろうなぁ
[3:31:38] aimnutro: 警察は口プが最強か
[3:31:50] katawaraitai: これで論破できるな
[3:32:39] ロジーー: 真面目にやりだすとホント仕事だｗ
[3:32:59] lutes00: 口プでドリーさんに勝てんｗ
[3:33:06] funibo: ガチの法律の解釈のやつ
[3:33:43] maru3d: 道路交通法と無免許はセットってことか
[3:34:00] goigo2go3: 車両取り扱い法みたいな感じの名前が合ってんのかも
[3:34:06] ふぁいぴ: なるほどなあ
[3:34:16] ラシ: 確かになー
[3:34:29] ロジーー: 本来そうだなぁ
[3:34:46] aimnutro: 法律おもろいな
[3:34:55] マナさん: 難しいけどおもろいな
[3:36:20] ロジーー: そもそもヘリアタックしてるもんなぁ
[3:36:21] ロジーー: あ
[3:36:24] ロジーー: タバコ！！！！
[3:36:25] aimnutro: 川上タバコ店！？
[3:36:25] oshuski: おお
[3:36:30] マナさん: 圧すごいｗｗｗ
[3:36:32] maru3d: タバコ屋ー！
[3:36:53] ロジーー: ｗｗｗｗｗ
[3:36:55] キーア: www
[3:36:59] funibo: タバコの移動販売とは新しいな…
[3:37:06] ロジーー: 狙ったかののようにｗ
[3:37:14] katawaraitai: そっちの移動？
[3:37:16] ロジーー: きゃっちｗｗｗｗｗ
[3:37:16] maru3d: 新しいなww
[3:37:16] キーア: しかも二人乗りなんよｗ
[3:37:16] マナさん: 誘拐拉致監禁！？
[3:37:21] rakugaki00: ｗ
[3:37:24] ラシ: 移動販売じゃなくてつれてくんかｗｗｗ
[3:37:29] ふぁいぴ: そうはならんやろｗ
[3:37:31] ロジーー: に、逃げ道ないｗｗｗｗ
[3:37:33] ぺりかんべん: 新しい形やなw
[3:37:47] yurakutei: 新しい形態やな！！！
[3:37:49] torikaziaki: 誘拐罪だｗｗｗ
[3:37:56] bergkamp166: 新しいなー
[3:38:01] よくすい: しんどい
[3:38:16] ロジーー: どこかで見たことある髪色と声だなぁ
[3:38:36] マナさん: 誘拐拉致監禁販売ｗ
[3:38:53] よくすい: ん？
[3:39:11] maru3d: 連れていかれる系移動販売は新しい
[3:39:35] ryoichi_m: 川上さんとんでもない人雇ってるなw
[3:39:37] マナさん: 帰りの足はないんだよねｗ
[3:39:45] ロジーー: 川上さんやるなぁ
[3:40:18] yurakutei: 学習の結果ツッコミが洗練されていってる
[3:40:46] ri_nemuri: 接客すごいよなあ顧客の煙草も覚えてたりしてたし
[3:41:07] ロジーー: ｗｗｗ
[3:41:08] マナさん: 家族を人質に！？
[3:41:13] ロジーー: 3人ｗｗｗ
[3:41:20] ロジーー: 良いネタ準備するなぁ
[3:41:21] maru3d: 家族を人質とは悪いやつだ
[3:41:39] yurakutei: 親御さんに付いてきてもらってるのか…
[3:41:42] aimnutro: 家族を人質にするメンタル
[3:42:18] ロジーー: それで3人か
[3:43:03] はっこ310: www
[3:43:08] yurakutei: 動じないの草
[3:44:48] yurakutei: あちー
[3:46:04] yurakutei: ぐえー
[3:46:06] ふぁいぴ: ぎゃー
[3:46:12] ロジーー: これはしゃあないよね
[3:47:23] 褒めらにあん: 惜しかったけどさっきの対策生きてたnt
[3:47:26] ロジーー: 3分置いても開放してないなｗ
[3:47:35] yurakutei: NT
[3:47:36] bergkamp166: 出血させたかったな
[3:47:54] マナさん: ましろ先生ありがとう～
[3:48:11] ロジーー: ｗｗｗｗ
[3:48:16] ふぁいぴ: ｗｗｗ
[3:48:21] マナさん: ドリーさん角刈りｗｗｗ
[3:48:25] maru3d: 角刈りミンドリー！？
[3:48:38] yurakutei: 動揺がすごい
[3:49:11] aimnutro: カツラ角刈りなのか地毛角刈りなのか
[3:49:18] ロジーー: 相手も焦っただろうけど手早かったなぁ
[3:49:32] yurakutei: ユニオンまでついていけた時点ですごい
[3:49:38] ふともも3: ロボハラ
[3:49:39] ロジーー: ｗｗｗｗｗｗｗ
[3:49:40] ふぁいぴ: 入れ知恵ｗ
[3:50:01] ロジーー: おもろいことしてるなぁ
[3:50:29] ロジーー: しばらくロボハラＱＡ対策しないとだなｗ
[3:50:56] マナさん: 銃取り出し遅かったなぁ
[3:52:05] ロジーー: 相手が動けない、出てくるの判断は大変そうだ
[3:52:32] yurakutei: イベント前にドンパチしたい勢多いか
[3:52:53] aimnutro: 今後は犯人の車が止まったら警戒しなきゃだな
[3:53:05] ロジーー: イベントが大仕事
[3:53:20] マナさん: レッサンが
[3:53:44] bergkamp166: あらら
[3:53:49] よくすい: ああ………
[3:54:03] aimnutro: 警察狩りだぁ…
[3:58:22] yurakutei: 香ばしい
[3:58:43] 美々威: あれかな？警察人数少ないから強盗で撃ち合いたいのかな？
[3:58:49] ぺりかんべん: ん？
[3:59:37] yurakutei: ドライブチル
[3:59:55] maru3d: チルいbgmが
[4:00:22] yurakutei: やったー！
[4:01:02] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:02:15] マナさん: これだけ走り回ってたら街にも詳しくなるわねｗ
[4:03:00] aglerld: 10億円！
[4:03:30] yurakutei: ドリフトきもちE
[4:04:40] マナさん: おしいいいいいいい
[4:04:43] From774: 惜しいwwwwww
[4:04:43] キーア: おｓｓｓｓっし
[4:04:43] funibo: くそおおおおおおお
[4:04:44] ゴマゴ: おしーい！
[4:05:13] aglerld: やってますわー
[4:05:28] yurakutei: いったんカチこむか
[4:05:40] oshuski: 仇討ちだー
[4:06:17] yurakutei: AI
[4:06:36] yurakutei: が暴走してカジノヘイスト起こしたってもいい
[4:06:40] mikasa4696: こん
[4:08:17] yurakutei: 告発ツイ
[4:09:11] abyss209: 反応が新鮮でいいな
[4:13:58] マナさん: 二度あることは三度あるって言うし、発砲注意やね
[4:14:35] fukutoto: ん？
[4:15:15] fukutoto: よく会うなw
[4:18:16] マナさん: ｗｗｗ
[4:19:02] くうきおう: 距離足りなかったかw
[4:19:07] ロジーー: ﾔﾀﾞｧがかわいいｗ
[4:19:19] funibo: かわいそうかわいい
[4:20:00] よくすい: あら
[4:20:06] はっこ310: ナイス手錠
[4:20:14] よくすい: 色々あったのよ
[4:20:16] ロジーー: 上手かったけどなぁ
[4:20:17] fukutoto: ナイス
[4:20:17] orangepanda930: ないすすぎ
[4:20:17] abyss209: 犯罪者なのに被害者感出してくるんだよなぁw
[4:20:19] マナさん: ナイス手錠
[4:20:24] ふぁいぴ: ないすう
[4:20:45] ゴマゴ: ナイス！
[4:20:48] くうきおう: 後ろ見事にとられててワロタ
[4:21:34] ロジーー: 嬉しそうに押収するなぁ
[4:22:00] マナさん: https://clips.twitch.tv/BlitheDreamyYamWutFace-i34VctVHRQU7rMkZ
[4:22:28] ふぁいぴ: 優しいな
[4:22:36] yurakutei: いいひとだ
[4:22:39] ロジーー: ｗｗｗｗｗ
[4:22:43] よくすい: w
[4:23:12] yurakutei: ナイス確保
[4:23:13] ロジーー: 今日頑張ってた気がする
[4:23:15] くうきおう: このロボちょろいな
[4:23:35] マナさん: ヘリを求められている
[4:23:37] 火継: 罰金増えるの自己申告は優しい
[4:23:44] ロジーー: さ、ヘリの練習だ
[4:23:48] yurakutei: いってみるか
[4:24:17] ロジーー: 神経使いそうだろうけどガンバレ
[4:24:23] ぺりかんべん: 頑張って！
[4:25:01] マナさん: 普段ヘリ乗ってる人に筋肉配置聞いてもいいかもね
[4:25:12] ロジーー: この上下するのはAPEXの落下と同じような考えか・・・
[4:27:36] ロジーー: 悲しみのヘリ
[4:27:39] yurakutei: (´；ω；`)
[4:28:05] キーア: 応援頼むか
[4:28:36] ロジーー: これは諦めか？
[4:29:52] ぽろん__: よかった
[4:30:19] ふぁいぴ: 同期揃ってんね
[4:30:26] キーア: かわいいｗ
[4:30:53] fukutoto: 間に合うのか？
[4:31:07] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:31:09] funibo: 割と最悪な条件
[4:31:38] マナさん: 内心ヘリ禁止のほうがよかったって思ってそう
[4:32:04] yurakutei: いいかんじ
[4:33:50] fukutoto: サーマルで見るか？
[4:34:07] マナさん: いないか
[4:34:11] キーア: いないね
[4:34:12] yurakutei: ぐぬぬ
[4:34:59] yurakutei: 消えた？
[4:35:25] yurakutei: 区sあ
[4:35:27] yurakutei: 草
[4:35:30] ふぁいぴ: ヘリだけはな
[4:35:37] ゴマゴ: ヘリだけはねー
[4:35:40] キーア: サーマル瞬時にみるようにってのもムズイなぁ
[4:35:51] キーア: とけとけ
[4:35:56] abyss209: とろっとろです
[4:36:01] fukutoto: 手錠してもらうか？
[4:36:05] ぺりかんべん: とろけるー
[4:36:46] キーア: 瞑想か
[4:36:59] fukutoto: wwwww
[4:37:08] ふぁいぴ: ｗｗｗ
[4:37:19] yurakutei: 新機能実装きたか
[4:37:30] abyss209: 透視能力もあります
[4:37:44] fukutoto: 建物を抑制w
[4:38:09] yurakutei: あああ
[4:38:10] キーア: あああ
[4:38:11] ふぁいぴ: はい～
[4:38:12] ぺりかんべん: うああああああ
[4:38:13] fukutoto: あー
[4:38:23] ロジーー: そろそろだと思ってました
[4:38:35] yurakutei: 現場でごちゃってるタイミングじゃなくて良かったか…
[4:38:37] fuwayuuuui: 歪んでましたもんね…
[4:38:40] よくすい: 今でよかった
[4:38:57] yurakutei: わーす
[4:39:05] キーア: まぁ瞑想行く手間省けたし
[4:40:32] よくすい: あら
[4:41:01] よくすい: こわっ
[4:42:27] キーア: そんな即時反映なのかｗ
[4:42:32] マナさん: 流行に敏感すぎるだろｗ
[4:49:51] fukutoto: 発砲はドアないからきついな
[4:52:55] ふぁいぴ: 相打ちか
[4:52:57] よくすい: …お
[4:52:57] マナさん: ナイス相打ち
[4:53:00] キーア: naisu
[4:53:06] よくすい: あいうち
[4:53:08] funibo: 相打ち珍しいな
[4:53:22] ロジーー: 相打ちなら
[4:53:26] ロジーー: OKだろ
[4:53:27] ラシ: ナイス相打ちではある
[4:53:29] よくすい: だれだ
[4:53:33] ふぁいぴ: まあまあ
[4:53:34] mikasa4696: 相討ちならよき
[4:53:39] よくすい: ウェスカー？
[4:53:47] ロジーー: 先にひかれたのに
[4:53:47] マナさん: アーマー全損させられて相打ちだから全然ワース
[4:53:50] natsumikan1019: SMG相手に相打ち強い
[4:53:52] ユミさん: bosuyane
[4:53:55] ぺりかんべん: よくがんばったよ！
[4:53:59] よくすい: 相打ちナイスじゃない？
[4:54:27] ロジーー: 早かったなぁ
[4:54:39] マナさん: ノアさん優しいな
[4:54:48] ロジーー: ボス助けに来たんでしょこれ
[4:54:58] ふぁいぴ: BibleThump
[4:55:01] ラシ: ｗｗｗｗ
[4:55:04] キーア: うわあああああ
[4:55:21] マナさん: え？
[4:55:22] ふぁいぴ: え
[4:55:25] キーア: え
[4:55:37] ロジーー: ボスどうなったかな
[4:55:41] fukutoto: ももみパイセン...
[4:55:42] よくすい: あら
[4:56:35] ロジーー: おもろい展開だったなぁ
[4:58:32] マナさん: メキさん優しい
[4:58:51] キーア: アルフォートさん呼びしてる人珍しい
[4:59:24] fukutoto: お菓子呼びする人いたよなw
[4:59:38] ロジーー: ウェスカーさんともやり合う回数多いな
[5:00:53] ロジーー: でも今の相打ちできたのは大きい
[5:01:03] Nightbot: Twitter:https://twitter.com/R6S_guilty
[5:01:28] ロジーー: 嫌な5分よなぁ
[5:01:37] マナさん: めっちゃdogsのステッカー貼ってんね
[5:02:15] ロジーー: アドレナリン出てんな
[5:07:10] マナさん: ロングチェイスだ
[5:07:22] nonono090: 運転うまいなあ
[5:08:09] nonono090: 警察えぐいなあw
[5:08:13] はっこ310: 凄い事になってるｗ
[5:08:20] ロジーー: 地上もくるか
[5:09:38] keigo99999: ロケランｗ
[5:09:41] ぺりかんべん: すげー
[5:12:51] ロジーー: 綺麗に運転するなぁ
[5:14:16] ロジーー: 凄いドライブだな
[5:15:46] ロジーー: 回収しなきゃだし
[5:15:54] ロジーー: 誰かもうしてるかな
[5:16:41] ロジーー: あぶねぇ
[5:18:06] abyss209: そういえばさっきのウェスカーさん護送出来たのかな？
[5:19:36] ロジーー: おしいなぁ
[5:21:48] ぺりかんべん: 気をつけて
[5:24:18] fukutoto: なら泳がないと個人医こない？
[5:25:21] ロジーー: 何人やったか気になる
[5:25:34] ぺりかんべん: ナイスだったね！
[5:25:35] キーア: www
[5:34:04] sbtn80: アーマーが
[5:34:18] よくすい: コワイヨー
[5:34:42] ぺりかんべん: 本署コワイー
[5:35:08] ロジーー: 大忙しだ
[5:36:20] ロジーー: 嵐のような忙しさ
[5:39:05] funibo: ないす！
[5:39:10] fuugaaaa: ナイスー！！
[5:39:14] maru3d: ナイスー
[5:39:17] キーア: なーいす！
[5:39:49] ふぁいぴ: ないすう
[5:40:47] ぺりかんべん: ないす！
[5:42:57] よくすい: w
[5:44:06] nonono090: ももみ！
[5:45:25] ロジーー: なるほどなぁ
[5:45:35] ぼさつもんじゅ: ww
[5:45:39] キーア: www
[5:45:40] ロジーー: エロ警官
[5:45:42] ふぁいぴ: ｗ
[5:45:45] ロジーー: ｗｗｗｗ
[5:46:03] fuwayuuuui: いらん知識をインストールさせようとw
[5:47:37] ロジーー: ロケランほしいよなぁ
[5:48:18] goigo2go3: ピンボールみたい
[5:50:11] nonono090: どんだけ忙しいのw
[5:52:41] huimimi: 足がなーい
[5:56:23] ロジーー: 運転と頭の回転とエイム力が求められる
[5:58:14] ロジーー: いない！
[5:58:21] キーア: みんなイベントいってる？
[5:58:30] ロジーー: あーあと3分だ
[5:58:33] キーア: 角刈り今日だったよね
[5:59:02] ロジーー: ホントギリギリまで・・・ｗ
[6:00:54] maru3d: うごけー
[6:01:12] はっこ310: 耐えてくれエンジン！
[6:01:18] Nightbot: Twitter:https://twitter.com/R6S_guilty
[6:02:17] abyss209: イベント出れるか？
[6:02:51] ロジーー: 大忙しだった
[6:03:31] nonono090: お祭りだあ
[6:04:34] ロジーー: 燃料は大丈夫か
