[0:00:18] Muuwannn: wow
[1:44:08] flemmmmmmmmmm: ห่อใต้รถไง
[1:44:09] nongnaaluk: ตีลิงก้เก้บบนรถคับน้องงงงง
[1:44:09] REDSPEC_0: หวัดดีคับพึ่งมา
[1:44:10] akkaratnaja: ใจเขาใจเราดู
[1:44:11] babananaz: มันทำได้แชทมันมั่ว
[1:44:11] Ash1eyXII: ห่อเสร็จ ลุงก็เด้งออกมา ไม่เห็นหรอ
[1:44:12] darumavx: มันคือเทร
[1:44:13] supachai880: SATร้องเก่งนะลุงระวังนะ
[1:44:14] TaoTao16: <3 <3
[1:44:15] ボスクン: VAR
[1:44:16] f1uxq: ผู้คิดค้นเทรนระยำ
[1:44:16] sincure_: เสาอาทิตให้มาร้องเถอะเดียวก็รุ้ว่าจะเปาใงต่อ
[1:44:16] wavethiti: มันคือเทรนมะระยำครับ
[1:44:17] kanchitzeed: อย่างชอบแชดเลยวะ
[1:44:17] nackz_1: PowerUpL PowerUpR
[1:44:18] pppawww: พอแล้วววๆ NotLikeThis
[1:44:19] akkaratnaja: ถ้าเขาทำเราก็ร้อง
[1:44:20] kingkiwboyd: อยากให้พี่ตัดย้อนหลังลงค่ายเเดงเลยอ่ะผมเห็นคนในค่ายแดงตัดสตรีมย้อนหลังพี่ไปเยอะมาก
[1:44:20] poomkubp: พอแล้วๆๆ
[1:44:20] poiressa: คือนอนแล้วบ่
[1:44:21] shotggez: เชิฟเปิดระ
[1:44:22] redwilson_: ร้องใจเขาใจเรา5555
[1:44:23] sunmiiiiiii: FootYellow
[1:44:25] kim_57u: 555
[1:44:25] jamephailom: ห่อใต้ท้องรถไง555
[1:44:25] pingdjjdush: ST
[1:44:26] zeesky12203: 55555555555555
[1:44:26] BE2WiNs: ชีวิตจริง ห่อสพ บนรถได้ปะ
[1:44:27] osaka_14: PowerUpL Squid3 PowerUpR
[1:44:27] aunyamane163: @khunanon25 สู้นะงับขอให้หายเร็วนะงับ
[1:44:27] colazaaa: 55555
[1:44:28] stamp_v4: 555555555
[1:44:28] phasumon1: เงียบบบบ
[1:44:28] floydelive_: อุแง็ แชท
[1:44:29] conner_x01: 55555555
[1:44:29] nackz_1: Squid1 Squid2 Squid3 Squid4
[1:44:29] nachapon_np: 55555
[1:44:29] 01_chakkrit: ลุงเห็นmvแก็งเรายังครับบบบบบ
[1:44:29] ten14301: Kappa Kappa Kappa
[1:44:29] ajin_20ai: อ้อสรุปคือเล่นท่ายากนั่นเอง LUL
[1:44:29] gotz1511: ลุงผู้นำเทรน
[1:44:30] watcharakiat2: VAR5555555
[1:44:30] gapninja: คนเล่นไม่ร้อง แชทอย่าร้องสิ Kappa Kappa
[1:44:30] Em2okay: Sat ยังไม่ว่าไรเลย แชทก็ว่าเขาก่อนละ
[1:44:31] faifbakr: แดงมาชั่วผมว่า
[1:44:31] earthkung420: NotLikeThis NotLikeThis
[1:44:32] copter2711: 55555
[1:44:34] zeesky12203: วัยรุ่นดูไบ
[1:44:34] poomkubp: พอแล้วมั้งแชท
[1:44:34] altitude89: ครูพิ้งลากแล้ว1ใช่ป่ะ
[1:44:34] farafirstll: อุแงงงงงง
[1:44:35] copter2711: 5555
[1:44:35] melon_xdbutgotban: ⠀⠀⠀⠀⠀⢰⡿⠋⠁⠀⠀⠈⠉⠙⠻⣷⣄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
[1:44:35] ShibieKun: InuyoFace
[1:44:35] masiolili: iq you no
[1:44:36] monster_yahoo: 555555
[1:44:36] phasumon1: เงียบบบบบ
[1:44:37] yhedkordtung: ร้องงกับลุงก็เอาสิ555
[1:44:37] nackz_1: Squid1 Squid2 Squid3 Squid2 Squid4
[1:44:38] chiraphong_: ที่SATตำรวจพึ่งจะครบตอนเราตายไม่ร้องกันละ
[1:44:39] wolf_ezth: เเชด-เเชท*
[1:44:39] bio_beta: เก็บของตู้แดงเรเบลไม่ลงรถกันเยอะแยะ
[1:44:39] sarifa24: FBPass WutFace FBBlock
[1:44:40] UntoucHz: ร้องชีวิตจริง
[1:44:40] farafirstll: อุแว้ๆๆๆ
[1:44:40] meaningless_12: 555555
[1:44:41] ShibieKun: ไปทั่ว
[1:44:41] pumza904: ไม่ใช่บัคมันเป็นเทรนระยำ
[1:44:41] MONARCH447: @surasekkhanasit ได้ครับ
[1:44:43] bakon_888: เปิดแล้วววว
[1:44:43] colazaaa: เพลงนี้ได้
[1:44:43] bluehcvg: พี่xเขาก็ดูอยู่เขาก็ไม่ว่าไรแชทร้อนอะไร
[1:44:45] nackz_1: TheIlluminati TheIlluminati
[1:44:45] phasumon1: เงียบบบบบบ
[1:44:45] sila_naiyagate: อุแง
[1:44:45] p12_w22: @sunmiiiiiii แอ้
[1:44:45] jakkarin123456: SeemsGood SeemsGood
[1:44:45] Supper_168: อู้มอยู่บนรถว่าไปอย่าง
[1:44:47] kim_57u: เล่นท่รยากงี้ป่ะ
[1:44:47] ボスクン: จารครับเปิดVAR ทีครับ
[1:44:47] rabbit_t_: 555
[1:44:48] winstontiny: นี่ไงลุงร้องแล้ว
[1:44:50] Ta17heE: rebirthztv10_SG rebirthztv10_SG rebirthztv10_SG
[1:44:51] kapomgod: ชอบร้องกันจังสงสัยอยากให้พี่เอสโดนใบมั้ง
[1:44:51] putnana: หิวโรตี
[1:44:52] aunza0631: มุแงอุแว
[1:44:54] bwxy_ga: มันเปิดแล้ว
[1:44:54] OvEl2DoSe: LUL LUL
[1:44:55] floydelive_: แชทไม่ต้องร้องนะลูก แม่เอานมมาให้แล้ว
[1:44:55] mamaboat_44: ติ่งsat
[1:44:58] 6boogeyman6: LUL LUL
[1:44:59] a_zero_one: เป้นไรอ่ะลุง
[1:45:00] give_up_l: เด็กๆร้องระงม LUL
[1:45:01] hum_sunn: เพลงบราซิลคับ
[1:45:01] Fist_Immortal: hinas3Yatta
[1:45:01] pingdjjdush: SATร้องเป็นหมาเล่ยตอนลุงไม่มา
[1:45:02] ボスクン: @ovel2dose ดีพี่
[1:45:02] GuknewKyro: ก็ให้ลุงโดนแดงไปจบๆ จะได้ไม่ต้องดูโอเคป่าวแชตโง่
[1:45:03] pattarida_27: 555555
[1:45:03] lil_jajajetmae: หิวโด้ยยยยย
[1:45:03] FewJirayu_: rebirthztvAceJunior
[1:45:04] opigc: เข้าเรียกว่าโง่หลายก็ตายสะ
[1:45:04] ken_kiminoto: อุเเง้
[1:45:04] sila_naiyagate: อุแว
[1:45:05] fah_js: อย่าร้องงงงงแทนนน
[1:45:05] chiraphong_: ลงรถมาตั้งนานนะ
[1:45:06] nat_chananthida: แงงงงงงงงงงง
[1:45:06] nonnyjubjub: โดนอีกแดงทำไงครับทีนี้555555555
[1:45:07] conner_x01: ดิสคอร์ด
[1:45:07] nubollllly: วัยรุ่นดูไบ
[1:45:08] sairirat: ลุงจะไปวิ่งแกร็บม่ะ Kappa
[1:45:08] fah_js: เงียบไว้ๆ
[1:45:09] r2_kog: เเชทเมื่อวานหน้ารักมากกก
[1:45:10] Apoll0_XD: rebirthztvNeiyn
[1:45:10] bang_chen3004: ดูติักต้อกรอพี่
[1:45:11] OOFTHAI: VARต้องมาเเล้ว
[1:45:11] zeetar_u: ใช่
[1:45:12] ha_na_mi_: BrokeBack BrokeBack
[1:45:12] chiraphong_: ได้ดูป้าว
[1:45:13] floydelive_: งุแง้
[1:45:14] OvEl2DoSe: @bosskung777777 ดีน้องงง
[1:45:14] mamaboat_44: พอjakจะอุ้มร้อง
[1:45:15] mrarbbb: ครูพิ้งนี่ได้ประสบการณ์จากอุ้มเฟลนครบาลมาเยอะ ช่วงนรี้พริ้วจัดอุ้มไม่มีพลาด
[1:45:15] wit_za: มุ้แง
[1:45:15] ashimini: ติ่ง satมาอ่ะป่าวว
[1:45:16] kiavin_1996: ติ่งหมีร้องกันใหญ่เลยยอะ
[1:45:16] rezeero: ใช่
[1:45:16] nat_chananthida: เเงงงงๆๆๆๆ
[1:45:17] yeddab: ติ่งร้องยับ5555
[1:45:17] bearbearbearmp: 5555555555+
[1:45:19] onlyone_p_: ใ จ เ ก เ ร
[1:45:21] jimmis3v: ใช่
[1:45:22] He11SinKi: มินาโตะโดนหมดงั้น5555
[1:45:23] TheSoBank: เข้าได้แล้ว
[1:45:23] ashita5245: ลุงก็เคยทำเเล้วตอนวอชิงธงโรงเรียน
[1:45:23] pongsakornsss: มุแง
[1:45:24] nackz_1: PowerUpL
[1:45:24] mena_menana: มุแง้
[1:45:24] ボスクン: VAR ครับจารรรรรรร
[1:45:24] sarinkhampanya: อุแว้ๆ
[1:45:25] WATERRAIN0: อุแง๊
[1:45:25] poomkubp: ใช่ๆๆๆๆๆๆๆๆๆๆๆๆๆ
[1:45:26] lil_jajajetmae: เขาเรียกเหลี่ยมคนแก่ครับ
[1:45:26] pech_ktm: ติ่งร้องยับ
[1:45:28] MeAw_MaN: มุแง้
[1:45:29] emmhoejjr: เผิดปลเว
[1:45:29] floydelive_: มุแง้
[1:45:30] zeetar_u: รอก่อนๆ
[1:45:30] pppawww: แงงงงงงงง
[1:45:32] ashimini: อุแงงงๆ
[1:45:33] captain_2003s_: ติ่งไม่ร้องดิ๊
[1:45:33] nackz_1: powerupr
[1:45:34] i_kuyy: ใช่คับ บัคหมด หมัดrยังเป็นบัคเลย
[1:45:34] Lewis_YSD: ร้องดังๆนะน้องงง
[1:45:35] FewwXD: พี่เอสเข้าเจาะท้องรถแล้วอุ่ม LUL LUL LUL LUL
[1:45:35] rabbit_t_: ออกไปแล้ววติ่ง
[1:45:35] wolf_ezth: BibleThump BibleThump
[1:45:36] darumavx: อุเเงกันไม่หยุด
[1:45:36] oneshot987654: แชทเอ๋อ StinkyGlitch
[1:45:36] emmhoejjr: เปิดแล้ว
[1:45:38] WATERRAIN0: ร้องทำไมอ่าา งงน้าส
[1:45:38] bxngmacz_: @surasekkhanasit อะไรครับเนี่ย
[1:45:38] Curaso_X: HeyGuys
[1:45:39] fah_js: ครูพิ้งเดี๋ยวนี้เฉิดจัดด เกมมาเยอะก็งี้55555555
[1:45:39] boonchux: เอาเเชทเมื่อวานมาาาเเชทที่ไม่มีเด็กรัอง
[1:45:39] nat_chananthida: อุแว้~~~~~~~
[1:45:39] godaoque: ได้แล้ว
[1:45:39] hot_2345: งั้นเวลาตีลิงก็โดนแบบกันทั้งเมืองละ
[1:45:39] conner_x01: ดิสคอร์ด
[1:45:40] secretboy_______: ถ้าบัคจริงก็ไปแจ้งดิ้5555
[1:45:41] nongnaaluk: ตีลิงยังเก้บบนรถได้ อย่าร้องงงงงง
[1:45:42] MaucleoO: คิดว่าเป็นชีวิตจริงเปิดประตูอ้าแล้วหอ
[1:45:42] wit_za: มันคือเทคนิคน่ะ ไอพวกนักร้อง
[1:45:43] poomkubp: อุแง๊
[1:45:43] khobeone: อย่าตีกานนนน
[1:45:44] bhkkk121: แก็งอุแงๆ
[1:45:44] jakkis0935687047: สวัดดีคับลุง
[1:45:44] djdkajs: ร้องดังๆๆ
[1:45:45] samakingkunkai: satเขายังไม่พูดอะไรเลย หาว่าเขาร้องอีก
[1:45:45] oat_02: ไอลูกแหง่
[1:45:45] tewit191: ดิส
[1:45:46] BungPeach: จริงๆๆๆๆ
[1:45:46] millmevius: เปิด เอ๋อ ไม่เอ๋อหน่อยครับ
[1:45:46] zeetar_u: ไม่ร้องนะ
[1:45:47] hum_sunn: เพลงชื่อไรคับ
[1:45:48] pppawww: มุแง้ BibleThump
[1:45:49] armor_011: จะไม่โดนลิขสิทธิ์แล้วใช่ป่ะ เปิดเพลงนี้
[1:45:49] aunza0631: ร้องดังๆๆๆ
[1:45:50] alexsak_01: F8 แล้วอันนี้ครับลุง connect ***
[1:45:53] sila_naiyagate: อุแว
[1:45:53] asedgyho: มันคือเทรนระยำ
[1:45:53] 6boogeyman6: ดูลุงมาตั้งนานกลายเป็นติ่งSATเฉยเลยวะ LUL
[1:45:56] sincure_: ความสามารถของเเม๊คคือเทรนระยำ555
[1:45:56] EMWILD_: @hum_sunn Enamorado De Ti
[1:45:56] zeesky12203: 55555555555555555555555555555555555555555
[1:45:57] ボスクン: ตีลิงก็เป็น
[1:45:58] Paipypy: Kappa Kappa
[1:45:58] poomkubp: พอแล้วมั้งแชท
[1:45:59] darumavx: ไม่ดูเเล้วร้อง
[1:46:00] wolf_ezth: อุเเว้ BibleThump
[1:46:00] tiwchaiwat: ลุงเปิดเดียวก็มีคนตามคับ
[1:46:00] Ash1eyXII: 5555555555
[1:46:01] koop1524: 5555555
[1:46:02] REDSPEC_0: 5555
[1:46:02] redwilson_: ก็มาดิคับ ให้หมดเลย555555
[1:46:02] gith_5555: 555555
[1:46:02] 01_chakkrit: เสียงอย่างง่วงอ่ะพี่x
[1:46:02] djdkajs: ร้องดังๆ
[1:46:03] kbankkk: ไม่เห็นมีใครพิมพ์ละนะ มีบ้างคนอุแง กับแงง อยู่เลย55555
[1:46:03] meaningless_12: 555
[1:46:03] dunyawat_title: 5555
[1:46:04] raksapum: เก็บกด5555
[1:46:04] kritsadaoat: คิดถึงลุงแทบแย่
[1:46:04] Shimuraz4K: 5555555
[1:46:04] ramee_555: 555555555555
[1:46:04] kingkiwboyd: 5555
[1:46:05] sarifa24: 5555
[1:46:05] khinglikeyme: 555
[1:46:05] wave_panachai: 55555
[1:46:06] myerasedeface: 555555
[1:46:06] ha_na_mi_: 555
[1:46:06] kingkiwboyd: 555
[1:46:06] lovepopl: 5555
[1:46:07] noppanan5: 5555
[1:46:07] nubollllly: ,555555
[1:46:07] nineky01: 55555
[1:46:07] kingkiwboyd: 55
[1:46:07] ikkew77: ลุงมีช่องลับใต้ท้องรถ
[1:46:08] pppawww: 5555555555555
[1:46:08] zornor_xr: 5555555555
[1:46:08] pee_ph: 55555555555
[1:46:08] ZCyclops_: 55555นัวเนียๆ
[1:46:08] NirAnkoeDkhiaO: FBBlock rebirthztvAngry
[1:46:09] Th4nk5_G0TZ: อุแว้
[1:46:09] betakru: ร้องเป็นแต่ดูไม่ออกอันนี้ก็ไม่เอา
[1:46:09] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[1:46:10] oatchaichu: SAT แก๊งค์ไมค์ทองคำ555
[1:46:10] putnana: เข้าไดูแล้ว
[1:46:10] nongnaaluk: แชทบางคนมันบื้ออออ5555
[1:46:10] hopestarkk: แชทใจเกเร
[1:46:11] itsphongz_: ทำไมวันนี้มาเร็วอะลุง
[1:46:11] poomkubp: แชทพอแล้วมั้งงงงงงง
[1:46:12] kingkiwboyd: 5555
[1:46:12] jet_fiftytwo: ใจเย็นๆแชท
[1:46:12] hot_2345: ตีลิงเขาก็ใช้กันแบบนี้
[1:46:13] nioralone_777: เดือดกว่านี้อีกพี่5555
[1:46:13] pattarida_27: 55555
[1:46:14] secretboy_______: ถ้าบัคจริงก็ไปแจ้งดิ้5555
[1:46:14] forceone01: คนที่ร้องคือ FC SAT
[1:46:16] 01_chakkrit: นัวววววววววว
[1:46:17] mickppppp: 65555555
[1:46:18] r2_kog: ต้องเเชทเมื่อวานครับลุง
[1:46:19] watcharakiat2: 555555555555555
[1:46:19] natza1997: ใครไม่เกี่ยวใส่เดี่ยวได้หมด
[1:46:19] job2552: ใช้
[1:46:19] winnerr59: คณะตลก
[1:46:20] najalove1: jackey9JackeyLOL jackey9JackeyLOL jackey9JackeyLOL
[1:46:20] khobeone: ละเรา ซี อะไรครับพี่
[1:46:21] nui_0_: เสมอต้นเสมอปลาย
[1:46:21] ha_na_mi_: รักษาคอนเซ็ปต์ไว้ได้ดี
[1:46:22] colazaaa: สตอร่กำลังสนุก
[1:46:22] tnploser: เราเน้นมัน
[1:46:22] yo_thanawat: พี่บอกหยุดทุกอย่างซ้อมอย่างเดียว
[1:46:22] thanaphat789yy: i narok sat
[1:46:23] putnana: ใช่
[1:46:23] THIPPLEX: แชทยังคงเสมอต้นเสมอปลาย LUL
[1:46:24] kkhunchang: 555555555555
[1:46:25] PphaT_: ไปแข่งเอง
[1:46:26] wolf_ezth: 555
[1:46:26] wut147: ใช้
[1:46:27] phailinlin: 555555
[1:46:27] teatealnw555: เราไม่ใช่นักแข่งอะ ตรงๆเลย 555
[1:46:28] i_leng3410: 55
[1:46:28] redwilson_: 7k ก็ไม่หวันอะ
[1:46:28] wnydboyy: ถูกกกก น้องๆก็เรียนด้วย
[1:46:30] ga_nathaniel: ใช้
[1:46:31] aunza0631: เสมอได้แต่ห้ามแพ้
[1:46:31] Ta17heE: ๕๕๕๕๕๕๕
[1:46:31] nioralone_777: คณะตลกครับน้องง
[1:46:31] ton__hub: เรียลๆ
[1:46:32] Few_Few_: jak
[1:46:32] sittinan_42: บ้างคนก็จริงจังเกิ้นไปน่ะ
[1:46:32] redwilson_: 55555555
[1:46:33] Anakin_XD: ไอบางคนไม่รู้หรอกมันคือไร สักแต่จะพิมตาม กุอย่างหัวเราะ 555555
[1:46:35] MeAw_MaN: jakเน้นคอนเทนต์ครับโทษที
[1:46:35] nantawat92913: JAK คณะตลก
[1:46:36] loveheee: เราคาเฟ่
[1:46:37] fah_js: แชทเลเวล1
[1:46:37] putnana: เล่นสตรี่มันกว่าเยอะ
[1:46:37] oneshot987654: อยากโดนแชทเปิดดด StinkyGlitch StinkyGlitch
[1:46:40] chaiwatv: ทำไมผมรู้สึกชอบเพลงจับ
[1:46:40] kingkiwboyd: พี่เป็นช่างแม็คหน่อย
[1:46:40] chnathip1: rebirthztvNeiyn rebirthztvNeiyn rebirthztvNeiyn rebirthztvNeiyn rebirthztvNeiyn
[1:46:40] keng_mama: ซีเรียสมากไปก็ไม่ดี
[1:46:41] boomztv8: ใช้ลุงพูดถูก
[1:46:42] ha_na_mi_: ถูกก
[1:46:42] i_leng3410: พวกเราสายชิวว
[1:46:43] ashimini: แชท LV.1 อ่ะเลยบื้ออ
[1:46:43] poomkubp: ใช่ถูก
[1:46:44] Th4nk5_G0TZ: @thanaphat789yy นรกกว่า sat ก้คุณมึงคับ
[1:46:44] ikkew77: สร้างสีสัน
[1:46:44] tremytrc: มันมีคนไปถามลุงไก่เว้ยว่าห่อในรถบัคไหม
[1:46:45] KESATRIAGELAP: คิดถึงไง
[1:46:46] blackbeam__: 55555555555555555
[1:46:47] tanwaza25: JAK ตลกชวนชื่น
[1:46:47] bankolo987: SATร้องเก่งน่ะลุง
[1:46:47] sincure_: เราไม่ใช่ทีมเเข่งอาชีพเนอะ
[1:46:48] pomhahok: ตีลิงเขาก็ทำแบบนี้นิห
[1:46:49] mailuvhf: เเชทเงียบ
[1:46:50] Calos_nathany: ลุงดู mv เปิดตัวเรารึยังครับ
[1:46:51] maxolll1991: กดเข้าได้เลยลุง
[1:46:51] sncnxnd: JAKคือคณะชวนชื่นครับ55555
[1:46:53] hopestarkk: ถ้าเราซ้อมเฮฮา เรามักจะทำได้ดี
[1:46:53] kingkiwboyd: Kreygasm Kreygasm <3 <3
[1:46:54] nana4545gon: พวกมึงมันเครียดไป
[1:46:55] kiavin_1996: กีฬามีแพ้มีชนะครับผม
[1:46:55] bigbirdmann: ลุงไม่อยู่แชทก็ไปเดือดช่องอื่น
[1:46:58] hum_sunn: @forceone01 funkปะคับจังหวะนี้
[1:46:59] imtongz: แต่ลุงนี่ตัวกดดันทีมเลยนะตอนพลาด
[1:47:00] chiraphong_: เขาคิดยังไงปล่อยเขาไปเถอะ
[1:47:00] tar_stc: ใช่เอาสนุกบ้างเถอะสู้ไม่ได้พี่เอสเขาก็พูดยอมรับว่าสู้ไม่ได้ ไม่ใช่เอะอะจะร้อง
[1:47:01] dewwaytocry: เน้นเข้าร่วมเเต่ไม่เน้นเข้ารอบ5555
[1:47:02] xerbig_: ไม่คาดหวัง = ไม่ผิดหวัง
[1:47:02] PloySai555: ดีคับพี่เอส
[1:47:03] pitphathth_: Squid1 Squid2 Squid3
[1:47:04] emmhoejjr: @nantawat92913 ตัวเองมีคอมเล่นยังน้อง
[1:47:04] THIPPLEX: ทุกคนก็รู้ว่าแก๊งค์นี้ชวนชื่น
[1:47:04] earth_x285: อย่างไงก็ต้องชนะสักทีมอ่ะครับ แค่นี้
[1:47:05] 6boogeyman6: แค่บอกกลัวSATเค้าร้องกลายเป็นติ่งSATเฉย LUL
[1:47:05] MaucleoO: ปิดแชทดีกว่า5555555555555555555555555555555555555
[1:47:06] iam_pearry_pattaranun: พวกเรา JAK ขายขำ55555
[1:47:06] ichisydney: ใช่เล่นให้สนุกพอค่าบ
[1:47:06] zornor_xr: เราเล่นเกมอย่าให้เกมเล่นเรา
[1:47:07] pppawww: ปวดเฮด NotLikeThis
[1:47:08] ken_kiminoto: ผมก็เล่นชิลๆน่ะafkในเเร้งโดนด่ายับเลย
[1:47:09] MONARCH447: @calos_nathany ดูแล้วค้าบสุดหล่อ
[1:47:09] toey_098: พี่มีเด็กเดินด้วยอ่อ555
[1:47:12] aomlrenish: ดูเกมให้สนุกน่ะฮะทุกคน
[1:47:13] RbSymbolize: เน้นเข้าร่วมกับเน้นสปอนเซอร์ครับ
[1:47:15] pitphathth_: Squid1 Squid2 Squid3 Squid2 Squid4
[1:47:17] winstontiny: เราเข้าร่วมด้วยก็ถือเป็นการสนับสนุนวงการEsportแล้ว
[1:47:18] wannalop12: ดีครับ
[1:47:19] ycubo_o: ไม่คาดหวังไม่ผิดหวัง
[1:47:19] suwitha: อย่าร้อง
[1:47:19] xixzxe: พลัง vip555
[1:47:21] organic420: @bankolo987 แล้วเกี่ยวอะไรกับคุณ คุณเป็นคนดู
[1:47:22] oneshot987654: แชทNo.1 StinkyGlitch
[1:47:23] ha_na_mi_: เอาไปเหอะ555
[1:47:23] boom0129: 555555555
[1:47:24] 9twz_ball_zz: ปิดแชทดูสนุกสุด
[1:47:25] bigmoutten: เทค2ใช่มั้ยครับ
[1:47:25] nui_0_: เดือดเเน่ผมบอกเลยเเชทอะ
[1:47:25] seax5456: อยากเล่นด้วยครับ
[1:47:26] toey_098: เด็กเดินพี่เอสสุดยอด555
[1:47:28] flemmmmmmmmmm: ตอนนี้แจ็คกี้บัพโคตรเดือดเลย
[1:47:29] pomhahok: เน้นเข้าร่วมไม่เน้นเข้ารอบ
[1:47:31] lil_jajajetmae: ตังพี่เอสมีแล้วรับแก7หลักหน้าจะเอามันมากว่า
[1:47:31] koop1524: เทค93
[1:47:32] kkhunchang: ถูก
[1:47:33] ashimini: พลังvip
[1:47:33] zornor_xr: ใช่
[1:47:34] somebadyluv: เพลง5555
[1:47:34] superg304: คอนเทน
[1:47:34] i_leng3410: เท่จ้าดดดดดด
[1:47:34] zukadr: จุกยืนหน่ำอู๊ดๆ StinkyGlitch
[1:47:34] teatealnw555: เชรดด
[1:47:34] kingkiwboyd: พี่ชอบMVเพลงไหนมาสุด
[1:47:35] BankTyPer: สนุกกับมันพอครับ
[1:47:36] oatchaichu: เพลงที่เข้าเกมกับเพะลงที่ลุงเปิด ก็เข้ากันนะ55
[1:47:37] BungPeach: ถูกครับพี่เอส
[1:47:38] chaiwatv: เจ้บ
[1:47:39] bhkkk121: ร้องทั้งแก็งทั้งแชท
[1:47:40] blackbeam__: StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch StinkyGlitch
[1:47:44] NireNiro: เพลงเข้ากันจัด
[1:47:44] prajuyzth: Jak no.แคร์
[1:47:45] khobeone: เพราะเราคาดเข็มขัด
[1:47:47] sincure_: มีเเบบเเข่งตีละอุ้มเอ๋อไหม
[1:47:48] pattarida_27: เพลงเข้ากันเฉย
[1:47:49] BABYFLUKEKY420: ใครอยากเป็นเศรษฐี
[1:47:49] pppawww: เราno.1 คณะตลก5555
[1:47:50] Th4nk5_G0TZ: จะสู้ให้ได้เงินที่ตัวเองช่วยเพิ่มเงินรางวัลทำไม ให้คนอื่นดีกว่าเยอะ
[1:47:50] namopp90: ได้หมดอ่ะ เเต่อย่าได้ที10++ก็พออายเขา เดียวเขาล้อ
[1:47:50] thanakrit_292551: คนที่ไม่เคยแพ้ใครคือคนที่ไม่มีประสบการณ์
[1:47:52] zone3577: พูดอีกก็ถูกอูฐิ
[1:47:54] oneshot987654: แชทNo.1 StinkyGlitch
[1:47:55] wolf_ezth: เน้นยืนดํ
[1:47:55] pingponggggggggg: ขอสอบถามหน่อยครับพี่เอสจะลบไลฟ์อีกไหมครับ
[1:47:55] chan0007za: เพราะเรามันโนตึง555
[1:47:56] highsad_: เน้นเข้าร่วมไม่ได้เน้นเข้ารอบครับน้อง
[1:47:56] 42OOG_: rebirthztvB rebirthztvB rebirthztvB
[1:47:56] sarifa24: jak no.สน
[1:47:56] basgg11: @flemmmmmmmmmm เด็กเก่าufเเค่นี้จิบๆ
[1:47:57] meksizebig: !uptime
[1:47:57] nutwhisky: !uptime
[1:47:58] Nightbot: Stream uptime 1 hour, 48 minutes, 17 seconds
[1:47:59] non011: เราno12 555
[1:48:00] yhedkordtung: แชทของSATแน่ๆ5555
[1:48:01] xerbig_: แต่ถ้าคาดเอวนี้ Gucci belt
[1:48:02] REALxLIFE_XD: Kappa
[1:48:03] bemybooooo: เน้นคอนเท้นแบบนี้แหละสนุกไม่ต้องไปคิดไรมาก
[1:48:04] drewwyk: พี่เอสยังไม่ซีเรียส แชทก็อย่าไปซีเรียสแทนเค้านะครับ ต้าวบื้อ555555
[1:48:04] poomkubp: พอๆๆๆๆดูพี่เอสเล่นเกมดีกว่า
[1:48:09] PRD_RB: NotLikeThis
[1:48:10] jinjoyboy: แต่ต้องคาดเข็มขัดนะครับ
[1:48:13] fah_js: แชทเอ้ยยยย
[1:48:13] oneshot987654: NotLikeThis NotLikeThis
[1:48:13] bhkkk121: เวล1
[1:48:15] bank3579love: โน 1 คือ แม็ก นวย แม็ก แม็ก แม็ก นวย แม็ก นวย แม็ก แม็ก นวย
[1:48:15] zeetar_u: ไปซ้อมเองเลยครับ
[1:48:16] dasosa_itty: 55555
[1:48:17] bearbearbearmp: 5555555555555+
[1:48:17] oatchaichu: โอยยย
[1:48:17] lil_jajajetmae: กูชอบมึงวะน้อง
[1:48:17] oat_02: พอครับแลท
[1:48:17] somebadyluv: NotLikeThis
[1:48:18] pongsakornsss: 555555555
[1:48:19] kaopattaya: Mvใหม่มาแล้วหรอ
[1:48:21] unknxwn_sss: 555555
[1:48:21] w6666666666669: เอาสนุกๆใชีไหมพี่
[1:48:21] tso4485: จะเล่นกับใคร แชทร้องทุกแกงค์ แซะแขวะด่าโถม ทุกแกงค์ที่เล่นกับjak ทุกแกงค์จริงๆนับๆดู . WutFace
[1:48:22] konpojjso: มาเล่นเองไหม
[1:48:22] prajuyzth: 55555
[1:48:22] Th4nk5_G0TZ: ห้ะ
[1:48:22] ha_na_mi_: 5555
[1:48:22] gotz1511: ปวด head
[1:48:22] mos310840: เอาให้สนุกคับ
[1:48:23] spiderbazs: 5555
[1:48:23] rezeero: 555555555555
[1:48:23] zeesky12203: 55555555555555555555555555555555555555555555
[1:48:23] MeAw_MaN: ตลก ตรรกะไรนิ่
[1:48:23] NongMixZa: 5555+
[1:48:24] am_pxre: 55555555555555555
[1:48:24] fah_js: โอ้ยยยยใครมันพิมมมม
[1:48:24] feeza159: 555555555555
[1:48:24] teatealnw555: 5555
[1:48:24] contact_8888: 55555
[1:48:25] winstontiny: เวล1
[1:48:25] mosss_2002: 555555555555
[1:48:25] adumpoker_: 55555
[1:48:25] SECHZEHN_: rebirthztvHaha
[1:48:25] ZCyclops_: 55555
[1:48:25] minip__: 55555555
[1:48:26] 19__ning_d: 55555555
[1:48:26] nongaomnaja: 55555
[1:48:26] PaoYingShul3: เรา แค่แขกรับเชิญ
[1:48:26] boom0129: เพลงเข้ากันเฉย555
[1:48:26] earthkung420: 5555
