[0:00:52] ぱすたっ: 早起きえらいだ
[2:15:38] maru3d: ファーマー適正が高すぎる
[2:16:08] gyudonman: つよい
[2:16:27] よくすい: W
[2:16:31] ロジーー: もはや病気ではある
[2:16:54] goigo2go3: 5桁いったらいくらになるんやろ
[2:16:55] よくすい: 結構ファーマーいますよね。
[2:17:17] マナさん: 競合他者が増えるとね
[2:17:25] ロジーー: １９時過ぎたしな
[2:17:30] ロジーー: 効率悪くなる
[2:17:51] funibo: 住みわけ大事
[2:18:01] ふともも3: MMOで同じ雑魚狩りするようなもんか
[2:18:17] ロジーー: まさに扉の横に箱があるなんて効率以外の何物でも・・・
[2:19:22] スギヒロ: そゆ箱、外からでもみれる家があるとか
[2:19:31] ふともも3: 時短
[2:19:36] funibo: 学び
[2:19:45] ロジーー: てかドアがいつもフラフラしてるしいらん
[2:20:16] よくすい: みんな考えることが同じw
[2:21:35] funibo: 黄色のランポ･･･?
[2:21:37] maru3d: 黄色のランポ！？
[2:21:42] ふともも3: だれやろなあ
[2:21:42] fukutoto: 黄色のランポ？
[2:22:07] fukutoto: 地図見るか？
[2:22:17] マナさん: ケインオーまさか…
[2:22:38] fukutoto: よかったw
[2:24:58] hagemaru0: 抑制しちゃうぞー
[2:25:03] masa_1234567: ナタル……
[2:25:06] ri_nemuri: www
[2:25:50] ふともも3: ずっと逃げるやん
[2:26:11] fukutoto: 応援に注意だな
[2:26:16] mobobasan: がんばれー
[2:26:38] ロジーー: ずっと叫んでるしドＭかな・・・ｗ
[2:26:41] マナさん: ｗｗｗ
[2:26:53] mekemeke33: 詰んだｗｗｗ
[2:26:55] ロジーー: ｗｗｗｗｗ
[2:27:00] ふともも3: ｗｗ
[2:27:02] funibo: wwww
[2:27:08] fukutoto: 車見よう
[2:27:15] マナさん: ナイスー
[2:27:18] ロジーー: 容赦ないｗ
[2:27:20] mobobasan: ナイスー
[2:27:22] ri_nemuri: wwwwww
[2:27:44] funibo: ランポ12時間使えないのだるいなぁw
[2:27:45] masa_1234567: 頑張ったなぁ犯人
[2:28:01] NandemoE: 無線してたけど誰も来んかったね...
[2:28:59] マナさん: カスタムしたコメット走りやすい？
[2:29:22] Nightbot: Twitter:https://twitter.com/R6S_guilty
[2:29:24] マナさん: おお
[2:29:25] ロジーー: ただ５０００万
[2:29:44] ロジーー: 良い感じには見える
[2:29:56] kirikrs: 5000万（経費
[2:29:57] マナさん: 経費申請できんの？
[2:30:11] huimimi: まぁ経費申請すればなんとかなるかー
[2:30:22] maru3d: まぁ経費で落とせるから
[2:30:26] ri_nemuri: wwwww
[2:30:38] fukutoto: 今コメット組が少ないけど増えたら制限されそうw
[2:30:49] funibo: なんかバランスいいメンツだなぁｗ
[2:31:01] abyss209: おじいちゃんに作られたならそれはパパだろ
[2:31:19] maru3d: ｗｗｗｗｗ
[2:31:27] masa_1234567: おじいちゃんが作ったって聞くとマジンガーZが脳裏に浮かぶな
[2:31:32] hagemaru0: ｗｗｗ
[2:31:33] ふともも3: 大変そうだ
[2:31:34] ri_nemuri: ｗｗｗ
[2:31:35] funibo: ｗｗｗｗｗ
[2:31:36] fukutoto: wwwww
[2:31:42] ryokuxx333: wwww
[2:31:58] さいこかるぱす: ｗｗｗｗｗｗ
[2:32:06] kirikrs: 嫌がらせwww
[2:33:53] うどんの信者: wwwwww
[2:33:59] ふともも3: ｗｗｗ
[2:34:03] maru3d: ストゼロ民ｗ
[2:34:03] hagemaru0: そんなタラちゃんいやだよぉ
[2:34:16] ri_nemuri: ストゼロ飲むタラ
[2:34:26] masa_1234567: ストゼロとかマジで終わってて草
[2:34:28] fukutoto: wwwww
[2:34:33] mekemeke33: 顎ｗｗ
[2:35:13] ri_nemuri: ｗｗｗｗｗｗｗ
[2:35:16] さいこかるぱす: ｗｗｗｗｗｗｗｗ
[2:35:17] funibo: あのｗ
[2:35:23] masa_1234567: 索敵能力終わってて草
[2:35:23] huimimi: おいー二十日タラー
[2:35:28] joukashio01: はやいんだよね
[2:35:43] ri_nemuri: 出てから早すぎて誰もおえなくなってるｗ
[2:35:53] さいこかるぱす: ネルさんがタラさんでヘリさんしただけか
[2:36:25] funibo: スタンバイ遅れるの致命的だったなｗ
[2:36:49] maru3d: これもまた学び
[2:37:06] はっこ310: ケツパージ
[2:37:11] daikimarumaru: 万が一よね
[2:37:18] よくすい: パトカーは とられる・・・
[2:37:27] はっこ310: 昨日誘拐された時も危なかったよね
[2:39:10] mekemeke33: 10億当てるべ
[2:39:11] funibo: 警察出勤中にカジノですかぁ？
[2:39:18] ロジーー: さあ１０億チャレンジ
[2:39:45] ふともも3: だめだこりゃ
[2:39:48] はっこ310: はい
[2:40:19] ふともも3: ｗｗ
[2:40:29] キーア: www
[2:40:59] ロジーー: 闇落ちよりパチ堕ちしそうだなケイン
[2:41:31] ロジーー: パチよりカジノか
[2:41:43] fukutoto: これサイレンなしで近づくのかw
[2:42:00] soramame0820: こんぎr…ケイー
[2:42:28] soramame0820: 今日あたりからチョコ安くなってそうだよ
[2:42:29] ロジーー: 映画か何見たん？
[2:42:42] ロジーー: あー
[2:42:47] つけ麺_: また誰かに目撃されたりしてない？ｗ
[2:43:02] soramame0820: 俺の推しも見てた……匂わせ！？
[2:44:12] ふともも3: 細々とギャンブル
[2:44:32] kirikrs: 仕事中にギャンブルま？
[2:44:32] ロジーー: お
[2:44:36] ロジーー: やるやん
[2:44:44] ロジーー: これは仕事です
[2:45:16] soramame0820: fps上手い勢ってギャンブル好き多くね？
[2:45:21] funibo: 草
[2:45:30] fukutoto: w
[2:45:49] maneuver33: 抑制すれば勝てるな
[2:46:04] soramame0820: 細々稼ぐでダブルダウン連打は博打野郎だろw
[2:46:13] fukutoto: ボイラさん勝ってたし
[2:46:14] funibo: ないす
[2:49:31] よくすい: だーれだ
[2:49:32] funibo: いたずらだぁ
[2:49:33] マナさん: 最悪や！
[2:49:39] kirikrs: 仕事中にカジノなんていくからw
[2:49:39] ふともも3: 一旦修理か
[2:49:50] 褒めらにあん: なんかリアルwww
[2:49:52] fukutoto: みんながパトカーで行かない理由
[2:49:54] soramame0820: 陰湿w
[2:49:58] ロジーー: 流石に危ないかな
[2:50:05] よくすい: おっと
[2:50:10] マナさん: 流石にまずいか
[2:50:29] よくすい: ない・・・
[2:50:40] キーア: ないはず…
[2:51:20] ロジーー: ネルさんか
[2:51:22] マナさん: 事件性ありマジか
[2:51:33] 草槍: 普通に考えてカジノ付近に何でもないときにパト止まってたらまぁ
[2:51:33] funibo: 早めに修理しないとだぁ
[2:51:34] soramame0820: 一旦間に合わないか
[2:52:25] マナさん: ピタッ
[2:52:42] fukutoto: まだニト呂ネルになってるw
[2:52:48] ロジーー: これ修理中に何かあったら怖そうｗ
[2:54:03] マナさん: 吹き飛ばしたｗｗｗ
[2:54:11] funibo: 相手４んだわｗ
[2:57:18] マナさん: 終わった後かなぁ
[2:57:33] ロジーー: お
[2:57:40] fukutoto: 撃ち合いか
[2:58:36] ふともも3: もう撃ってきたもんな
[2:58:56] masa_1234567: 納品入らせたあとの隙かねぇ？
[2:59:03] ロジーー: 後ろからか
[2:59:17] funibo: なんか草
[2:59:19] ロジーー: ないすだうん
[2:59:19] マナさん: うまい
[2:59:23] ri_nemuri: うっま
[2:59:31] ロジーー: ３人目
[2:59:33] Nightbot: Twitter:https://twitter.com/R6S_guilty
[2:59:34] スギヒロ: うますぎか
[2:59:39] funibo: ワースワース
[2:59:39] mekemeke33: 囲まれてたかぁ
[2:59:44] キーア: ぐへぇ
[2:59:44] soramame0820: ナイスファイト
[2:59:47] masa_1234567: さすがに1人だときついか
[2:59:49] マナさん: ナイスファイトすぎる
[3:00:03] soramame0820: 1v3で2人落とすの強すぎ
[3:00:11] 褒めらにあん: nt
[3:00:16] ri_nemuri: まだおったかあ
[3:00:17] よくすい: おしい
[3:00:22] スギヒロ: 一人でもっていきすぎよ
[3:00:33] おつる2: 抑制できんかった・・・
[3:00:38] sbtn80: ベストをつくした
[3:00:48] スギヒロ: ナイスファイト！
[3:00:51] よくすい: おっと
[3:00:57] ロジーー: 何人いるんだこれ
[3:01:02] soramame0820: 車上荒らしがスムーズ過ぎる
[3:01:10] さくみん: 偉いです！nf！
[3:01:19] fukutoto: あれ誰だっけ？
[3:01:35] ロジーー: ３人目やれたとしてもまだいたってこよね
[3:01:37] よくすい: ２人ダウンナイス
[3:01:59] fukutoto: 個人医か？
[3:02:14] スギヒロ: 個人医だ
[3:02:30] よくすい: ノアちゃんイメチェン？
[3:02:37] ロジーー: 撤退も早いなさ
[3:02:56] fukutoto: 個人医2人かw
[3:03:09] ロジーー: これも個人医か
[3:03:09] キーア: 個人医いっぱいくるねw
[3:03:43] 倉田一郎: wwww
[3:03:49] キーア: wwwww
[3:04:01] キーア: いま手錠かけてなかった？w
[3:04:16] バぁにぃ: 救急隊は忙しいか
[3:04:37] funibo: どんまい
[3:04:46] 倉田一郎: 悔しいな
[3:05:18] ロジーー: 道路にありそう
[3:05:25] ふともも3: APEXみたいにピン立てれたらなあ
[3:05:38] スギヒロ: 大健闘ではある
[3:06:04] soramame0820: そうなん？w
[3:06:09] ロジーー: 成績良さそう
[3:06:41] 倉田一郎: せやね
[3:06:53] mekemeke33: 動かないだけか
[3:06:59] soramame0820: 痛みで意識が霞んだりしないわけね
[3:07:10] 倉田一郎: 声も小声である必要はにのか
[3:07:31] キーア: 風わきなおししたか
[3:07:38] スギヒロ: 壊れたラジオみたいな感じか、話せたとしても
[3:07:42] 倉田一郎: ありゃ
[3:08:16] h4sh1_84: レジギガスみたくなるか
[3:08:36] 倉田一郎: 悔しいよねｗ
[3:09:19] soramame0820: 全くの死角ではあった
[3:09:29] funibo: 軍事勝ち星挙げられるチャンスではあっただけに悔しい
[3:09:30] ロジーー: 惜しかった
[3:09:46] ロジーー: チャンスはあった・・・くらいか
[3:09:47] soramame0820: 相手も最低限の射撃で頭抜いてきたから、強かったよ
[3:10:07] ginji_unlimited: ちょうど報告していた時だったので、タイミングが悪かった感じがしますね
[3:10:19] ふともも3: かわいい
[3:10:30] soramame0820: なるほどー
[3:10:30] 倉田一郎: ムッキムキで草
[3:10:35] ロジーー: まあ仲間欲しかったね
[3:10:38] キーア: もまぁちゃん力持ちだ〜
[3:10:39] スギヒロ: 怪力すぎるw
[3:11:11] ri_nemuri: あそこそんなやばい場所なんか
[3:11:58] fukutoto: 砂漠自体歪みが多い
[3:12:23] スギヒロ: 救急隊のクルマ走りやすそうだ
[3:12:43] fukutoto: 人が少ない分件数は少ないけど
[3:12:43] h4sh1_84: ロボット用のたばこみたいな機械ほしいな
[3:13:04] ロジーー: 指名手配できそうかな
[3:13:24] funibo: 草
[3:13:25] soramame0820: www
[3:13:34] キーア: くつろいでるじゃんwww
[3:13:42] スギヒロ: 死んだふり作戦w
[3:13:44] soramame0820: やり過ごす
[3:15:43] fukutoto: あっリセット行けなかったw
[3:15:45] ロジーー: ｗ
[3:15:46] ri_nemuri: ｗｗｗｗ
[3:15:48] fivesoul555: ネル寝る
[3:15:49] キーア: www
[3:15:54] ロジーー: 死んでも・・・ｗ
[3:15:57] スギヒロ: ネルさんかわいいw
[3:16:02] はっこ310: www
[3:16:09] funibo: ネル先愛されてるなぁｗ
[3:16:11] ロジーー: ネルさん大人気
[3:16:12] fukutoto: wwwww
[3:16:16] katawaraitai: www
[3:16:30] ロジーー: ネルさんいじりがいありそうなんだよなぁ・・・
[3:16:33] pepu_pi: 笑いこらえてるケインオーおもろいw
[3:17:59] funibo: ｗｗw
[3:18:00] soramame0820: www
[3:18:01] ふぁいぴ: ｗ
[3:18:02] キーア: wwwwww
[3:18:08] ロジーー: 誰なのか気になるね
[3:18:09] スギヒロ: wwww
[3:18:12] mekemeke33: あれ勝ててたらまじでやばかったよｗ
[3:18:27] fivesoul555: 👽＞🤖
[3:18:34] soramame0820: 悔しいってことはまだ闘志があるってことだから安心
[3:18:46] ロジーー: 難しいねぇ
[3:19:29] soramame0820: 殺人機械やんけ！
[3:19:37] h4sh1_84: 殺戮マシーン
[3:19:40] hagemaru0: 抑制どころじゃなくて草
[3:19:42] cesarstreet: もう改造されてない？
[3:19:46] キーア: 滅ぼすはまずいw
[3:20:26] ロジーー: 常時ウルト
[3:20:46] ロジーー: 昨日のバレンタインから壊れたか
[3:21:04] soramame0820: オールイン検挙0だからハシゴあるでえ
[3:21:38] fukutoto: いや青ネズミかも
[3:22:20] ロジーー: 一人で何とか出来たかも！って考えてるとめちゃ悔しそうだ
[3:22:37] ロジーー: そうそうそんなチャンスないもんね
[3:23:38] ロジーー: ｗｗｗｗｗ
[3:23:39] ふともも3: 宣伝ｗｗｗ
[3:23:46] hagemaru0: 産地直送！
[3:23:46] ロジーー: ちゃんと宣伝してるｗｗｗ
[3:23:52] ri_nemuri: おいしそうな広告
[3:24:46] ri_nemuri: またかよｗｗｗｗｗ
[3:24:46] ロジーー: ｗｗｗｗ
[3:24:46] fukutoto: いつかギャングに当てて1億かけられそう
[3:24:51] キーア: きちゃw
[3:24:55] ふぁいぴ: デイリーねずみ
[3:24:55] funibo: い つ も の
[3:25:37] はっこ310: 魔のショッピングモール...
[3:26:58] 草槍: 流石だな皇帝パイセン
[3:28:08] fukutoto: サイレン聞こえるから先読みってわかるよね
[3:28:56] キーア: うまいなぁ
[3:28:59] ロジーー: きついなぁ
[3:29:19] Nightbot: Twitter:https://twitter.com/R6S_guilty
[3:29:57] funibo: ペイン先輩が事故ったのも痛いかもしれん
[3:30:07] ロジーー: 事故るね
[3:30:08] daikimarumaru: ごちゃるねｗ
[3:30:28] ロジーー: さっきのカーブも最悪のタイミングで後ろ疲れたし
[3:30:30] fukutoto: 人によっては120km以下はサイレン鳴らさない人いるし
[3:30:34] キーア: こう見てるとバイクあるの出来そうって思った
[3:30:58] キーア: できそうじゃないでかそう
[3:31:29] ri_nemuri: ｗｗｗ
[3:31:31] ロジーー: ｗｗｗｗ
[3:31:38] ロジーー: いじるとホント可愛い
[3:31:59] 草槍: スロやる勢
[3:32:48] ri_nemuri: もぐもぐ
[3:34:53] funibo: あぶなｗ
[3:36:02] はっこ310: 駆けつけ一服
[3:38:08] ロジーー: ここの店オシャレやなぁ
[3:41:18] ロジーー: そろそろか
[3:41:45] fukutoto: あれ敵か？
[3:41:58] ロジーー: ワンチャンありそう
[3:43:20] fukutoto: 即逃げか
[3:44:12] スギヒロ: 場所把握が難しいな
[3:44:47] スギヒロ: 援護射撃注意か
[3:45:04] ロジーー: 無理だなぁ
[3:45:32] fukutoto: あれラークじゃ？
[3:45:55] キーア: あ
[3:45:58] ロジーー: なんかヤバイのかな
[3:46:13] キーア: 今日はそこヤバめか
[3:46:34] ロジーー: 瞑想なってる場所に近寄るの危険ね
[3:46:58] たなかっち123: DinoDance DinoDance DinoDance
[3:47:12] よくすい: あら
[3:47:29] たなかっち123: 宮脇大先生ｗｗｗ
[3:48:29] ロジーー: 客船か
[3:50:08] のどごし悪男: そういえばケインオーくん防水なんだな
[3:52:10] aimnutro: 警察ってこんな忙しいんや
[3:52:24] スギヒロ: よそ見厳禁
[3:52:25] fukutoto: w
[3:52:35] キーア: よそ見運転はだめよ〜
[3:52:40] yukidayo1121: DinoDance DinoDance DinoDance
[3:52:44] fukutoto: 心なきでよかったねw
[3:52:47] キーア: 前かぱかぱになっちゃった
[3:54:22] のどごし悪男: 黄金の風に任せておけば大丈夫さ
[3:55:28] ri_nemuri: ｗｗｗ
[3:55:32] キーア: www
[3:55:37] はっこ310: www
[3:55:45] のどごし悪男: あああああああ
[3:55:49] ri_nemuri: ああああ
[3:55:50] ふぁいぴ: わあ
[3:55:51] キーア: うわ
[3:56:01] fuwayuuuui: 深いところへ…
[3:56:02] ロジーー: 油断が・・・ｗ
[3:56:19] キーア: ヘリは貫通するねぇw
[3:56:24] ssss4121: まだまだしずむ〜
[3:56:40] fukutoto: 貫通ネタになってるw
[3:56:59] たなかっち123: 深海行きかー
[3:57:03] yukidayo1121: DinoDance DinoDance DinoDance
[3:57:03] スギヒロ: また１つ増えちゃったw
[3:57:36] fukutoto: まだ深海に行ってないからワンチャン大丈夫かも
[3:57:56] ロジーー: 人少ないし大変そうだ
[3:58:14] maneuver33: 長時間海はきついなw
[3:58:32] スギヒロ: 浮いてきた
[3:58:36] たなかっち123: 海水は錆びそうw
[3:58:37] fuwayuuuui: お、浮上？
[3:58:45] よくすい: 深海少女免れた？
[3:58:45] たなかっち123: 出た？
[3:59:04] fukutoto: キムチでまたお腹壊したら笑う
[3:59:24] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:00:08] のどごし悪男: 錆びちゃう
[4:00:15] スギヒロ: サーマルからのリグ…？
[4:00:22] fukutoto: 救急隊呼べそう？
[4:04:19] キーア: おお
[4:07:55] キーア: えびすくん、るんるんちゃん、パンナちゃんか
[4:08:46] ロジーー: そういう意味ではバランス〇か
[4:08:52] fukutoto: 安倍も
[4:09:19] キーア: えびすくんはちょっと先輩なのか同期なのか
[4:09:27] fukutoto: 安倍、レッサンが2/6、
[4:09:38] ニクロ: フードしなくていいか？
[4:10:13] キーア: 市長！！
[4:10:17] fukutoto: 2/9がバーバリアン田中だった気がする
[4:10:23] fuwayuuuui: 市長！
[4:10:23] ararara_tan: 市長ー！
[4:10:29] funibo: かるｗ
[4:10:53] ロジーー: あ
[4:10:53] funibo: あｗ
[4:10:56] ロジーー: やっば
[4:10:58] キーア: でたw
[4:11:02] ロジーー: 元上司・・・
[4:11:07] fukutoto: 建て替えで消えるからw
[4:11:18] ロジーー: あｗｗｗｗ
[4:11:27] スギヒロ: ネ、ル
[4:11:27] ふぁいぴ: クビｗ
[4:11:30] ri_nemuri: 一旦署長クビかｗ
[4:12:22] ri_nemuri: ｗｗｗ
[4:12:26] キーア: www
[4:12:44] スギヒロ: すげええええｗ
[4:12:51] fukutoto: 昨日のだw
[4:12:53] ふぁいぴ: おもろ
[4:12:59] Himawari_252: めっちゃいいw
[4:13:05] katawaraitai: 昨日のやつか
[4:13:29] よくすい: なんで ミンドリー
[4:13:41] よくすい: さん いないときに限っていろいろあるのｗ
[4:14:31] funibo: ｗｗｗｗｗｗｗ
[4:14:37] キーア: 30！？
[4:14:57] よくすい: 一旦 なくなったんだけどなぁ・・・
[4:15:27] ri_nemuri: ！？
[4:15:28] fukutoto: wwwww
[4:15:33] キーア: すぐ言うやんw
[4:15:33] katawaraitai: 言っちゃったw
[4:15:35] ararara_tan: 教えてくれんだよwww
[4:15:43] funibo: なんでそんな軽いんwwww
[4:15:51] よくすい: え？
[4:15:52] キーア: まぁ市長だしw
[4:15:56] fukutoto: 今日金が飛ぶなー
[4:16:21] fukutoto: あっ
[4:16:41] よくすい: ん？
[4:16:49] ararara_tan: マリオ…
[4:17:02] スギヒロ: ｗｗｗｗｗ
[4:17:04] ri_nemuri: ｗｗｗｗ
[4:17:08] キーア: www
[4:17:12] fukutoto: マリオ逃げたw
[4:17:43] よくすい: あら
[4:17:44] funibo: 誰w
[4:17:49] キーア: なんかギャングいるなwww
[4:18:01] スギヒロ: 伊達崎・・・？
[4:18:43] ロジーー: 善玉菌・・・ｗ
[4:18:45] ri_nemuri: ギャング界の善玉菌ｗ
[4:18:54] fukutoto: こんなにいると警察署襲撃されそう
[4:20:09] ロジーー: 市長消えたか
[4:22:46] ロジーー: 圧凄い
[4:23:56] キーア: www
[4:23:58] ロジーー: ネルさん・・・ｗ
[4:24:05] fukutoto: ww
[4:25:44] ロジーー: 補助輪実装か
[4:27:05] ロジーー: さて正解は！？
[4:27:25] ロジーー: わくわく
[4:27:31] ロジーー: あ
[4:27:41] fuwayuuuui: あ
[4:28:00] スギヒロ: あ
[4:29:03] たなかっち123: ちゅーちゅー残ったw
[4:29:04] スギヒロ: 宝石強盗を今日こそ捕まえる
[4:29:06] ロジーー: 今回は４台？５台か
[4:29:30] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:29:41] ロジーー: １２人ｗｗｗｗ
[4:29:53] スギヒロ: ヘリつれてこよう
[4:29:59] ri_nemuri: 大型みたいな量なってきたw
[4:30:20] ロジーー: 仲いいなぁ
[4:30:28] ロジーー: 後ろでイチャイチャしてる
[4:30:45] ロジーー: ｗｗｗｗ
[4:30:47] スギヒロ: 今日はどんなルート通るんだろ
[4:30:49] ロジーー: ネルさんカワヨ
[4:30:50] oshuski: こんばんは。がんばれー
[4:30:51] fukutoto: フラグw
[4:30:53] funibo: さっきぶつかってきてたし…
[4:31:17] ロジーー: スタートでぶつかりそ
[4:31:41] スギヒロ: シートベルトｗｗｗ
[4:31:48] 褒めらにあん: wwwwwwww
[4:32:00] スギヒロ: 敵は味方にいたのか！？
[4:32:08] rfa9: 着ててよかったアーマーだな
[4:33:00] ロジーー: これは楽しそうだな
[4:33:14] funibo: おみごと
[4:34:00] ロジーー: 距離とられると一瞬だな
[4:34:03] スギヒロ: くっそぉーだめか
[4:34:38] ロジーー: あ
[4:35:04] ロジーー: あの距離空くと無理だね
[4:35:18] funibo: すこしずつ知識と技術の差なくなってるといいな
[4:35:22] スギヒロ: 追うのやっぱ難しいなぁ、楽しいけどｗ
[4:35:23] ロジーー: あれもリスクだよなぁ
[4:36:00] スギヒロ: 研究してるねー
[4:36:24] ロジーー: あの距離空いたらちぎられる
[4:36:27] たなかっち123: 悔しいけど学びにはなるね
[4:36:50] ro_rerai: アーマーってやっぱちゃんと強いんだなw
[4:37:18] fukutoto: iFAKSって回復出来なくなった？
[4:37:55] スギヒロ: 愉快な話し方をする犯人だ
[4:38:29] ロジーー: ｗｗｗ
[4:39:22] ri_nemuri: 車が遅いなぁw
[4:39:26] ロジーー: なんか、なんかなぁ・・・？ｗ
[4:39:34] ロジーー: たいほ
[4:39:38] キーア: あ
[4:39:42] fukutoto: えっww
[4:39:52] ふぁいぴ: 血まみれｗ
[4:39:55] hyumnkel: ｗｗｗｗｗ
[4:39:56] hagemaru0: しんじゃったー
[4:39:59] ri_nemuri: www
[4:39:59] キーア: wwwww
[4:40:01] fukutoto: ダウンw
[4:40:02] ふぁいぴ: BibleThump
[4:40:02] ロジーー: アタック禁止だけど逮捕しちゃダメじゃないよね？
[4:40:05] たなかっち123: www
[4:40:06] funibo: 心なしにやたれたw
[4:40:14] はっこ310: 心なきにアタックされたｗ
[4:40:32] スギヒロ: アンブレラのマークか？
[4:40:50] キーア: そっちもダウンしたのかw
[4:41:08] ロジーー: 今のうちに修理かね
[4:41:18] yoshihikon74: ねぇギルくんだったのかよwwケインオー
[4:41:34] ri_nemuri: www
[4:41:35] fukutoto: ギルくんって誰だ？
[4:41:36] ロジーー: むしろ報奨金でも・・・
[4:41:38] キーア: www
[4:41:53] よくすい: だぁれ？
[4:41:56] katawaraitai: 賄賂か？
[4:42:16] yoshihikon74: 抑制されときます♪
[4:43:31] ロジーー: ｗｗｗｗ
[4:43:50] ロジーー: パトカーに追突・・・
[4:45:10] スギヒロ: この街の頭脳、有坂さん
[4:45:17] ロジーー: ｗｗｗｗ
[4:45:22] fukutoto: wwwww
[4:45:23] キーア: www
[4:45:24] funibo: wwww
[4:45:48] ロジーー: 割とおもろいことなったなぁｗ
[4:46:00] tubakuro2: こんばんは
[4:46:06] スギヒロ: 面白い捕まり方ｗ
[4:46:07] shin_1930: ギルくん的に闇堕ちする予定はあるの？
[4:46:13] ロジーー: この車遅いからきっとフラグだった
[4:46:26] fukutoto: 自分が起こす可能性もあるけどw
[4:48:21] ロジーー: 卸花さんもおるな
[4:48:42] fukutoto: スルーされたなw
[4:48:50] キーア: おばあちゃんおるwww
[4:49:00] fuwayuuuui: 赤ちゃんもいる
[4:49:00] ロジーー: どこかのおばちゃんか
[4:51:28] funibo: ついにきたか
[4:51:53] fukutoto: 今のラーク？
[4:52:06] よくすい: 市長！？
[4:52:16] ri_nemuri: ｗｗｗｗ
[4:52:18] キーア: 市長1カウントまじかw
[4:52:24] キーア: 最強くるじゃんwww
[4:53:40] スギヒロ: そこらじゅうにいそうな雰囲気だぁ
[4:54:21] スギヒロ: ふぁいとー
[4:55:04] fuwayuuuui: 市長マジでくるん？
[4:55:46] funibo: いいぞー！
[4:56:04] ふぁいぴ: いいぞ～
[4:56:10] たなかっち123: うまい！
[4:56:12] ri_nemuri: つええええ
[4:56:16] キーア: いいぞー！
[4:56:24] スギヒロ: 今日強いぞケインオー！
[4:56:30] 褒めらにあん: 最強！
[4:57:09] ny45sk: ぎるくんやったんや(笑)初知り
[4:58:18] よくすい: ｗ
[4:58:18] fukutoto: 市長w
[4:58:19] funibo: 草
[4:58:24] キーア: しちょーーー！
[4:58:30] fuwayuuuui: しちょー！
[4:59:00] たなかっち123: 戦力じゃなくて権力で行って欲しいw
[4:59:07] fukutoto: 覗きだと体出るのか
[4:59:10] スギヒロ: 市長お散歩でもしてたのか…！？ｗ
[4:59:32] Nightbot: Twitter:https://twitter.com/R6S_guilty
[4:59:34] fukutoto: 市長が大穴上だった
[5:00:55] fourcards5151: 指示系統がちょっと混乱してる
[5:03:24] ri_nemuri: 頑張れー！
[5:03:35] fourcards5151: 時間かかりすぎたなあ
[5:04:49] fourcards5151: GG
[5:09:08] fukutoto: グレ
[5:09:11] ri_nemuri: ；；
[5:09:11] funibo: おおすぎｗｗｗ
[5:09:13] キーア: きちぃ
[5:09:14] yoyoburoyu: むりだーｗ
[5:09:32] よくすい: あら
[5:09:34] koppepan5963: なんでアジト逃げないんだ
[5:09:35] スギヒロ: むりだぁｗ自爆グレワンちゃんだったなｗ
[5:09:39] ふぁいぴ: BibleThump
[5:09:48] Rocky12012: ナイフさえあれば
[5:10:06] ロジーー: 補充してなかったか
[5:10:44] ロジーー: 車やれてればなぁ
[5:10:50] tubakuro2: ｗｗｗ
[5:10:56] キーア: www
[5:10:56] よくすい: ｗｗ
[5:10:58] ふぁいぴ: ｗｗｗ
[5:10:58] ロジーー: ちゃんと補充しましょうね
[5:11:01] fukutoto: ここ3日弾の使用数増えたし
[5:11:09] よくすい: ん？
[5:11:20] funibo: 気持ち多めにたま持っていたほうがいいか
[5:11:31] よくすい: nf
[5:11:34] hiiro_9013tw: 個人医か？
[5:11:52] ri_nemuri: やさしいｗ
[5:11:56] よくすい: w
[5:11:56] キーア: www
[5:12:08] ロジーー: ここまで来るときついかな
[5:12:35] 草槍: ギャングはギャングなんだけど一番ギャングぽく無いアイリスとか言うギャング
[5:12:38] funibo: 草
[5:12:45] ふぁいぴ: ハチャメチャや
[5:13:09] スギヒロ: 個人医か…白服だし
[5:13:22] fukutoto: 闇個人医だからめっちゃ高かった気がするけど...
[5:13:48] fukutoto: どっちだ？
[5:15:17] キーア: guilty38Nayamu guilty38Nayamu guilty38Nayamu guilty38Nayamu
[5:15:17] ロジーー: そいや今日弾確認してなかったね
[5:15:20] スギヒロ: 無限に弾をよこせええええええええ
[5:15:36] ロジーー: そういう機会もなかった気もするけどｗ
[5:15:41] funibo: 確実に撃ち合い強くなっているがゆえの弊害
[5:15:45] sbtn80: いい教訓になった
[5:15:57] 草槍: まぁ出勤したタイミングで確認するのが良いね
[5:16:03] キーア: あら？
[5:16:12] よくすい: 学び。
[5:16:12] ロジーー: 良い感じだっただけに残念ね
[5:16:35] ロジーー: ２ダウンとったまで超順調だったのに
[5:16:55] 草槍: ましろ先生はロボットにも優しいなぁ
[5:18:50] fukutoto: まあ銃があんだけ消耗してるし
[5:21:01] fukutoto: これレースでだよね
[5:21:26] ri_nemuri: どんなやばい人がゲストなんだよｗ
[5:22:30] fukutoto: 爆破された車ってケインの車だったのか？
[5:28:16] fukutoto: ナイス
[5:28:19] funibo: とりあえずナイスw
[5:29:13] 93マス: 抑制性交
[5:29:17] 93マス: 成功
[5:29:21] Nightbot: Twitter:https://twitter.com/R6S_guilty
[5:30:11] fukutoto: wwwww
[5:31:26] fukutoto: 銀行強盗だよねw
