[0:00:20] 小太刀00: おはよございます！
[1:02:13] goumoukunx: そいつは何様だえ
[1:02:13] すぱ: 飛行場だっけ？
[1:02:14] suuujiro: 〜して！ってやつ？w
[1:02:15] tiri_0506: 指示コメ、批判コメ、鳩コメするなって運営も言ってるのにねwww
[1:02:16] shigechan3rd: 毎回バンした内容伝えたらみんなビビッて指示なくなりそうｗ
[1:02:17] zenith_ar: キモかったやつだw
[1:02:20] プッチンプリン: IGLｗｗｗ
[1:02:21] 半濁点: 不快なコメは見る人を減らすからよくないよね
[1:02:27] ぜろぜろ: 指示する人やってみろって話だよな
[1:02:28] cheeeeekun: 何々しろって書いてあったえ
[1:02:36] じぇーざ: WutFace
[1:02:38] れのだお: お母さんやんw
[1:02:38] hirata923: なかなかえぐいなw
[1:02:40] mci_foden: ゾワッ！
[1:02:41] cheeeeekun: 飛行場のやつーだえ
[1:02:43] 由笑: 終わってるwwwwwww
[1:02:47] ムー1030: 終わってるな
[1:02:49] tarou0796: きちぃ
[1:02:49] とろとろぴく: あ
[1:02:49] zenith_ar: それで指示コメじゃないですは笑うw
[1:02:52] onann92: え
[1:02:55] 朕は沢田: 純度100%の指示コメだね
[1:02:55] Stella7777: そんな人達はストグラ見るの向いてないw
[1:02:56] atsumori_pop: そういうコメあると他の観測者もイヤーーーな気持ちになるえ
[1:02:56] mocasann: 観測初心者は半年ROMが鉄則よ
[1:02:56] 海猫だおーん: え？
[1:02:58] setunry: やばいか
[1:02:58] nyonmenm: なんか入り込んでくるよなめっちゃ
[1:03:00] とろとろぴく: 逃げろー
[1:03:03] dorokage: ヘリの音が
[1:03:05] toritani_paak: こっわ
[1:03:07] mk4869: ありけんさん！ストグラと関係ないのですがどうしても言いたくて、ありけんさんのスト６鯖めっちゃ良かったので本当にありがとうございます！
[1:03:07] シングルモルト: やばいえ
[1:03:09] ジヴァ: ヘリいた？
[1:03:09] omni_ixa: こええ
[1:03:09] aosame_kai: 急にえ、は怖いて
[1:03:14] wonda05: 天竜人らしく気に食わないのは消すえ
[1:03:17] じぇーざ: セーフ
[1:03:20] しぇぱ3: こわｗ
[1:03:21] なっとぅーさん: 一旦ね
[1:03:21] すぱ: 怖すぎるえ
[1:03:22] ムー1030: どうぞ
[1:03:22] r_ronge: 急に無言やめてww
[1:03:22] らんぱ: もう十分だえ
[1:03:23] とろとろぴく: あり
[1:03:24] やおねえ: やばかったえ
[1:03:25] george_1017: にげろー
[1:03:26] megaflame35: こわい
[1:03:26] ムー1030: ね
[1:03:26] papapapupepon: まだ舞える
[1:03:27] omni_ixa: 利確
[1:03:27] kazuya1048: 正解！
[1:03:27] 1103arashi: こわいえー
[1:03:29] zenith_ar: こわいw
[1:03:30] kaniganisamurai: ドキドキチキンレース
[1:03:30] ムー1030: こわかったね
[1:03:30] jonyfu15: こわいえ
[1:03:31] 赤見二等兵: いったんちる
[1:03:31] setunry: びびったえ
[1:03:32] 海猫だおーん: 捕まるよりマシだぇ
[1:03:32] cheeeeekun: いったんチキるえー
[1:03:35] 寺田恋心: arikenDaiseikai
[1:03:38] nyonmenm: 賢明だえ
[1:03:38] ききぬ: こんばんだわぇ！
[1:03:39] はっぴーまろ: 家に帰るまでが遠足や
[1:03:42] league_snow: ヘリの音こえー
[1:03:42] gundora23: 危機管理能力〇
[1:03:42] shimayu: びびったー
[1:03:44] らんぱ: カジノと一緒だえ
[1:03:46] goumoukunx: 慎重なのは大事だえ
[1:03:46] kazuya1048: 賢い！
[1:03:47] rinnemu75: ヘリはサイレンないから賢いえ
[1:03:47] 半濁点: 冷静だ
[1:03:48] sumikkooooo: ヘリがいっちゃん怖い
[1:03:48] 直生: さすが
[1:03:49] エメリ: だえー
[1:03:50] aosame_kai: 正解だえ
[1:03:50] ムー1030: いわなかったけど よく聞いてたね
[1:03:50] atsumori_pop: 最高の判断だえ～！
[1:03:51] めるしぃ12: リスク管理だえ
[1:03:51] tanakeeen: BAN開放の動画見たけどめっちゃおもろかった
[1:03:51] robin2jr: リスク回避えｗ
[1:03:52] しゅららぼん03: BANされたら閲覧出来なくなる？
[1:03:53] nonowdd: 見聞色ですか
[1:03:53] 朕は沢田: 捕まったら意味無いもんな
[1:03:54] mocasann: ブラックジャックと一緒
[1:03:54] toritani_paak: 犯罪者が板に付いてきたな
[1:03:55] なっとぅーさん: せーふてぃー
[1:03:56] シングルモルト: こわいえ
[1:03:56] nyonmenm: カジノで学びました
[1:03:58] たろをまんじ: 知能派チャルロス
[1:03:59] nsgrn__: カジノと一緒で引き際大事だえ
[1:03:59] 海猫だおーん: ナイス逃げだえ〜
[1:03:59] weygw_: カジノの引き際と一緒
[1:04:01] たかんたでーす: まじで前回連コメが申し訳ないと思った
[1:04:09] hotmilk4649: 危機管理〇
[1:04:10] 1120meguuu: ヘリの音怖すぎてw
[1:04:14] 朕は沢田: 引く時は引くことが大事ってことか
[1:04:18] aosame_kai: それが丸い
[1:04:21] 海鼠: 捕まる方がつらいもんな
[1:04:26] ムー1030: @しゅららぼん03 閲覧もコメントもできなくなる。
[1:04:30] izagi180: ボタリンのために堅く稼ぐえ
[1:04:30] ききぬ: 犯罪の駆け引き
[1:04:32] toritani_paak: 意外と街から近いな
[1:04:33] 直生: ここで捕まるのダルえ
[1:04:33] mk4869: ありけんさんストグラだと犯罪者やってるんだｗ
[1:04:39] kazuya1048: ほぼ満タンくらい出しおけー
[1:04:40] エメリ: 着実にいくえー
[1:04:47] aosame_kai: 罰金とプリズンだっけ？
[1:05:02] ムー1030: ばっきんより 花全部とられるのがきついえ
[1:05:02] 直生: えええｗ
[1:05:06] mocasann: www
[1:05:07] しゅららぼん03: BANされたら側は分かるんだね。 @mu1030  ありがとうございます！
[1:05:07] ムー1030: ｗｗｗ
[1:05:07] texcoawg1309: ｗｗｗ
[1:05:08] Kaminagi_TKP: ｗｗｗｗｗｗｗｗｗ
[1:05:11] cheeeeekun: わきおだえー
[1:05:11] 夜食はお茶漬け: ｗｗｗｗｗ
[1:05:12] lsdlsd5: w
[1:05:12] aosame_kai: www
[1:05:12] mini_gori: wwwwwwwwwwwwww
[1:05:13] すぱ: ｗｗｗｗｗｗｗ
[1:05:13] 海猫だおーん: wwwww
[1:05:13] ソルティー_: www
[1:05:14] ききぬ: くさ
[1:05:15] とろとろぴく: wwww
[1:05:15] aosame_kai: わきを
[1:05:16] tricluster: わきをｗｗｗｗ
[1:05:17] 朕は沢田: わきをかwww
[1:05:17] mikenyan089: 衛星外ちね
[1:05:18] atsumori_pop: まーた衛星外だよｗｗｗｗｗｗ
[1:05:18] ponz__6: wwwwwww
[1:05:20] yutan30: www
[1:05:20] onann92: わきくん
[1:05:20] たろをまんじ: 衛星外わきをww
[1:05:20] 直生: 衛星外わきをｗ
[1:05:21] shin_misou: wwwwwww
[1:05:22] ムー1030: 衛星外 事故ｗｗｗ
[1:05:22] みゃみゅみょん: www
[1:05:23] かぷちーのさん: ww
[1:05:23] 1103arashi: わきをだえーww
[1:05:26] r_ronge: わきおかwww
[1:05:27] すぱ: そんなことある？ｗｗ
[1:05:27] texcoawg1309: すごいダサいところ映っちゃったｗ
[1:05:31] mentanpin3shock: わきを…w
[1:05:32] zenith_ar: w
[1:05:32] MolympoS: わきをってなんでこんなにおもろいんだ
[1:05:34] 海鼠: 衛星外で事故はなぁ・・・
[1:05:36] aosame_kai: やめてやれwww
[1:05:40] 朕は沢田: おもろすぎ
[1:05:44] mentanpin3shock: wakiwaNaki wakiwaNaki wakiwaNaki
[1:05:45] まろんちゃんこ: 衛星外多いえ〜
[1:05:48] ききぬ: こんな広い場所で会うの笑う
[1:05:50] しゅららぼん03: www
[1:06:04] レヴィ99: 薬やってたのかな
[1:06:08] atsumori_pop: これで１ランポ８００万分の稼ぎか、デケエ！！
[1:06:10] はっぴーまろ: ないす～
[1:06:16] nonowdd: いっぱいだぁ
[1:06:16] さんたろ30229: チャルロスは衛生つけてくれるから有難い
[1:06:19] ききぬ: 衛星外の方が撮れ高ある説
[1:06:20] ムー1030: @しゅららぼん03 軽い６００秒タイムアウトもあるから わからないけどね。最初はたぶん
[1:06:23] しゅららぼん03: わきをの衛星外やらかしがいちばんおもろい
[1:06:29] デクだよ: こんばんはだえ
[1:06:31] nyonmenm: ファーム得意？
[1:06:37] takusuke61: 集めるとまた水も必要になってくるのか花
[1:06:38] たろをまんじ: もう19日目か
[1:06:39] コタロー15: この場所、いいですね！
[1:06:41] 直生: すごい荷物入れやすい家
[1:06:44] ムー1030: ありそうね
[1:06:56] レヴィ99: 良い場所にスタッシュ置いてくれたな
[1:06:56] Kaminagi_TKP: https://clips.twitch.tv/AmusedHeadstrongPepperSuperVinlin-lyUfF9XrT-3ymnKE
[1:06:57] george_1017: いいねー！
[1:06:59] しゅららぼん03: タイムアウトor永久BANなんかな ありがとう！
[1:07:02] 海猫だおーん: チャルのファーム元々の雑談がおもろいから飽きないえ もっとやって欲しいえ
[1:07:11] cheeeeekun: ファームは質問拾ってもらえるから嬉しいえ
[1:07:18] デクだよ: 家があるっていいえ
[1:07:21] aosame_kai: www
[1:07:25] atsumori_pop: こういうのが気持ちいいよなあ～～～～
[1:07:31] 海猫だおーん: お
[1:07:39] tanakeeen: 貯金額見てニヤニヤ
[1:07:58] らんぱ: わきをもいるなら心強いえ
[1:08:06] 朕は沢田: 今3億もあんのか
[1:08:10] ootane: BANて誰がやるんですか？？
[1:08:25] cheeeeekun: @ootane チャル
[1:08:31] さんたろ30229: とモデレーター
[1:08:31] 直生: スケボーでも行ける？
[1:08:34] kazuya1048: いい所に家買えたね
[1:08:36] takusuke61: ちっか
[1:08:36] たろをまんじ: めちゃ近い
[1:08:40] mk4869: Cheer100 さっきミスでお礼でコメントだけ投げてしまったので！ スト６鯖感謝
[1:08:40] 海猫だおーん: ちっか
[1:08:41] onann92: ちか
[1:09:05] suuujiro: お家めちゃくちゃいい場所やね
[1:09:06] とろとろぴく: このねりねりがいちばん怖い
[1:09:09] 2525nicolas: これ作った薬をゴミ箱に隠しておくとかできるんかな
[1:09:19] 生はむメロンパン: 生はむメロンパン subscribed with Prime. 
[1:09:27] 14yasulipps__: どきどきするえ
[1:09:30] sumikkooooo: こんなところに精製場があったのか、
[1:09:30] r_ronge: 緊張するえ
[1:09:34] 海猫だおーん: この音…癖になるぇ…
[1:09:40] cheeeeekun: これでおいくら分だえー？
[1:09:44] atsumori_pop: チルタイム
[1:09:55] みねのさわらび: がんばれだえー
[1:10:04] レヴィ99: 120ってママ言ってたね
[1:10:09] ソルティー_: チキンライスにしか見えない
[1:10:21] 直生: けっこう大変
[1:10:22] デクだよ: お薬チネるタイム、略してチルだえ
[1:10:34] ムー1030: かかるえ
[1:10:42] とろとろぴく: まだ18時半…まだまだクスリが作れる！
[1:10:43] tranquilo_japon: 高木、葉最近起きてこないね
[1:10:46] aosame_kai: だから捕まったらみんなキレるえ
[1:10:48] atsumori_pop: めちゃくちゃアクセスいいなあｗｗｗ
[1:11:05] nsgrn__: 配信外で動画見ながらやって爆発するんだえ
[1:11:16] ムー1030: 近いだけましなのか
[1:11:21] ムー1030: そうですね
[1:11:23] とろとろぴく: リスクはね
[1:11:25] Kaminagi_TKP: だから花摘み業者頼んでる人いるんだろうねぇ
[1:11:29] kazuya1048: 確かにね
[1:11:29] れのだお: 高木相当スト6のモチベあるんだろうな
[1:11:30] とろとろぴく: 車もってかれないからかなり
[1:11:30] hiropon79: 欲張るとダメなんだな
[1:11:40] たまごかけごはーん: リスクヘッジがうまいえ
[1:11:45] 直生: しかも車取られない利点
[1:11:46] aosame_kai: プリズンだえ
[1:11:59] r_ronge: 比較的安全だぇ
[1:12:30] ムー1030: １２０＝１５００万
[1:12:36] robin2jr: それなら売人の近くに家あるのもいいかも？ｗ
[1:12:39] takusuke61: SMGもってるだけでもだいぶ安心できそう
[1:12:41] shigechan3rd: 下振れたら1000万くらいか
[1:12:43] _ねねね_: こんばんはだえー
[1:13:01] ムー1030: ママもなんで声ちいさいのｗ
[1:13:05] aosame_kai: www
[1:13:05] atsumori_pop: でもネタが・・・！
[1:13:05] 直生: 誘惑きたーｗ
[1:13:14] kashu88: 値段変動するよ〜
[1:13:15] しゅう1017: こん
[1:13:19] レヴィ99: 1日240個売れるのか
[1:13:22] だーすだよ: これ売るのが制限あるだけでなんこでもつくれるの？
[1:13:43] たまごかけごはーん: 餡ブレラの立地すごいえ
[1:13:43] デクだよ: 薬生成所から出る時が怖いえ
[1:13:59] riou18: 金洗いより楽だえ
[1:14:02] 直生: 1大型と考えると
[1:14:05] ムー1030: @だーすだよ 値段が下がるけど無限にうれる売人もいるよ
[1:14:05] ジヴァ: 最近カジノで簡単に儲けすぎてるか
[1:14:06] texcoawg1309: 普通に働くと思えばとんでもないスピードだえ
[1:14:07] aosame_kai: そう考えるとBMCヘイスト本当に起きそうだえ
[1:14:31] karumimaguro: おお
[1:14:31] aosame_kai: www
[1:14:35] ムー1030: がんばれ
[1:14:37] 直生: 夢の20億の家買うまで
[1:14:38] karumimaguro: 頑張れ
[1:14:40] 寺田恋心: がんばれ
[1:14:41] namori23: TwitchConHYPE TwitchConHYPE TwitchConHYPE
[1:14:44] しろしろくんどっと: そう考えるとVCRの時の無限売人ヘイストってあれ準備にヤバい時間かかってない？
[1:14:45] yolu_shikimi: 一夫多妻目指す？
[1:14:48] ネオちー: 美人局にやられるタイプだ
[1:14:48] デクだよ: 目標があるのはいい事だえ()
[1:14:49] aoyanx: ボスの着信音の話聞いてから怖いえ
[1:14:50] atsumori_pop: 18日目の男に4億利子付きで貸そうとする女だぞ！？
[1:14:51] rcyijninjn: ころもちゃんルートはなくなったのかえ
[1:14:54] らんぱ: 20億の家でスローライフだえ
[1:14:58] setunry: なんか毎回隣に止まってる車変わってない?wwww
[1:15:02] 直生: 他に買うもあるよねｗ
[1:15:05] texcoawg1309: 20億おもしろすぎるｗ
[1:15:06] たろをまんじ: ボタリン怖いえ
[1:15:07] とろとろぴく: ボタリンさんってボスが天敵って言ってなかったか？
[1:15:07] shigechan3rd: ぼたりんに唐揚げにレモンかけるか聞いたかえ？
[1:15:08] ムー1030: ｗ
[1:15:09] aosame_kai: www
[1:15:09] アサダおきろ: たくさんのルートが残ってるえー
[1:15:10] karumimaguro: ww
[1:15:14] ムー1030: もらったようなものｗｗ
[1:15:18] iytreszhii: ばかだww
[1:15:19] 捲土重来けんど: 熱い確定ボーナスだえ
[1:15:22] saikeufc: 夢の世界の家は何億だえ？
[1:15:28] zenith_ar: 知らない間にそんなことあったのかえww
[1:15:35] デレステの民: こんばんは、
[1:15:38] edix53: 合コンいくよね？ボタリンさん…
[1:15:42] atsumori_pop: むしろ毎日催促電話という名のラブコールが来るからプラスかｗｗｗｗ
[1:15:46] kamunagi1105: 賃貸？
[1:15:47] ムー1030: 田舎だと億だとやばいねｗｗ
[1:15:48] 芋川芋機: 20億の家買ったら結婚て、ハニートラップじゃない？www
[1:15:50] _るるちゃん: おは！
[1:15:52] hiropon79: 家買ったんだっけ？
[1:15:55] TYdaaa: あれって平屋なの？
[1:15:57] ネオちー: 4000あれば良いの建つね
[1:16:11] tepapa: 東京は賃貸かえ？
[1:16:16] 狐爪: 土地代えぐかったわ
[1:16:21] weygw_: 実家じゃなくて普通に家？
[1:16:22] さんたろ30229: すご
[1:16:32] ムー1030: それはびびる
[1:16:35] とろとろぴく: 富豪すぎる
[1:16:37] lelelele4415: マジで田舎だと土地代くらいしか高いのない
[1:16:44] yolu_shikimi: 都内は概ね億だえ
[1:16:49] エービー: ビビりたかった
[1:16:49] 捲土重来けんど: 夢がありすぎるえ
[1:16:53] ムー1030: 田舎の億は 東京だと５億はするえ
[1:17:05] hiropon79: 都内の地価いかれてるよなまじで
[1:17:12] awpt321: 東京とかやと逆に億の家でこんなもんかってなるよね
[1:17:19] ムー1030: せまいよねｗ
[1:17:40] weygw_: 都内ならマンション買った方がよさそう
[1:17:50] ムー1030: こわいとおもう
[1:18:02] riou18: 田舎は学校が廃校になりそうだえ
[1:18:06] エメリ: 物価も高いしなー
[1:18:07] ソルティー_: 田舎でのびのび育てたい
[1:18:08] namori23: 埼玉はいいぞ
[1:18:12] シングルモルト: こわいえ
[1:18:14] ob_a: 今は賃貸から配信？
[1:18:24] デス納豆: 23区外だったらそうでもないえ
[1:18:27] みみまい: 都下は結構土地あるえ
[1:18:30] りゅうとうだび: うちの近所の子供が家の前で飛び出して３回跳ねられてるえ
[1:18:33] アリス__: 田舎すぎると学校がない
[1:18:47] 由笑: 田舎だったから三輪車で爆走して公園いってた
[1:18:56] ジン1002: それはそうですけど、仕事してるとなかなか田舎方面は難しいですね(>_<)
[1:19:04] おむすびくん39: 都内まで30分で行ける田舎がちょうどいいえ
[1:19:10] megu0418: チャリ乗れるん？
[1:19:18] nero_0306: ストリーマーとかYouTubeとか稼げるえ？脱サラしたいえ
[1:19:19] しろしろくんどっと: 山梨はどこ通ってもうどん屋あるから放課後最高だったえ
[1:19:25] ムー1030: 仕事してるひとはいるでしょうけど
[1:19:26] みみまい: 若い子はありそう
[1:19:29] 朕は沢田: 都内に家建てるってなったら金クソかかりそう
[1:19:33] アリス__: あと人いなさすぎるのもこわくない？
[1:19:41] とろとろぴく: 最近はきつい
[1:19:44] ムー1030: 今はようつべも広告収入低いしなぁ
[1:19:52] kamunagi1105: チャル初めての風俗行くから応援してくれ
[1:19:54] らんぱ: 今からは大分狭き門だえ
[1:20:00] lelelele4415: 農業関係の仕事してるけど、稼げるええ〜
[1:20:06] とろとろぴく: コロナ手前くらいから始めてたら行けてた線はあるかもだえ
[1:20:19] ob_a: 配信はずっと家からしてるの？
[1:20:22] ムー1030: 休んだらおわるえ 人気が
[1:20:30] とろとろぴく: そうやなー
[1:20:37] 由笑: 健康面も心配だ
[1:20:38] atsumori_pop: 自己管理に自信ないから絶対無理だなあ
[1:20:46] りゅうとうだび: ロケット花火みたいだえ
[1:20:46] rntyry: ゲッタンが今のご時世ではやるとは思えない。昔のバズリは敷地がひくかった
[1:20:47] samon5292: 配信者とパチプロはきついえー
[1:20:49] 芋川芋機: プライベートがなくなるっていうよね
[1:21:02] shigechan3rd: 切り抜きの動画も自分で作ってるんですか？
[1:21:09] レヴィ99: 気持ちが休まなそう
[1:21:11] ro__ots: 瀬戸さんは異常だえ
[1:21:14] shin_misou: なるほどね〜
[1:21:15] ムー1030: それが苦痛じゃないならってことだよねｗ
[1:21:17] weygw_: 人に雇われるのが1番気楽
[1:21:27] みみまい: テレビ怖いえ
[1:21:29] 由笑: ん〜歌い手もやばい
[1:21:30] TYdaaa: もうテレビは終わりえ
[1:21:32] らんぱ: 時代の転換期だえ
[1:21:32] ソルティー_: 出てきてるね
[1:21:33] エービー: たしかに
[1:21:35] ムー1030: 最近 芸人でもようつべ一人でやってますよね。食べ歩きとかｗ
[1:21:41] hiropon79: お笑い芸人は下積みもっと辛い
[1:21:42] nero_0306: 前から気になってたんだけど、スト6の大会って賞金いくらだえ？
[1:21:44] 海猫だおーん: テレビ自体もやばいしなぁ
[1:21:46] とろとろぴく: 歌い手はまずい
[1:21:46] とこた: 隠れてたものがね
[1:21:46] 湘南マグナム: あ、れ
[1:21:48] ぷりぷりえび炒飯: アレか
[1:21:48] NiteFthr00: おっとっと
[1:21:48] TYdaaa: る、しあ
[1:21:48] ghosthunt98: あ、れ
[1:21:48] らんぱ: あれ、ですか
[1:21:49] rntyry: 歌い手アイドル
[1:21:50] 狐爪: あ
[1:21:51] ムー1030: あれ
[1:21:52] nonowdd: あ、れ
[1:21:52] みみまい: あれ、だえｗ
[1:21:52] ナマコ魚雷: あ
[1:21:53] 海猫だおーん: あれ
[1:21:53] デス納豆: みけ、
[1:21:55] kazwackab: ま、ふ
[1:21:56] NiteFthr00: あ
[1:21:56] リーヅモ裏裏: あ
[1:21:57] とろとろぴく: あ
[1:21:58] 狐爪: 特級の話しやめてね
[1:21:58] ghosthunt98: この話やめとこう
[1:22:00] ぷりぷりえび炒飯: 一生一緒
[1:22:03] ちょろまつ: あれは怖すぎる
[1:22:03] texcoawg1309: あ
[1:22:07] りゅうとうだび: 一生一緒
[1:22:16] みみまい: ｗｗｗ
[1:22:19] ムー1030: いえない
[1:22:19] やいゆえよよ: くだらん
[1:22:20] zenith_ar: やめようこの話ww
[1:22:21] とろとろぴく: 特級呪霊と特級呪物
[1:22:21] デクだよ: みんなやばいえ
[1:22:24] ムー1030: やめましょうｗ
[1:22:24] allie2209: 誰もわからん
[1:22:24] 由笑: wwww
[1:22:24] rntyry: 登場人物全員わるい
[1:22:26] ぺろさんだよ: ｗ
[1:22:27] texcoawg1309: 泥沼だえ・・・
[1:22:27] hinn_h: 頭痛くなる
[1:22:32] さけじゃけ: 当人同士の問題
[1:22:34] hiyokomanjuuuuu: どっちもどっち
[1:22:34] すけちょびん: 消されるえ
[1:22:36] TYdaaa: 誰が嘘ついてるか分かんないからね
[1:22:37] ronon_kon: 正しい情報かどうかがはっきりしないからねぇ
[1:22:38] NiteFthr00: 怖い
[1:22:39] みみまい: 人間怖いえ
[1:22:41] annihilator_119: 全員ばけもんだえ
[1:22:44] mocasann: 夫婦喧嘩をSNSでしないで欲しい
[1:22:48] megu0418: もう120個じゃん
[1:22:51] デクだよ: 薬疑惑も出てる人もいるし怖いえ
[1:22:56] atsumori_pop: もう猫ミーム見てケラケラ笑うしかねえ
[1:22:57] ぴあれい: 貞子vs伽椰子だえ
[1:23:02] りゅうとうだび: 色々ワイも見るV変えたえ
[1:23:09] fekiuy: ありけん結婚は？
[1:23:10] fanta_4455: すっぱ抜いた週刊誌が怖いえ
[1:23:16] shin_misou: メンヘラってキモいなって思った
[1:23:17] とろとろぴく: チャルロスはそういう話が絶対出ないとわかってるから安心して見れる
[1:23:20] マボマボマーボー: 人間が怖いだけわかるだえ
[1:23:21] TYdaaa: みんなが好きなVTuberも結婚してるかもしれないえ
[1:23:23] はっぴーまろ: つまりストグラは最高ってわけです
[1:23:25] 由笑: わかる安心
[1:23:33] おむすびくん39: だからかるびみるんだぇー
[1:23:35] 海猫だおーん: あり…チャルが1番だぇ そう言う話なさそうだぇ
[1:23:38] さんたろ30229: そもそもアイドルは恋愛しちゃいけないって言い出した童帝が悪い
[1:23:40] riou18: チャルロスもモンローと禁断の恋だえ
[1:23:42] fekiuy: ありけんも強要罪で捕まらないようにね
[1:23:46] kuuhaku12140915: ありけんは信用できる
[1:23:47] fekiuy: 体重あるから
[1:23:48] しろしろくんどっと: HIKAKINさんとかコンビニ行くだけで隠し撮りされるからプライベートないとかいう次元じゃないえ
[1:23:48] くしなだよ: ありけんはないもんな
[1:23:49] hiyokomanjuuuuu: Vの人はやめても声バレするよな
[1:23:51] tumeakadaijin: ありけんもそろそろ脇腹に隠してるハンバーガーバレるぞ
[1:24:05] デクだよ: ママとの組織内恋愛も有り得ない訳ではないって事だえ？
[1:24:08] とろとろぴく: ちゃるけんは絶対色恋沙汰はないと分かる
[1:24:16] atsumori_pop: ありけんで喋ってるのかチャルロスで喋ってるのかｗ
[1:24:20] fekiuy: けどアリケンアソコ小さいからいいやん
[1:24:22] 1nooosee0507: ヲタクがアイドル像を押し付けてるのが悪いいえ
[1:24:22] rntyry: アイドル売りはいつかボロがでるからなー
[1:24:26] とろとろぴく: だろうね
[1:24:32] 狐爪: ガレソはVの爆弾色々抱えてるらしいけと゛
[1:24:42] ナマコ魚雷: やっぱリスナーからか…
[1:24:44] texcoawg1309: 10年後とかに週刊誌に売られるえ
[1:24:46] gagagaga000: ありけんくんはいつ彼女作るのかな？
[1:24:47] アサダおきろ: あわない...えない...
[1:25:00] おむすびくん39: ファンぐらいちょっと食べてもバレないぇ
[1:25:02] ムー1030: じゃあやっぱり一般から？ｗ
[1:25:05] poyoendnexx_: 安定しないしね
[1:25:06] TYdaaa: そういうDMとか来たら無視？
[1:25:09] とろとろぴく: そういえば深夜に来てたリスナーどうなった？
[1:25:21] ぺろさんだよ: そのまま死ぬまで一緒ならいいけど別れたらあれだもんな
[1:25:22] tapitapi777: 彼女ができたら公表はするかえ？
[1:25:23] 花山薫ちゃん: 普段から遊んでる人は無敵感ある
[1:25:24] とろとろぴく: 活動者はねぇ
[1:25:29] ムー1030: そうねー
[1:25:31] annihilator_119: 一般人もこわい 情報売るし
[1:25:36] zenith_ar: 疲れそう
[1:25:37] みねのさわらび: 配信活動に理解のある人がいいね
[1:25:37] デクだよ: こういう話をするとこの間のメンバーでの地獄の恋愛話思い出して辛くなるえ……
[1:25:46] ムー1030: かかります
[1:25:50] すず音_: 861 raiders from すず音_ have joined! 
[1:25:52] 由笑: 雑談もたのしい
[1:25:54] karumimaguro: わあ
[1:25:55] とろとろぴく: ん
[1:25:56] 朕は沢田: お
[1:25:56] おむすびくん39: でも好きになっちゃったらどうしようもないぇ
[1:25:56] ピザしか勝たん: ママ！
[1:25:56] マドリディスタ: ママー！
[1:25:56] とろとろぴく: わ
[1:25:57] ムー1030: ママ ありがと
[1:25:57] ぼくぽのいち: 非モテから裏切り者呼ばわりされそう
[1:25:58] 寺田恋心: ままー
[1:25:58] texcoawg1309: ｗｗｗ
[1:25:58] くしなだよ: ままー
[1:25:58] 海猫だおーん: わぁ
[1:26:00] ナマコ魚雷: ママー
[1:26:00] atsumori_pop: ママ♡
[1:26:00] レヴィ99: これで売り一回分か
[1:26:02] thiru_sudyn: ママ
[1:26:04] 赤見二等兵: まぁまぁー
[1:26:04] とろとろぴく: ﾏﾝﾏ
[1:26:04] serenasan1: まま♡
[1:26:05] yolu_shikimi: ままーー
[1:26:06] ムー1030: やめ
[1:26:07] 1103arashi: ママー
[1:26:08] love_upper: こんばんは～
[1:26:08] kino_1103: ありがとえー
[1:26:09] みみまい: ママー！
[1:26:09] shin_misou: あ
[1:26:10] 由笑: まま！！
[1:26:13] とろとろぴく: 退散退散
[1:26:13] zenith_ar: w
[1:26:14] gundora23: ままー
[1:26:16] とこた: w
[1:26:17] mocasann: wwwww
[1:26:17] texcoawg1309: 順番ｗ
[1:26:18] とろとろぴく: ww
[1:26:19] ぺろさんだよ: ｗ
[1:26:23] ちょろまつ: 時差があるえ？
[1:26:24] みみまい: ママのかわいいところだえｗ
[1:26:24] secil_139: 順番逆で草
[1:26:27] mini_gori: 逆じゃないのかえw
[1:26:31] ムー1030: ？
[1:26:31] りゅうとうだび: 次は誰か起きるかな？
[1:26:33] 由笑: 明るい話がいいんだよねきっと
[1:26:33] serenasan1: ママすきだえ
[1:26:34] さんたろ30229: わき…
[1:26:34] ムー1030: フラグ
[1:26:35] とろとろぴく: ボ、ボス…
[1:26:35] 赤見二等兵: あ
[1:26:36] デクだよ: あ
[1:26:37] TYdaaa: わ、き
[1:26:37] tapitapi777: その油断が...
[1:26:37] puuuusan8: あ
[1:26:38] 蒼依_はるの: フラグ？ｗ
[1:26:39] dattekare_panjyan: おやすみ言うの忘れててもう一回起きたんだよw
[1:26:40] annihilator_119: わ、き
[1:26:40] tricluster: あ
[1:26:41] kazwackab: まさかな
[1:26:46] atsumori_pop: ママも爆発させた言うてたぞｗｗ
[1:26:52] lelelele4415: ゆ、きお
[1:26:54] kamunagi1105: 自己紹介からだえ
[1:26:54] オニヤンマ69: ありけんって何歳だっけ？
[1:26:59] konkkkkkkk: 今日のご飯
[1:27:03] Stone_Well: 次の変装は何にする？
[1:27:07] aosame_kai: 今日のご飯
[1:27:07] asahiru21: あ
[1:27:08] hideonjetttt: まずい
[1:27:09] tenma_seiyan: あ
[1:27:09] しぇぱ3: いや絶対ある
[1:27:09] ムー1030: トゥンク・・・
[1:27:13] rntyry: ついにありけんも結婚の話が暴露されるのか
[1:27:16] love_upper: 既に夫婦いるしな
[1:27:16] karumimaguro: からの
[1:27:17] 寺田恋心: とぅんく
[1:27:17] shin_misou: 絶対あるな
[1:27:18] 朕は沢田: トゥンく…//////
