[0:00:03] nongtzz: 95
[0:17:59] formoyd: ดีค้าบฉันมาไม่ทันอีกล่ะ
[0:17:59] teehid1x: ขอดูคริปพี่จุกหน่อยลุง
[0:18:00] purple_moon_iusupczz: @pettv สวัสดีจ้าเพชร jackey9JackeyCute
[0:18:02] Up2Skyy: ยิ่งซื้อยิ่งลด
[0:18:03] hihiqwesa: วันเกิดมาดีคับวันนี้
[0:18:03] nong_nas: ซื้อมา 200000 ลด 8000
[0:18:07] piyanan77: เปิดคลิปจุกหน่อยลุง
[0:18:08] phanupon2307: rebirthztvPlease_BW rebirthztvPlease_BW rebirthztvPlease_BW
[0:18:12] purple_moon_iusupczz: @awake_ontop อ่อเครงับ
[0:18:12] 0918059839: แอบเซอร์ไพรส์มาดีหน่อยครับลุงวันนี้วันเกิดมาดี
[0:18:21] garfiaJK: วันศุกร์แล้ว ลุงอย่าลืมที่จะเอากิโลเข้าแกงค์
[0:18:22] safiien85: rebirthztvHaha
[0:18:22] apichaizzz: ตลิปจุกกก
[0:18:23] nongbank1172: ลุงพรุ่งนี้เราได้บ้านแล้ว
[0:18:23] 92834917: rebirthztvB
[0:18:23] nnitsupa: StinkyGlitch
[0:18:26] artxtt_zx: หวัดดีครับลุง
[0:18:27] panawit1233: ไปซื้อละบอกพี่เอสจ่ายให้ได้ปะครับ555555
[0:18:28] tsks_zz: วันนี้วันเกิดมาดี
[0:18:28] bigbadboya: 4%ต้องซื้อ 100kขึ้นถึงจะลดเยอะ5555
[0:18:31] gujab222: rebirthztvTewHothead
[0:18:33] Baphometz6: .......
[0:18:33] vscdolza: ปลอม
[0:18:37] dew_ezy: 5555555555
[0:18:37] jr_juniorrr: ปลอม
[0:18:39] bungterng13: วันเกิด มาเีครับ
[0:18:40] zeetar_u: 55
[0:18:41] kiavin_1996: หืออ
[0:18:41] worameth_49: วันเกิดมาดีกับวอเเวครับ
[0:18:45] bblackwinn: หวัดดีครับลุง jackey9Mnheart
[0:18:47] my__42: สวัสดีครับ
[0:18:49] tonkub006: ลุง
[0:18:49] JetDohz: JetDohz subscribed at Tier 1. They've subscribed for 5 months! 
[0:18:51] beergo009: 300000
[0:18:52] bigbear_r: 5555555
[0:18:52] jpokpong: หะ
[0:18:53] purple_moon_iusupczz: jackey9JackeyLOL
[0:18:54] OvEl2DoSe: rebirthztvITA rebirthztvITA rebirthztvITA
[0:18:58] MewExplosivE: ResidentSleeper ResidentSleeper ResidentSleeper
[0:18:59] bang_sad52: rebirthztvHaha rebirthztvHaha
[0:18:59] 48384837483: จารรร
[0:19:00] cutewav: rebirthztvITA
[0:19:00] get_00: rebirthztvPlease
[0:19:02] karfew46: ดาวบ้านได้
[0:19:02] babyqbie_: 555555555
[0:19:03] leesaw7895: จารพิ้ง
[0:19:03] 92834917: rebirthztvB
[0:19:04] GenostyleTV: GenostyleTV subscribed at Tier 1. They've subscribed for 15 months, currently on a 2 month streak! 
[0:19:05] purple_moon_iusupczz: เครื่องเซิฟ2แสน
[0:19:06] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:19:07] formoyd: BegWan
[0:19:08] superman48: jetdohzKnock
[0:19:08] ratchanon_tp: ตาบอยCEOรู้ดีจัด5555
[0:19:08] nong_nas: 350000 ลด 14000
[0:19:08] OvEl2DoSe: rebirthztvITA rebirthztvITA rebirthztvITA
[0:19:10] BenzierX: จารย์
[0:19:11] jakkapat_zero: วันนี้วันเกิด วอแว มาดี
[0:19:13] purple_moon_iusupczz: คอม350 jackey9JackeyLOL
[0:19:14] somo5546: เหมือนนัดกันมม
[0:19:16] nuttanan47: วันเกิดมาดีกับวอแวครับลุง
[0:19:16] zenxsd: rebirthztvTueng_TK
[0:19:17] Mickey_Commander: ดีครับ
[0:19:18] IStyleKup: HBD มาดี
[0:19:18] isun_M: rebirthztvITA rebirthztvITA
[0:19:18] edqzto5: วันนี้ออกไปแค่2กว่าๆเอง
[0:19:20] bblackwinn: ตัวเล็กกกก
[0:19:21] thanawat_2549: อาตี๋ไปไหนครับผม
[0:19:23] bxbyfrxnch: 555555555555
[0:19:25] geno715k: ใช้มันไม่ช่วย
[0:19:25] slip_z: *** อันนี้ของพี่ป่ะ
[0:19:26] supaht: วันเกิดมาดีกับวอแวครับลุง
[0:19:27] yeah_sj: วัดเกิดมาดีกับวอแว
[0:19:27] r2_kog: วันเกิดมาดีกับวอแวครับลุง
[0:19:28] jarapz: jarap_jab subscribed at Tier 1. They've subscribed for 6 months! 
[0:19:28] Rocky_Still: SeemsGood
[0:19:29] kongkongiron895: เอส7หลัก
[0:19:31] worameth_49: วันเกิดวอเเวกับมาดีครับ
[0:19:32] pech_ktm: 5555
[0:19:32] mark_markub: hbdมาดี  วอแว
[0:19:32] pang_nn_: สุดตาราง555
[0:19:33] nontawaw111: Squid1 Squid2 Squid3 Squid2 Squid4
[0:19:34] Baphometz6: 5555
[0:19:35] purple_moon_iusupczz: rebirthztvITA rebirthztvITA rebirthztvITA
[0:19:35] bigbear_r: 5555555
[0:19:35] t_thiks: 5555
[0:19:36] new_chaiwat: hbd ตัวเล่ก
[0:19:37] さらゆベイビービッグボス: นัดกันมาชัดๆ
[0:19:38] OnLyMe_0: 7หลัก
[0:19:38] wanchana_123: คอมเครื่องเก่าลุงขายไหมคับ
[0:19:38] jr_juniorrr: นัดกันมี
[0:19:39] INCreeSs: การ์ดจอเยอะมีไว้ต่อหลายจอ
[0:19:39] peem080860: หวัดดีน้องเอส
[0:19:39] wolf_ezth: 5555555
[0:19:39] AUMMMMMMM_: คอม 100k น๊อต 250k
[0:19:40] chimo_kuji: @GenostyleTV  HBD.ค้าบ
[0:19:41] felixx_______: ซัพแปลกๆ 5555
[0:19:41] who__111: 5555
[0:19:41] 0918059839: แอบเซอร์ไพรส์มาดีหน่อยครับลุงวันนี้วันเกิดมาดี
[0:19:43] RoseMary_1212: ใช้ไป 100 ปี
[0:19:45] win_x_croissants: วันเกิดสองคนเลยว่ะ
[0:19:45] mintked: สุขสันต์วันเกิดพี่มาดีพีวอแวคับ
[0:19:45] Running_31: อยากเห็นลุงแกล้งมาดีกับวอแวจุง
[0:19:46] usoopnw: คอมลุงเลยกราฟไปแล้ว555
[0:19:47] panbodee: สุขสันต์วันเกิดตัวเล็ก
[0:19:48] jatingja_: เอส7หลัก
[0:19:48] formoyd: hrdวอแว
[0:19:48] nicrjfk: HBD.ตัวเล้ก
[0:19:49] deankung123: HBD ค้าบพี่มาดี
[0:19:51] tae135678: วันนี้มีเดือดไหมคับ
[0:19:51] rektinpeacezaa: วันเกิดตัวเล็กเหรอ
[0:19:51] teehid1x: HBDมาดี
[0:19:51] xevillus_tv: 750ti แรงสุดละ
[0:19:52] leopard4817: 🎂🎂🎂🎂
[0:19:54] ZCyclops_: สวัสดีครับพี่เอส
[0:19:58] Ohmpiang_: !คอม
[0:19:59] yeah_sj: วันเกิดมาดีกับวอแวครับลุง
[0:20:02] gc873527: DarkMode
[0:20:03] nxitti: hbd
[0:20:05] MONARCH447: H.B.Dพี่มาดีกับพี่วอแวครับ
[0:20:06] superpeee: hbdวอแว มาดี
[0:20:07] 544664466: SeemsGood
[0:20:08] mark_markub: hbdมาดี  วอแว
[0:20:08] jr_juniorrr: อย่าสั่งงับ
[0:20:09] Trex1iberty: HBD Mad วอแว
[0:20:09] jaojo48: HBD.วอแว
[0:20:11] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:20:11] 0o_card_o0: rebirthztvMc_BW
[0:20:14] somebadyluv: HBD ตัวเล็ก HBD วอเเว
[0:20:14] domme0000: HBDมาดีครับ
[0:20:15] lucifer12_56: CEO
[0:20:15] Nightbot: กองกำลังตู้! Kappa
[0:20:16] calos_loza: 5555
[0:20:18] rewat2006: HBD
[0:20:18] pukqjkd: HBD.พี่มาดีกับพี่วอแวครัช
[0:20:18] purple_moon_iusupczz: วันเกิดทั้งที ต้องไล่ออกจากแก๊ง เซอร์ไพรส์ StinkyGlitch
[0:20:18] Baphometz6: rebirthztvHaha rebirthztvHaha rebirthztvHaha NotLikeThis
[0:20:21] vscdolza: เค้าโพสลงเพจ
[0:20:21] pech_ktm: @rektinpeacezaa วันเกิดมาดีละก้วอแว
[0:20:21] flukyeahh: 
[0:20:22] whatlollipop: กมดค
[0:20:22] toza0014: กกต
[0:20:22] Nightbot: ก็มาดิครับ!
[0:20:23] karukung: 5555555
[0:20:23] deankung123: ใช่ค้าบ วันนี้วันเกิดพี่วอแวกับพี่มาดี
[0:20:24] supaht: ลุงเเกล้งวอเเวกับมาดีหน่อยครับวันนี้วันเกิดวอเเวกับมาดีครับ
[0:20:24] sobi_noal: HBDครับพี่มาดี วอเเว
[0:20:24] lufy201: HBDน้องวอแวครับลุง
[0:20:24] anucha_ff: บอยมีความรู้เกียวกับคอมมาก เขาเรียนสูง
[0:20:24] malia337: hbd kabbb
[0:20:25] nestindy99: HBD Mad วอแว
[0:20:25] Esterr012: สวัดดีครับลุงโทนี่
[0:20:26] soluckyz_: HBD ตัวเล็ก HBD วอเเว
[0:20:26] Snowball_007X: HBD
[0:20:27] 6boogeyman6: LUL LUL
[0:20:27] kaodchakron_: HBD มาดี วอแว
[0:20:27] nattwitch_z: โรนัลโด้กลับแมนยูละครับ HERE WE GO
[0:20:27] ummbomb: LUL
[0:20:28] rabbit_t_: แฮปปี้เบิร์ธเดย์นะค้าบพี่แวพี่มายดืออ jackey9Knife
[0:20:28] dew_ok: HBD
[0:20:29] jakkrit710: 55555ของจิง
[0:20:29] numaii_: Happy birthdayตัวเล็กกก
[0:20:29] Kekeopop: เด็กเส้น555
[0:20:30] kiw015: 555555555555
[0:20:31] bcv_pond: ในเพจ
[0:20:32] pa9hapashu: 5555555
[0:20:32] valennnnwi: HBDพี่วอแวและพี่มาดี
[0:20:34] slip_z: ***
[0:20:34] iam_pearry_pattaranun: HBD ง้าบบตักเล็ก พี่แว wedwtf20
[0:20:34] kittiphongez: HBD มาดี HBD วอแว
[0:20:36] sittinonnew: ceo บอย
[0:20:36] superpeee: HBD มาดี วอแว
[0:20:37] cherd_789: rebirthztvBad
[0:20:37] Cornflake_n: HBD
[0:20:38] koiyfe22: ceo บอย
[0:20:38] sshte999: ในเพจ
[0:20:38] dedei56: ลุงน้าบบอยากเห็นลุงเป็นพระเจ้าแกล้งคนนนน
[0:20:38] phu_ppppp: โรนัลโด้กลับแมนยูละครับ
[0:20:39] patis200: สวัสดีครับ
[0:20:39] Rocky_Still: H.B.D วอแว H.B.D มาดี
[0:20:40] jatingja_: ceo555
[0:20:40] nxeyy__: H.B.D น้าบ
[0:20:41] AydenLIVE_: Hbd พี่วอแว มาดี
[0:20:41] somo5546: วอแว
[0:20:42] mark_markub: hbdมาดี  วอแว
[0:20:43] i_am_wedday: @purple_purple_iusupczz ดีง้าบบลืมทักทาย rebirthztvLove
[0:20:43] phanusoru: ลูกรัก555
[0:20:44] techit777: HBD Mad and Vowear
[0:20:44] SXME_TIME: HBD วอแว มาดี ง้าบบ
[0:20:44] phjlzx_lil: HBD Mad vowear
[0:20:44] MONARCH447: H.B.Dพี่มาดีกับพี่วอแวครับ
[0:20:44] babyqbie_: ceo บอยอะ
[0:20:44] Up2Skyy: พี่แกของจริงง
[0:20:45] jaabookah: HBDมาดี วอเเว
[0:20:45] wolf_ezth: 55555555
[0:20:46] mark_444ilovelungmak: SeemsGood
[0:20:46] edqzto5: บอยตัวตึง
[0:20:46] nanear_naja: HBD
[0:20:46] aree___: <3
[0:20:46] love_jak: HBD มาดี HBD วอแว
[0:20:47] slilsonic: ในกลุ่มเลยครับ
[0:20:47] iamheartbrokens: rebirthztvITA
[0:20:48] meetonzai22: H.B.D วอแว H.B.D มาดี
[0:20:48] new_chaiwat: HBD มาดี วอแว
[0:20:49] flukesmild: HBD มาดี HBD วอแว 💖
[0:20:49] boomztv8: แกล้งลุง
[0:20:51] 0918059839: แอบเซอร์ไพรส์มาดีหน่อยครับลุงวันนี้วันเกิดมาดี
[0:20:51] supakitjaja: H.B.D วอแว H.B.D มาดี
[0:20:53] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:20:53] smooth_y: วอเเวด้วย
[0:20:54] khiw_alone_: คอม180ล้านพี่เอสต้องจัดแล้ว🤣
[0:20:54] my_name_1: H.B.D วอแว
[0:20:54] petanque85: rebirthztvHaha
[0:20:55] filmssssssssss: HBD มาดี HBD วอแว
[0:20:55] tanwa1123: วันเกิดมาดี คับ
[0:20:55] dhgvjbc: HBD มาดี วอแว
[0:20:55] coppa_00: H.B.D วอแว H.B.D มาดี
[0:20:58] jaojo48: HBD.มาดี วอแว
[0:20:58] finixnover: วันนี่วันเกิดวอแวครับ
[0:20:59] purple_moon_iusupczz: @wedsmk สวัสดีจ้าเวด jackey9Mnheart
[0:20:59] scowit_: 55555555
[0:20:59] zeetar_u: HBD มาดี HBD วอแว 💖
[0:21:00] 0955370489: ดีครับ
[0:21:01] SaRaNyOu19: แกล้งมาเี
[0:21:01] shisu1____: !uptime
[0:21:02] Nightbot: Stream uptime 21 minutes, 21 seconds
[0:21:03] srichai_1: วอเเว
[0:21:03] tennywisly: วอแวด้วยครับลุงงง
[0:21:04] patblinders: ในเพจพี่เปาครับ
[0:21:04] Ghost0team: มีหรอ
[0:21:06] bank_rock2533: HBD มาดี HBD วอแว
[0:21:06] tangna12039: rebirthztvAngry
[0:21:07] earthperayoot: แกล้งทั้ง2คนหน่อยครับลุง
[0:21:07] tae135678: วันนี้มีเดือดไหมคับ
[0:21:07] baithom_: HBD MAD&VOWERE
[0:21:08] peter_panu: H.B.D วอแว H.B.D มาดี
[0:21:09] ArmSahatawat: ครับ
[0:21:09] toeymoshieiei: ..
[0:21:09] amarin379: เเมนยูโรนัลโด้
[0:21:09] bigbear_r: แรมชุดน้ำ 555
[0:21:09] redparadin: วอแวก็วันนี้นิ555
[0:21:09] d_dew_x1: จุกเต้นยังอะ
[0:21:11] filmsadboy111: ดีครับพี่
[0:21:12] theerawat_eiei: พรุ้งนี้วันเกิดครูพิ้งอีก
[0:21:12] auanpriwx2: แกลงในทวิตพี่เอส
[0:21:13] bankk_apilak: สุขสันต์วันเกิดค้าบพี่วอแวแล้วก็มาดีค้าบ
[0:21:13] xterzeal: HBD มาดี HBD วอเเว
[0:21:15] jakkrit710: ลาวา
[0:21:15] dmaxxqwe: ผม
[0:21:15] superpeee: H.B.D วอแว H.B.D มาดี
[0:21:16] 92834917: happy birthdayครับ
[0:21:16] dew_ezy: 555555555555
[0:21:16] rektinpeacezaa: วอแว
[0:21:16] supaht: วอเเว
[0:21:16] thammadon1: เปลี่ยนทีมีร้อง
[0:21:17] BuGBuckY: สมชาย
[0:21:18] karukung: 55555555
[0:21:18] 0644858344: พรุ่งนี้วันเกิดครูหนิ
[0:21:19] purple_moon_iusupczz: jackey9JackeyLOL
[0:21:19] no_name_ku_: H.B.D พี่มาดู H.B.Dพี่วอแว jackey9Mnheart jackey9Mnheart
[0:21:20] garteeh_roy: 555555
[0:21:21] somebadyluv: 555555
[0:21:22] ナッ: ไฟช็อตละ1
[0:21:23] crommez: วอแวยังไม่ได้
[0:21:23] anupatzax: พี่มาดี
[0:21:23] minggoooooo: 555555555
[0:21:24] 48384837483: มาดีกับวอกับพี่สม
[0:21:24] komsan168: พี่วอครับ
[0:21:24] Agent_ODER: สวัสดีครับพี่เอส
[0:21:25] gyiiohf09: ลาวา
[0:21:25] tpktv1477: 5555
[0:21:25] AydenLIVE_: Hbd พี่วอแว มาดี
[0:21:26] pipe629872: แกล้งหน่อยคับลุง
[0:21:27] miketh45: HBDค้าบ พี่วอเเวกับพี่มาดี
[0:21:27] pantakan12: ต่อไป i9 12000แรงกว่า Ryzen 9 5300x เยอะเลยย
[0:21:28] rinqx__: วอแวว
[0:21:28] OLDMAN18YEAR: ไท
[0:21:29] supat_2005: ..
[0:21:31] chanatripsongkrasin18: โรนัลโด้ เย้ๆ
[0:21:31] kon_c8: ผมคับ
[0:21:32] kiavin_1996: 5555
[0:21:32] thephum: โด้มาเเมนยูละครับบบ
[0:21:33] vscdolza: ในเพจI HAVE CPUเลยครับอันสีขาว
[0:21:36] PorscheHuh: วอแว
[0:21:37] earthperayoot: วอแวครับลุง
[0:21:37] nonnyskippy: nonnyskippy subscribed at Tier 1. They've subscribed for 10 months! <3 <3
[0:21:37] boomztv8: แกล้งวอแวมาดีครับลัง
[0:21:38] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[0:21:38] geno715k: ได้ใบ
[0:21:39] bankweerawit: @worathat1994 เงียบทำไมครับน้องทักมาไม่ใช่หรอ
[0:21:39] nai_8436: วอแว
[0:21:43] jaojo48: วอแวครับ
[0:21:46] superpeee: H.B.D วอแว H.B.D มาดี
[0:21:46] tae135678: วันนี้มีเดือดไหมคับ
[0:21:47] 92834917: โด้มาแมนยูเย้้
[0:21:48] cherd_789: rebirthztvCritical
[0:21:49] r2_kog: เออเขารุ้
[0:21:53] cuklly: ดีครับสุดหล่ออออ
[0:21:53] chennarongqwertyuiop: โทนี่อยากได้อยู่
[0:21:55] Ohmpiang_: อันนั้นของพี่เบลไม่ใช่หรอ
[0:21:56] chefxdv: rebirthztvIQ200_BW
[0:21:57] OvEl2DoSe: ไม่คุยเรื่องบอล
[0:22:00] piano43: พอๆ
[0:22:00] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:22:00] traffix_stayxreal: ไม่ใช่นะในเพจ สองใบเลยนะ
[0:22:01] wongwiwat1236: ดีคร้าบบบ
[0:22:02] narawichhhhh_08: สวัสดีค้าบบพี่เอส สวัสดีครับทุกคน jackey9Mnheart
[0:22:04] filmsadboy111: <3
[0:22:05] quebec_og: ไม่ใช่ของพี่
[0:22:06] dmaxxqwe: ผมยังไม่ได้
[0:22:06] jatingja_: 555
[0:22:08] chainuwat_sriwarom: ไม่มี
[0:22:08] contact_8888: jackey9Nuiiii jackey9Huh
[0:22:10] nicrjfk: รอดูคลิปจุก
[0:22:13] sshte999: สีขาว
[0:22:13] THISS_TITLE: @OvEl2DoSe  ดีครับพี่แชมป์ rebirthztvPlease
[0:22:13] ratchanon_tp: ไม่มี
[0:22:15] martinnicora: ลุงดูเเชทจุกทีครับ55
[0:22:15] vscdolza: อีกอันน
[0:22:19] nattawee52: ขอดูคริปพี่จุกหน่อยลุง
[0:22:19] SawattK: ออกtv
[0:22:20] prankzz_ch: 4ชม.ที่แล้วครับ
[0:22:21] apichaizzz: อีกอันน
[0:22:22] mark_markub: รอดูคลิปจุก
[0:22:22] slip_z: อีกอันป่ะ
[0:22:22] fronggz: เเรมสีทองง
[0:22:23] earthperayoot: ไปอีก
[0:22:23] thanachot_20: กลุ่มjak
[0:22:23] teehid1x: ขอดูคริปพี่จุกหน่อยลุง
[0:22:24] n7ckwyzxd: ไปอีก
[0:22:24] skinnyzb: ล่าง
[0:22:25] purple_moon_iusupczz: jackey9Sad
[0:22:25] wa_sitthichai_rbz: อีกอัน
[0:22:26] bigbear_r: การ์ดจอระบายน้ำ
[0:22:27] aiboww: อีกอันนึงง
[0:22:28] phasumon1: ลุงดูคริปจุกหน่อย
[0:22:29] pumin_08: คลิปจุก
[0:22:30] a_gou_: เคสเหลี่ยมจัด
[0:22:31] sesomaru_zzz: SeemsGood
[0:22:32] somtcas03: โด้กลับแมนยูว่ะเพื่อน
[0:22:32] samahusamaha: เพจjak
[0:22:32] AydenLIVE_: ไม่มี
[0:22:33] itinfinite63: ไปอีก
[0:22:35] eaknk62: ใน youtubeคับ
[0:22:37] teephongsakon40: อันเมื่อกี่ครับสีขาว
[0:22:37] jatingja_: ในกลุ่ม555
[0:22:39] traffix_stayxreal: ไม่ใช่
[0:22:39] rezeero: คอมเหลี่ยมๆอะรับ
[0:22:40] peaktalomlok: มาแล้วคิดถึงสุดๆ
[0:22:42] nontawaw111: rebirthztv10 rebirthztv10
[0:22:42] tontepa: สวัสดีครับพี่เอส
[0:22:43] YAP_ScopeX4: ไม่มี
[0:22:46] i_nonname: เขาโพสว่สคอมพี่เอสเสร็จแบ้ว
[0:22:47] px1m2xxx: เขาคุยกับบอยส่วนตัว
[0:22:48] THISS_TITLE: @purple_purple_iusupczz  ดีค้าบพี่ซุป peachp23Kisskiss
[0:22:48] eddieyummy: กลุ่มjak
[0:22:50] auanpriwx2: ***
[0:22:50] chanom65: ไม่มี
[0:22:50] ratchanon_tp: ไม่มีครับ
[0:22:51] Nothing_brown: ไม่มีนะ
[0:22:52] First_Arthur: แชทมั่ววววววววว
[0:22:52] Ohmpiang_: อันนั้นของพี่เบล
[0:22:52] thammawat__: ไม่มี เขาพึ่งทำเสร็จ
[0:22:53] notbnk: 555
[0:22:53] dhygjfhbf: rebirthztvAceJunior
[0:22:53] zagkobo: ติ้กต๊อกๆ
[0:22:54] s0panat: @somtcas03 แมนยูหรือแมนซินะ
[0:22:55] vscdolza: สีขาวตะกี้ไงงง
[0:22:55] quebec_og: แชทมั่วครับ
[0:22:55] wa_sitthichai_rbz: 5555555
[0:22:56] gggzzzaaa: SeemsGood
[0:22:56] tatazzxt: ไม่มี
[0:22:56] nicrjfk: ในกลุม
[0:22:57] kaooat_xd: ส่วนตัว
[0:22:57] dmooott: ในyt
[0:22:57] pang_nn_: ปั่น
[0:22:57] Rocky_Still: rebirthztvHaha
[0:22:58] purple_moon_iusupczz: @thiss_title สวัสดีจ้าเติ้ล jackey9Mnheart
[0:22:59] wuttichai_earth: โด้กับมาแมนยูแล้วครับ
[0:22:59] stlyefakeker: Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1กิโลเข้าแก๊งยังอะครับลุง
[0:23:00] pu00: มันไม่มีลุง
[0:23:00] jowwframe: ไม่มีรึป่าว
[0:23:00] therinx99: พน.
[0:23:00] por_1412: ลงไปอีก
[0:23:01] a_gou_: มีๆ
[0:23:01] SawattK: ไม่ลงครับ
[0:23:03] kil_luaaa: กลุ่มjak
[0:23:03] f1kkung: คอมพี่เอสเสร็จละครับ เคสเหลียมจัด สีข้าวลองหาดู
[0:23:03] sutthirat_47: Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 Cheer1 จุกบอกส่งคลิปให้ในแชทลุงแล้วครับ
[0:23:03] warpig_haha: แกไม่ลงทีพี่
[0:23:05] AydenLIVE_: กลุ่มjak
[0:23:05] natthwasu: มีๆๆๆ
[0:23:05] nono00000000: HolidaySanta HolidaySanta
[0:23:05] deankung123: @s0panat แมนยูครับ
[0:23:06] backzazaal: ในกลุ่ม
[0:23:07] gujab222: ขอดูคริปพี่จุกหน่อยลุง
[0:23:07] eaknk62: ในyt
[0:23:07] Parnjaz: ในกลุ่ม
[0:23:07] anuto_xxx: ในกลุ่มjak
[0:23:08] zornor_xr: 5555555555
[0:23:08] Nookdwer: ในกลุ่มjak
[0:23:08] jaysmim5678: มีๆๆๆๆๆๆๆ
[0:23:09] peerapatthongrak3: หาเรื่องให้ลุงด่า555
[0:23:09] 2004midnight: หาพิมพ์มั่วเด้อเเชท
[0:23:10] traffix_stayxreal: ไม่มี
[0:23:10] nattapong_senegal: @somtcas03 แมนยู ครับ
[0:23:10] jatingja_: กลุ่มjak
[0:23:10] Chaoguayx: พี่เปาไปโพสบอกในกลุ่มjak
[0:23:10] sittinonnew: ไม่ได้ลง
[0:23:11] sirhedes03: เขากระซิบให้พี่บอยครับ
[0:23:11] LoliTourlunglee: 5555
[0:23:11] mindmint_na: 5555555
[0:23:12] jakkrit710: มีในกลุ่ม
[0:23:13] kafiwwww: มันพึ่งเสร็จ
[0:23:13] toby_ming: NotLikeThis NotLikeThis
[0:23:13] jtsoyclhciyoyupc: TV
[0:23:14] nontawaw111: rebirthztvSunn55
[0:23:14] teamezzzzz: มี
[0:23:15] cokemith2001: คลิปจุกลุง
[0:23:15] praphatt212327: ของเอสน่าจะเหมือนของรัชโย
[0:23:15] tankunzz12: จุกส่งละลุง
[0:23:15] SKY_SOSAD: ทีวีๆ
[0:23:16] somtcas03: @s0panat แมนยูคับ เพจแมนยูประกาศละ
[0:23:17] wolf_ezth: rebirthztv5555
[0:23:17] youxr_: แชทมั่วลุงก็เชื่อ5555555
[0:23:17] r2_kog: กลุ้มjakน้ออออ
[0:23:18] jr_juniorrr: ปวดหัว
[0:23:18] siqsicq10: 5555
[0:23:18] iguesigi3isjfkwixi: ผมเห็นอยู่ผ่านๆ
[0:23:18] LARGEBODy_GLHF: Kappa
[0:23:18] zrlo2: ของพี่เอสแรมเป็นเพรชไม่ใช่อ่อ
[0:23:18] OLDMAN18YEAR: มี
[0:23:19] i_nonname: กลุ่มjakkkkkk
[0:23:19] natthaphong_2006: จุก
[0:23:20] ナッ: NotLikeThis
[0:23:20] Kl3214: กลุ่มjak
[0:23:21] ken_ny2005: tiktok ป่าวลุงง
[0:23:21] tle4556q: มีในกลุ่ม
[0:23:21] mobfiftytwo52: สวย
[0:23:21] sajokdd22: มี
[0:23:22] martinnicora: ลุงดูเเชทจุกทีครับ55
[0:23:24] nattawee52: ขอดูคริปพี่จุกหน่อยลุง
[0:23:24] soninexz: กลุ่มjak
[0:23:26] merrinmo_08: เค้าเเค่บอกพี่บอยตอน รร.
[0:23:27] lalinlapath: เฟสส่วนตัวพี่เปา ลงในกลุ่มjak
[0:23:28] somebadyluv: อย่าพิมตามๆกัน
[0:23:28] 3ENZJUBJUB: แต่เมื่อวานเห็นใน ig พี่เปามีพี่
[0:23:28] vivcion: มันไม่มีลุงงมันพึ่งเสร็จเมื่อสามทุ่มเอง
[0:23:30] dhygjfhbf: rebirthztvHaha
[0:23:30] pakke11: ในกลุ่ม
[0:23:30] koraegg: มีครับลุงเลื่อนผ่าน
[0:23:31] nirut8850: !uptime
[0:23:31] Nightbot: Stream uptime 23 minutes, 51 seconds
[0:23:32] narawichhhhh_08: @purple_purple_iusupczz สวัสดีค้าบบพี่ซุป
[0:23:32] itinfinite63: ก็คอมเหลึ่ยมๆ
[0:23:32] phjlzx_lil: LUL LUL
[0:23:33] thanonan__: ยอมแกว่ะแชท รู้ทุกอย่าง
[0:23:35] phasumon1: ดูคริปจุกหน่อยยย
[0:23:36] wathanyu7186: ลงอีกๆ
[0:23:36] orikeeni: ส่งแชท
[0:23:39] f1kkung: คอมพี่เอสเสร็จละครับ เคสเหลียมจัด สีข้าวลองหาดู
[0:23:39] katay_kingkittisack: ดีครับพี่เอสผมเพิ่งมา
[0:23:40] dmooott: ค่ายแดงรึป่าว
[0:23:41] pek309: อันที่ลุงแชร์รึป่าว
[0:23:44] dewdropth: มีๆ
[0:23:45] purple_moon_iusupczz: @justinhel สวัสดีจ้าคุณ jackey9Mnheart
[0:23:48] YEESAY_Y: แชทๆ
[0:23:52] smokey_t4r: มีครับ พี่เปาโพวไว้หลายวันแล้ว
[0:23:54] sunchai69: เพลงไรหรอครับ
[0:23:55] wachirawit2006: ออกทีวี
[0:23:56] nsuppakitwat: FootYello Kappa Kappa Kappa
[0:23:56] mrbest1122: โห
[0:23:59] chaimath12: จัดเลยลุง
[0:23:59] weerajae: jackey9JAK
[0:23:59] LoliTourlunglee: แพงจัด555
[0:24:00] babyqbie_: 16ล้าน
[0:24:00] Kekeopop: โห555
[0:24:00] kiminoto_ekoena: มีแวะดู
[0:24:00] jakkrit710: 5555เเพง
[0:24:01] sixmaaxiii: 5555555
[0:24:02] saran1er: ดีครับพี่เอส
[0:24:03] hi03182: จัด
