[2:30:01] flukeskxs: สวยจริง
[3:09:48] eng1301: ล่ะเพลงมาาาา
[3:09:48] l2ockRe: 55555555
[3:09:50] z_opxlliss: ฮอระเบิดทีเถอะ5555555
[3:09:50] vasin_prasankar: ไปดูหนังสนครับ
[3:09:51] xp___px: โปรลงเซิฟ 5555555
[3:09:51] 2indaman: ประกาศศักดา
[3:09:51] maikm_134: ตายๆๆเมืองไปหมด555
[3:09:51] kimminez: rebirthztvHa rebirthztvHa
[3:09:51] NoRaSingTH: 5555555555
[3:09:53] hava1301: sometimesDancee
[3:09:53] nakornxnv: บูมร้องละนะจุนลุง
[3:09:53] Thelastes: บูมเหนื่อย บูมท้อ บูมรับจบ
[3:09:53] nsoforrrr: โพสต์แสดงอำนาจด้วย
[3:09:55] tonhorm2002: บูมคิดหนักละ5555
[3:09:56] sshiro_xd: เเจ็คถอนหายใจ 555555555
[3:09:57] hypnoskub: ความชิบหายตอนนั้นก็มาแบบนี้5555
[3:09:59] Worldtour56: เรเบล
[3:09:59] alkarawat_: อันนี้เเค่ขู่55555
[3:09:59] Non__45: อย่างชอบ55555
[3:10:00] eepaaii: คิดเมื่อกี้
[3:10:00] stellaax_: ชิบหาย city ของจริง55555555
[3:10:00] petchppz: เรเบลๆ
[3:10:01] i_am_wedday: ขนมาทั้งกองทัพอะกระสุน5555555
[3:10:03] pea_sperant: แก็งค์ต้องรับรู้งานนี้ 55555555
[3:10:04] sparklingw4ter: คิดสด 55555
[3:10:04] 6ixtynin9_: หลานลุงชอบ
[3:10:07] davivesec: โห่ นี่เเค่ขู่นะ
[3:10:08] r3kc: ผมว่าไม่ใช่TCผมว่าตาลีบัน555555
[3:10:12] acdex77: เรเบล
[3:10:12] fahrenh1ghz: Shush Shush Shush Shush
[3:10:13] dif17733: x
[3:10:13] Nightbot: ❌ กำลังมองคุณอยู่ rebirthztvX
[3:10:14] daaasomm: แม็คครองเมือง
[3:10:14] kenzaz_: 55555
[3:10:14] iamp0nd: สนุกเขาแหละมันส์มือ555
[3:10:16] sornpichai7743: นี่แหละgtaที่แท้จริง555
[3:10:19] sskariy: บูมรับคอนเท้นแบบ 300%
[3:10:20] ompgr: 4คนนี้มาเท่ากับกองทัพ
[3:10:20] khawkhawmaru: ไม่มีแกงค์ไหนกล้าหือกับ tc แน่นอน555555
[3:10:21] peerawat_787: @potooozx จริงครับ5555
[3:10:24] purple_moon_iusupczz: บันเทิง StinkyGlitch
[3:10:24] theboogey_man: ตาลีบัน
[3:10:25] I_NKKK: เอ็กกุมขมับ5555
[3:10:28] game_chaiwat20: นี้tcหรอนึกว่าผู้ก่อการร้าย555555
[3:10:28] One_GodGG: เหลือ ผับ ยังไม่ได้ไปดู
[3:10:28] someone9545: คิดผิด
[3:10:29] buffalokiku: ยิงขู่ TC ด้วยครับ
[3:10:30] Tour_888: มันก็ต้องแบบนี้อยู่แล้วมะ
[3:10:30] PaTonStory: แม็คตาลีบัน
[3:10:31] mangkon____: เถื่อนกว่า BT Oni อีก 555555
[3:10:32] khun_bestx: วันนี้เล่นให้เต็มที่ เพราะพรุ่งนี้ ลุงไม่เล่นแล้ว55555
[3:10:33] guy15987530: บูมปวดหัวแน่นอน5555
[3:10:34] jamesss_120: คู่แก็งด้วยทำให้แก็งกลัวกับเห็นสว่าปกป้องคนในแก็งได้
[3:10:34] 420Alldie: มี
[3:10:35] pitchayut2544: ต้องถ่ายรูปลงทวิตล่ะลุง  ให้มันรู้กันทั้งประเทศ ถ้าใครกล้า
[3:10:35] maikm_134: คิดถึง Tcเมืองเรามันกดเราเลยอะ555
[3:10:35] 6ixtynin9_: 1.0มันเถืื่อน
[3:10:36] 8kimmmmmmmm: สะใจจัดพอมาได้ดูมุมที่เราเป็นคนยิงอะ5555
[3:10:36] jiggojigg: TCทีเเท้จริงเป็นไง
[3:10:36] koykan_: คิดว่าลุงอยากได้ไง555
[3:10:37] kimminez: rebirthztvHa rebirthztvHa
[3:10:38] purple_moon_iusupczz: มร
[3:10:38] wairong: สูงสุด
[3:10:39] sommarb37: X
[3:10:40] thanakrit_012: มี
[3:10:40] NewLASIOz: มีๆ
[3:10:40] BrazerLot: มีแต่ห้ามยิงป่ะ
[3:10:40] purple_moon_iusupczz: มี
[3:10:40] i_am_wedday: มีๆ
[3:10:47] purple_moon_iusupczz: vremon1Lol
[3:10:49] pea_sperant: จะไปรอไร
[3:10:50] bom_adisak_: มีแต่ห้ามยิง
[3:10:52] Non__45: 5555555
[3:10:55] dixkznvzww828: พน.
[3:10:56] marzotvvv: 24 5ทุ่มครับ
[3:10:59] lnwm_0993: 5ทุ่มเปิด
[3:10:59] phngs47: X บอก กุคิดผิด หรือคิดถูก
[3:10:59] Nightbot: ❌ กำลังมองคุณอยู่ rebirthztvX
[3:11:01] nobi_nolove_: พรุ่งนี้ครับลุง
[3:11:02] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[3:11:03] thejungraiman: มา 5 ทุ่ม
[3:11:06] 6ixtynin9_: 5ทุ่ม คับลุง
[3:11:06] armzazama: เคาเตอร์รอ
[3:11:07] dope_975: 5ทุ่ม
[3:11:08] namnixg: 5 ทุ่ม
[3:11:09] Tour_888: พรุ่งนี้ครับ
[3:11:09] boyhaha02: 5ทุ่ม
[3:11:10] aaumnad: พรุ่งนี่5ทุ่ม
[3:11:10] sparetimexq: 5
[3:11:10] tooktoiz: อันนี้ ต้องหัวหน้า องค์กร เท่านั้นละ เบิกทุกคนได้เมืองระเบิด
[3:11:10] someone9545: บูมตามเช็ดให้ด้วยนะไปแหละ
[3:11:13] BrazerLot: วันที่ 24 5 ทุ่ม
[3:11:15] brig_ht3: มา55 ทุ่ม
[3:11:20] t0p_pk: บูมต้องรันเองสินะ55
[3:11:20] jatupol0001: บ้าอำนาจเกินไปลง55555555
[3:11:21] arnotvader: 5ทุ่ม
[3:11:22] thanakrit_012: คืนนี้
[3:11:25] 1999ox: วันนี้5ทุ่ม
[3:11:38] ovbigxd: วันนี้5ทุ่ม
[3:11:38] marzotvvv: นี้แค่ทักทายนะ
[3:11:53] 420Alldie: นี้แค่โชวของ
[3:12:10] BELLGOODBOY: wedwtf14
[3:12:12] sirikorn0807: 5555555
[3:12:15] jr_juniorrr: 55555
[3:12:17] hava1301: jackey9JackeyLOL
[3:12:21] hypnoskub: 55555555
[3:12:21] puchinx12: 555555(5
[3:12:34] apo_npw: พังยับบบบบบบบ
[3:12:34] maikm_134: 55555
[3:12:35] MAMAW_official: rebirthztvHa rebirthztvHa rebirthztvHa
[3:12:36] singsuriwong: ตำรวจเสียหาย55
[3:12:41] GTestZ: ทุ่งสองห้อง
[3:12:44] purple_moon_iusupczz: SUBprise
[3:12:45] pleum_modxtyzzz: ตร.ขับ34หรอ
[3:12:50] mimihkh: maxmaj01 jackey9Slp rebirthztvLove
[3:12:52] delta_drimitri: AFK ตึงๆ
[3:13:04] somfukubb: แอร์ทามตึงๆ
[3:13:04] aitupon: Aia
[3:13:05] narongsak__: @pleum_modxtyzzz bm
[3:13:06] tawxnnn: 555555
[3:13:08] PaTonStory: rebirthztvHuh rebirthztvHuh
[3:13:08] Monday_Delicious: afkเนียนๆ
[3:13:09] xnewbiexxx: 555
[3:13:10] piyasrilo: ขี่ม้า
[3:13:13] ohm_pattawut: 55555
[3:13:15] treewan_110: 55555
[3:13:17] pyren17: รถประจำตำแหน่งอยู่หสา
[3:13:20] hypnoskub: ห๊ธ
[3:13:35] wairong: 555555
[3:13:42] fahhz: แจ็คต้องไปคุมผับกะเซิคนัวๆเลย555
[3:13:45] marzotvvv: เค5555555
[3:13:46] 6ixtynin9_: 5555
[3:13:47] pomcd: ห้ะ
[3:13:47] purple_moon_iusupczz: เค
[3:13:50] howtwo1222: เห๊อออออ
[3:13:50] sirikorn0807: 55566555555555
[3:13:53] maikm_134: เคร555
[3:13:57] armzazama: 5555
[3:14:05] numaii_: ตาตี๋5555
[3:14:08] khun_bestx: แข็งแน่นอน ไม่มีใครกล้า55
[3:14:10] punpawat_sena: เคร
[3:14:15] bom_adisak_: เช็คมาแล้ว
[3:14:16] purple_moon_iusupczz: HypeLurk
[3:14:23] One_GodGG: jackey9JackeyLOL jackey9JackeyLOL
[3:14:26] EartHSplAsH: 5555555555
[3:14:28] Way_Aagency: 5555555555555
[3:14:30] sirikorn0807: 555555555
[3:14:33] z_opxlliss: Tcไล่ตร.5555555
[3:14:37] jessica_eiei: GTA 🤣🤣🤣🤣
[3:14:41] cosmiccafe: ผชเที่ยวล้วน
[3:14:55] siggamaturu: This is gta!!!
[3:14:59] heremos1: 555555555
[3:15:00] armzazama: 5555
[3:15:00] someone9545: เค
[3:15:00] p_eiei: LUL
[3:15:01] kiniro1: 5556
[3:15:01] 42OOG_: เค
[3:15:02] NewLASIOz: 55555
[3:15:02] wairong: 555555
[3:15:02] 6ixtynin9_: ชิบหายละ
[3:15:02] vaiperrxhxe: 555555
[3:15:02] EartHSplAsH: 5555555555
[3:15:03] bank_perapong: 5555
[3:15:03] cutemaru: เค
[3:15:03] game_chaiwat20: rebirthztvHa
[3:15:03] freestytae: เค
[3:15:04] marzotvvv: 555555555
[3:15:04] purple_moon_iusupczz: เค
[3:15:04] berbbooso: 5555555555
[3:15:05] starmoon015: 5555555
[3:15:05] bomnerndin: rebirthztvHa rebirthztvHa
[3:15:05] xp___px: เค
[3:15:05] thea_lane: เค
[3:15:05] foam1233: เคร
[3:15:05] boat_suwit: rebirthztvHa rebirthztvHa rebirthztvHa
[3:15:06] MaithaiJaitawan: PokCroagunk
[3:15:06] nk_khim02: 5555555⁵555
[3:15:06] xnewbiexxx: 555555555
[3:15:07] feldway2: 5555555
[3:15:07] NoRaSingTH: 5555555
[3:15:08] 2indaman: กระสุนหมด
[3:15:08] ナッ: จบ
[3:15:08] pleum_modxtyzzz: 555555
[3:15:08] badvibeeiei: 555555555555
[3:15:09] sirikorn0807: 5556666666666666
[3:15:09] Demoplayerx: 55555
[3:15:10] Nightbot: Subscribe ได้ที่ลิ้งนี้https://www.twitch.tv/products/rebirthztv/ticket?ref=below_video_subscribe_button
[3:15:10] Way_Aagency: 5555555555555
[3:15:13] beer179_: หมาแม็ค66555555
[3:15:14] luciano_th3: 6655555555555
[3:15:16] jamesss_120: 55555
[3:15:16] ggonnn12: 5555555555555
[3:15:17] One_GodGG: jackey9JackeyLOL jackey9JackeyLOL jackey9JackeyLOL
[3:15:18] film_kung2: ถ้าTCเมืองหลักกับTCเมืองนี้สู้กันใครจะชนะ555
[3:15:18] Non__45: 55555555
[3:15:20] kfxv: 54455555555
[3:15:24] puchinx12: 5555555
[3:15:25] jameweerakarn: เค เบิกฮอมาอีกรอบ555
[3:15:26] purple_moon_iusupczz: vremon1Lol
[3:15:27] hava1301: 55555555
[3:15:27] athens_t10: ยังมีฮออยู่
[3:15:28] pmosza365: ต้องขึ้นฮอแร้วแหละ 555
[3:15:30] stellaax_: ความน่ากลัวหมด5555555
[3:15:34] someone9545: หมาแม็ค
[3:15:39] 2indaman: กระสุนหมด หมดความน่ากลัว 555555555
[3:15:40] heremos1: ไม่มีใครกลัวละ 555555
[3:15:41] EartHSplAsH: 55555555
[3:15:43] cutemaru: หมาตัวนึง กระสุนหมด
[3:15:45] invincible_artist: โดนอีกเเล้ว
[3:15:51] get_sakchai: 5555555555
[3:15:51] khun_bestx: พังจิง555
[3:15:52] topzana107: โห
[3:15:54] purple_moon_iusupczz: รวย StinkyGlitch
[3:15:55] sirikorn0807: rebirthztvHa rebirthztvHa rebirthztvHa rebirthztvHa rebirthztvHa
[3:15:55] pomcd: บูมท้อ55555
[3:15:57] jameb0n007x: เคจบกัน tc
[3:16:00] new_sparrow: นี่ไงเงิน
[3:16:00] nk_khim02: 555555555
[3:16:08] hava1301: บูมเองก็ลำบาก
[3:16:11] james_yono: 5555
[3:16:12] vaiperrxhxe: เค
[3:16:21] aonggor: 5555555555
[3:16:23] chokchoai04: สนุก ละทีนี้
[3:16:27] yooya113: ซนกันจัด
[3:16:28] purple_moon_iusupczz: บูมบอกลุงไปทำอะไรมา HypeLUL
[3:16:28] print_asmo: Tcคลั่งของแท้
[3:16:29] maikm_134: สนุกเเละเนาะ
[3:16:30] nobi_nolove_: เกมสร้างเมื่อคืนสนุก
[3:16:31] howtwo1222: บ้าอำนาจขั้นสูงสุด5555
[3:16:31] vitchaa: บูมบอก น่าจะออกไปกับแดนนี่
[3:16:31] natchaname: บูมร้องโอโหเลย55555
[3:16:32] petchppz: กู้แอดมินได้ไหมลุง ดอกร้อยละ0.5
[3:16:33] cosmiccafe: จะเหมือนพรรคแม็คมั้ย
[3:16:33] khawkhawmaru: ความวุ่นวายที่แม็คก่อ ฝากบูมสานต่อด้วยละกัน 555555555
[3:16:35] golfze12: บูมก็ลำบาก 5555
[3:16:37] someone9545: กสุนหมดแล้วเลิกๆ
[3:16:37] jatupol0001: อำนาจจะมาอีกเเล้ว5555
[3:16:38] p_eiei: LUL
[3:16:39] jameweerakarn: ตร โดน จะวัดขุมพลังใช่มัย5555
[3:16:39] nestzagg: ลุงตอบใช้40mm
[3:16:39] cutemaru: เค อำนาจกลับมาละ
[3:16:41] kornnkub: เคร
[3:16:41] kfxv: รอบนี้ต้องพาบูมไปด้วยละ
[3:16:42] sparetimexq: เค๊
[3:16:43] giccorice: เหนื่อย 5555555
[3:16:43] youngcoffside: บูมสู้ๆ เดี๋ยวลุงก็โต
[3:16:43] finixzku: เสียง55555
[3:16:43] heremos1: เสียงเหนื่อยๆ 555555
[3:16:43] fonggggggggggg: ตาลีบันกำลังจะบุก
[3:16:43] 9hero15: บูมเหนื่อยยย
[3:16:44] jerapat70: เค๊
[3:16:44] MewExplosivE: บูมท้อ 555
[3:16:45] singsuriwong: ตายม้าย
[3:16:45] Thelastes: เสียงสิ้นหวังจัดเลย
[3:16:45] Caramxlyy: บูมเหนื่อยบูมท้
[3:16:46] white1993_: อีกหน่อยลุงเอาTCที่นี่ไปตีเมืองหลักแน่ๆ
[3:16:46] dogred_123: เค๊
[3:16:46] tyga_codeine: เค๊
[3:16:47] PaTonStory: ตายๆๆๆ
[3:16:47] xyiimraruen: เคอย่างเหนื่อย
[3:16:47] pomcd: 55555555
[3:16:47] chatchai2538: บูมเหนื่อ บูมท้อ
[3:16:48] b3st: บูมเหนื่อย
[3:16:48] nos_hup: ตาย100
[3:16:49] fordsaengsulee: เค แบบท้อใจมาก
[3:16:50] iceprat: เสียงเหนื่อยมากก
[3:16:50] newclearvip: เสียงเหนือยๆ
[3:16:50] new_sparrow: ตายลุง
[3:16:50] fahhz: เคแบบเหนื่อยใจ555
[3:16:51] Chashu_Kakuni: 555555555
[3:16:51] 6ixtynin9_: บูทท้อ
[3:16:51] copterlwz: 5555
[3:16:52] Way_Aagency: 5555555555555
[3:16:53] legencydmzx: 5555555555
[3:16:53] Saturdxy_: 55555
[3:16:53] w1_shper: เสียงแลดูเหนื่อยๆ555
[3:16:53] aommaxol_: บูม55555555555555
[3:16:53] hava1301: เคแบบสิ้นหวัง 55555
[3:16:54] armyyyyyl_l: บูมเองก็ลำบากแม็คเบิกมากบูมก็ลำบากใจ
[3:16:54] athens_t10: เค๊เบื่อเสียงเหนื่อยมาก555
[3:16:54] ggonnn12: 55555555
[3:16:55] mmanow__: rebirthztvHa
[3:16:55] mos_apichart: 555555
[3:16:55] boyezgamer: 555555555
[3:16:55] mrnatthawutza: ไม่น่าถามนะลุง5555555
[3:16:56] loh_maa: แหมมมม๊
[3:16:56] jgcnifckkhg: 555
[3:16:56] w0rakan: เสียงอย่างเหนื่อย5555
[3:16:56] kimminez: rebirthztvHa
[3:16:57] noodeeeeee: rebirthztvHa rebirthztvHa rebirthztvHa
[3:16:57] Monday_Delicious: บูมดูเหนื่อยๆนะ
[3:16:57] podduangnajaaa: บูมเหนื่อยบูมท้อ
[3:16:57] Non__45: เคแบบสิ้นหวัง5555555
[3:16:58] iamp0nd: สิ่งที่ทำให้ลุงเป็นTCได้นานคือกาาเล่นซนแบบนี้แหละไม่งั้นแกเบื่อ
[3:16:58] vaiperrxhxe: ไม่น่าถาม
[3:16:58] yooya113: 555555555
[3:16:58] tirapat008: ไม่รู้ตัวอีก555
[3:16:59] QQRR1010: เหนื่อยใจกับลุง555555
[3:16:59] ナッ: ไม่ต้องถามม rebirthztvHa
[3:16:59] tiwly_2580: ไม่น่าถาม5555
[3:17:00] Lala_Sap: บูมท้อมากนะ55555555
[3:17:00] nk_khim02: บูมเหนื่อยบูมท้อ
[3:17:00] ir0bber: เหนื่อยจิง55555
[3:17:00] touchlonez: ไม่น่าถาม
[3:17:01] susubaby1: ยังจะถามอีก
[3:17:01] z_opxlliss: ไม่น่าถามนะ
[3:17:02] mimihkh: 55555555
[3:17:02] pea_sperant: ไม่น่าจะถาม
[3:17:02] puchinx12: 5555555
[3:17:03] qxze1: ท้อปับคนแก่ไง
[3:17:04] lionwisdom: ไม่น่าถามนะ
[3:17:04] r3kc: 22.00-1.00จะเป็นเวลาจริงจังหลังจากนัินรั่ววว555555
[3:17:05] numaii_: ไม่น่าถามนะ55555
[3:17:06] maikm_134: ก็กูมเหนื่อย
[3:17:06] carbonarax06: คนดูก็เหนื่อย
[3:17:08] get_sakchai: ไม่น่าถาม555555
[3:17:08] bigbear_r: ก็ควรเหนื่อยแหละลุง 55555
[3:17:08] errorssst: บูมทรงงาน แม็คทรงเล่น
[3:17:09] mcauley_jr: พี่เลี้ยง เด็ก
[3:17:09] purple_moon_iusupczz: HypeLUL
[3:17:11] cheer_11: rebirthztvHa rebirthztvHa rebirthztvHa
[3:17:12] ploy_rm: ไม่น่าถามนะลุง55555
[3:17:12] EartHSplAsH: 5555555
[3:17:14] DeknarakX_: ไม่น่าถาม5555
[3:17:17] giccorice: กลัวลุงทิ้งมั้ง 555555555
[3:17:17] jerapat70: โห55555555
[3:17:19] jamesss_120: ทรงงานหนัก
[3:17:21] jirapat1100: ไม่น่าถาม
[3:17:21] purple_moon_iusupczz: HypeLUL
[3:17:22] rojnattapat: ใช้งานขนาดนี้555
[3:17:22] ovbigxd: ก็เค้าเหนื่อยไงลุง
[3:17:27] 6ixtynin9_: สงสัยบูมรู้ชะตากรรม ว่าอีกสักพักลุงจะทิ้ง
[3:17:28] just_zxx127: ยังต้องถามอีกหรอลุงงงงงงง
[3:17:29] fordsaengsulee: น่าจะเหนื่อยกับคนแก่บางคน
[3:17:30] FolkEis: 555555555555555555555555
[3:17:31] bedinomoz: 55555555555555555
[3:17:33] kimminez: rebirthztvHa
[3:17:33] yooya113: 555555555
[3:17:36] ggonnn12: 5555555555555555
[3:17:36] heremos1: 55555555555555555555
[3:17:36] nk_khim02: 5555555555555555555
[3:17:37] pleum_modxtyzzz: 55555
[3:17:38] MADBOY_z: 555555555555555555555
[3:17:38] new_sparrow: rebirthztvHa rebirthztvHa rebirthztvHa
[3:17:41] NewLASIOz: 55555
[3:17:42] purple_moon_iusupczz: อย่าให้มันหนี HypeLUL
[3:17:42] xnewbiexxx: 555555555555
[3:17:42] filmtanakitxrj: 555555555555
[3:17:42] BoonTing02: 55555555555555555555
[3:17:42] natchaname: 5555555555555
[3:17:43] sirikorn0807: 555555555
[3:17:43] garfielddz14121: 55555
[3:17:43] stellaax_: 5555555555555
[3:17:46] maikm_134: 5555
[3:17:46] ginvee11: 555555
[3:17:46] NoRaSingTH: 555555555
[3:17:47] boat_suwit: rebirthztvHa rebirthztvHa rebirthztvHa
[3:17:47] noodeeeeee: wedwtf14 wedwtf14
[3:17:48] Non__45: 55555
[3:17:48] numaii_: 555555555
[3:17:49] cutemaru: เค บอก กูไป
[3:17:50] jamesss_120: 5555
[3:17:55] aomsinz__stp: 55555555
[3:17:55] luciano_th3: 5555
[3:17:56] cheer_11: rebirthztvHa rebirthztvHa
[3:17:58] jerapat70: 5555555555555555
[3:17:58] buffalokiku: ใครจะอยู้ก็ยุ่
[3:17:58] iTeeHiD: 55555555555555555555555555
[3:18:01] bedinomoz: 555555555555555555555
[3:18:02] invincible_artist: 5555555
[3:18:03] lilinkubb: ตายห่าตายโหงกันหมด
[3:18:03] Rollindey: jackey9JackeyLOL jackey9JackeyLOL
[3:18:03] patiphan_200x: 5555555
[3:18:03] EartHSplAsH: 5555555555
[3:18:04] freestytae: 5555
[3:18:04] 42OOG_: 5555555
[3:18:04] MewExplosivE: 5555
[3:18:04] singsuriwong: 55555
[3:18:04] modpruakv2: 5555555555
[3:18:04] taekub_: 55555555555555
[3:18:04] susubaby1: 5555
[3:18:04] Way_Aagency: 55555555555555555555
[3:18:04] TopKub08: 5555555555555555
[3:18:04] game_chaiwat20: rebirthztvHa rebirthztvHa rebirthztvHa rebirthztvHa
[3:18:04] lnwm_0993: 55555555
[3:18:04] bigbear_r: 555555555
[3:18:05] purple_moon_iusupczz: rebirthztvHa
[3:18:05] p_p______: 55555555555555555555
[3:18:05] xp___px: 5555555555555555
[3:18:05] wairong: ไม่ให้ไป
[3:18:05] myydaisy: 555555555555555555555555
[3:18:06] chen_longg: 55555555
[3:18:06] mamew1230_: 5555555555
[3:18:06] thanakit_xyz: 5555
[3:18:06] K3nNicolai: 55555
[3:18:06] nk_khim02: 55555555555555
[3:18:07] b3st: 555
[3:18:07] 18kk8: rebirthztvHa rebirthztvHa rebirthztvHa
[3:18:07] ZeromosX: 55555555
[3:18:07] apo_npw: 55555555555555555
[3:18:07] anupong1510: 555555
[3:18:07] bank_perapong: 555555555
[3:18:07] heremos1: 5555555555555555555555555
[3:18:08] fahhz: 55555555
[3:18:08] lozertz: 555555
[3:18:08] naszaza44444444: rebirthztvHaha rebirthztvHaha rebirthztvHaha rebirthztvHaha rebirthztvHaha
[3:18:08] i_am_wedday: i_am_wedday subscribed at Tier 1. They've subscribed for 14 months, currently on a 3 month streak! ถล่มมัน5555555
[3:18:08] athens_t10: 555555555
[3:18:08] olad096: 55555555555555
[3:18:09] MasZ1P: 555555555555555+
[3:18:09] SGlowM: 5555555555
[3:18:09] yooya113: 5555555555555
[3:18:10] ItzKyuzu: 5555555555555555555555
[3:18:10] MJxyyyy: 555555555
[3:18:10] pomcd: 55555555
[3:18:10] meawjxng: 555
[3:18:11] ohm_pattawut: 55555
[3:18:11] charottyy: 5555
[3:18:12] LayGuin: 5555555
[3:18:12] ナッ: rebirthztvHa
[3:18:12] njfusbdj: จะหนีไปไหน
[3:18:13] xnewbiexxx: 55555555
[3:18:14] MN_NamX: 555555
[3:18:14] AYAsleep: 5555555555555555555555
[3:18:14] get_sakchai: 5555555555
[3:18:16] meprite0209938: 5555555
[3:18:16] new_sparrow: @purple_moon_iusupczz ดาบหายอะพี่
[3:18:16] ggonnn12: 5555555555555555
[3:18:17] l2ockRe: 5555555
[3:18:17] chanason47: 55555
[3:18:17] pea_sperant: ตายยย 555555
[3:18:19] Non__45: 55555555
[3:18:21] maxpeerapat: ใครหนีคร้บแชท
[3:18:22] 420Alldie: สนุกเขาแหละ
[3:18:22] kittisak055: หนีไม่พ้น555
[3:18:22] LARGEBODy_GLHF: LUL
[3:18:25] hava1301: 5555555555
[3:18:25] koalamarsh_: 5555555
[3:18:28] purple_moon_iusupczz: @new_sparrow อ่ามันบัค HypeLUL
[3:18:29] i_kuyy: เค บอกไปหาจาแรปดีกว่า แฮะๆ
[3:18:31] cheer_11: rebirthztvHa rebirthztvHa rebirthztvHa
[3:18:34] BoonTing02: 5555555555555
[3:18:34] Nah_liu: K สตีมช่องไหน
[3:18:35] invincible_artist: 55555
[3:18:37] nk_khim02: 555555555555555555555555
[3:18:38] natchaname: 555555555
[3:18:38] aomsinz__stp: jackey9JackeyLOL
[3:18:39] apo_npw: ตายยกลำ
[3:18:42] givememypuffyy: 5555555
[3:18:43] fahhz: 1.0นี่เหมือนเล่นใหม่ๆเลยนะ สนุกไม่มีใครร้อง555
[3:18:44] jesstrider: 555555
[3:18:44] stellaax_: ตายเกลื่อน555555555555
[3:18:45] isyas6634: โหโคตรเยอะ
[3:18:49] b3st: เกลื่อน
[3:18:53] mmanow__: ตายเกลื่อนจัด 55555
[3:18:54] i_am_wedday: ตายกันหมด55555
[3:18:55] ggonnn12: 5555555555
[3:18:56] new_sparrow: @purple_moon_iusupczz ช่วงนี้บัด บ่อยมาก jackey9JackeyLOL
[3:19:01] wairong: จะหนีหรอ ไม่ให้ไป 555
[3:19:02] purple_moon_iusupczz: ตายยกลำ StinkyGlitch
[3:19:04] howtwo1222: TCกราดยิง
[3:19:05] naszaza44444444: rebirthztvHaha rebirthztvHaha rebirthztvHaha rebirthztvHaha rebirthztvHaha
[3:19:07] Way_Aagency: 555555555555
[3:19:08] NoRaSingTH: 555555555555
[3:19:08] friendteem: 5555
[3:19:09] kiuyo1234: 555555555555555
[3:19:09] purple_moon_iusupczz: @new_sparrow จริง StinkyGlitch
[3:19:09] heremos1: 555555555555
[3:19:10] chitipat2499: 5555555555555555555555555555
[3:19:10] fou33333: 5555555
[3:19:11] B4DoubleL: 555555555555555
[3:19:11] lilinkubb: ทำ ทำไม
[3:19:13] njfusbdj: เเม่งจะหนีออกประเทศ555
[3:19:14] athens_t10: สงครามเวียดนามจัด
[3:19:14] frame_thanatorn: สงครามล้างเมือง
[3:19:15] cutemaru: ฉิบหาย city
[3:19:16] stellaax_: ชิบหาย city สุดๆๆๆๆๆ55555555555555
[3:19:16] kimminez: rebirthztvHa rebirthztvHa
[3:19:16] kittisak055: TCคลั่งง
[3:19:17] invincible_artist: เอ้าผิดซอย 5555
[3:19:17] fameloda: อ่อ oni
[3:19:18] One_GodGG: คิดถึงสมัยเก่าเลย
[3:19:18] apo_npw: 55555555555555555555555555
[3:19:22] golfze12: เชือดไก่ให้ลิงดู 55555
[3:19:24] z_opxlliss: ไม่ได้ไป55555555
[3:19:24] loh_maa: อ่อ โอนิปะ
[3:19:25] podduangnajaaa: Oni
[3:19:26] numaii_: ลาก่อนตร.บอก5555
[3:19:26] Demoplayerx: ทวิตอย่างปั่น
[3:19:28] zealone_z: 55555
[3:19:28] hypnoskub: เกมอะไร
[3:19:29] nk_khim02: ประเทศสงครามละตอนนี้55555555
[3:19:29] MasZ1P: 555555555555+ท้องแข็ง
[3:19:32] puchinx12: Oniหรือเปล่า555
[3:19:32] pieceinw: ล่าสุดไม่ให้หนีปิดประเทศล้ะ
[3:19:33] vvview04s: อ๋อเครื่องบินoni5555555555555
[3:19:34] BoonTing02: เรียบร้อยOni
[3:19:35] poyparin: อ่อ oni จะบิน555555
[3:19:40] bank_perapong: 55555
[3:19:40] BrazerLot: Kazama รึป่าว ที่จะบิน
[3:19:43] khawkhawmaru: เค ไม่ได้ไป 555555
[3:19:43] i_am_wedday: 55555555ละยิงไม่หยุด
[3:19:44] new_sparrow: @purple_moon_iusupczz รอเค้าอัพเดทใหม่เผื่อจะดีขึ้น
[3:19:44] AYAsleep: 5555555555
[3:19:45] lilinkubb: ตายเกือบครึ่งประเทศ
[3:19:46] kfxv: Oni จะบิน
[3:19:46] piyasrilo: คิดถึงสมัยชัยโพ้ง
[3:19:47] J0w_GreeN: ใครให้มา งานไวจัดูุุถ
[3:19:49] game_chaiwat20: rebirthztvHa rebirthztvHa rebirthztvHa
[3:19:50] vitchaa: ลุงoniจะบิน
[3:19:50] MewExplosivE: เค
[3:19:50] ggonnn12: 555555555555
[3:19:50] justyouknow56: @ryomencryy Gta
[3:19:51] NewLASIOz: 555
[3:19:52] chokchoai04: 555++
[3:19:52] gchet69: 5555555555555
[3:19:52] heremos1: g8 555555555
[3:19:52] purple_moon_iusupczz: เค
[3:19:52] lozertz: 55555
[3:19:52] chen_longg: 55555
[3:19:52] 2fairr: 5555555555
[3:19:53] FolkEis: 555555555555555555555555555555555
[3:19:54] chanason47: 55555
